tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
1547,Oatis Redding Imperial Red,Tow Yard Brewing,American Amber / Red Ale,9.00 %,295,Tahquamenon Falls Tannin Red,Tahquamenon Falls Brewery,Amber Ale,-,0
2920,O'Bar Amber Ale,O'Fallon Brewery,American Amber / Red Ale,5.50 %,1964,Block 15 Millennium Falcon,Block 15 Brewery,Amber Ale,7.30 %,0
2387,All Around Amber,Rivertowne Pourhouse,American Amber / Red Ale,-,913,Rock Bottom Des Moines Mud in Your Eye Red,Rock Bottom Des Moines,Amber Ale,-,0
4310,Old Embalmer '13 ( Brothers Reserve ) - Featuring X-431 Hops,Widmer Brothers Brewing Company,American Barleywine,10.20 %,1439,Bitter Root Belgian Style Amber Ale,Bitter Root Brewing,Amber Ale,-,0
1254,D'Ham Rousse,Les Brasseurs du Hameau,American Amber / Red Ale,5.50 %,1903,Elgoods Copper Feelgood,Elgoods,Bitter,3.70 %,0
1995,Rehder 's Red,Flytrap Brewing,American Amber / Red Ale,5.40 %,1959,_ La FÃ '' t Rouquine,_ La FÃ '' t,Amber Ale,5.20 %,0
3744,Karlstad Red Ale,Stadin Panimo,American Amber / Red Ale,5.60 %,1889,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,0
2719,Loggerhead Red,Marco Island Brewery,American Amber / Red Ale,5.00 %,2432,BrewDog / Oskar Blues Shipwrecker Circus,BrewDog,Barley Wine,10.50 %,0
2605,Stronzo Red Frikken Ale,Stronzo Brewing Co. .,American Amber / Red Ale,6.20 %,2782,African Moon Amber Ale,Porcupine Quill Micro Brewery,Amber Ale,6 %,0
4311,Triton Barley Wine,DESTIHL Brewery,American Barleywine,11.50 %,547,Arundel Red Devil,Arundel,Bitter,4.20 %,0
3812,Trouser Punch Ale,3 Freaks Brewery,American Amber / Red Ale,5.20 %,262,Squam Asquam Amber Ale,Squam Brewing,Amber Ale,5 %,0
3764,Rubi Ale,Privatbrauerei Sander,American Amber / Red Ale,5.90 %,2163,Intracoastal Sore Amber,Intracoastal Brewing Company,Amber Ale,5.50 %,0
188,Ma,Tree House Brewing Company,American Amber / Red Ale,7.30 %,731,Central City Red Racer Copper Ale,Central City Brewers + Distillers,Amber Ale,5 %,0
3695,Amsterdam Session,The Tap Brewery,American Amber / Red Ale,4.30 %,348,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,0
3845,Rubottom 's Red,Innovation Brew Works,American Amber / Red Ale,5.00 %,2141,Egan & Sons Oddfellows Ale,Egan & Sons,Amber Ale,-,0
3725,WetLands BSR,Wet Head Brewery,American Amber / Red Ale,6.30 %,1340,Hideout Hickory Red Bacon Ale,The Hideout Brewing Company,Amber Ale,5.60 %,0
1636,New Zealand Red Ale,Kilannan Brewing Co. .,American Amber / Red Ale,5.20 %,2446,La Voie MaltÃ © e Polissonne,La Voie MaltÃ © e,Barley Wine,10 %,0
1740,Breakside Hoppy Amber,Breakside Brewery,American Amber / Red Ale,7.00 %,1560,Old Bakery The Observer,Old Bakery Beer Company,Amber Ale,5.30 %,0
4190,2nd Anniversary Barrel-Aged Barleywine,Brothers Craft Brewing,American Barleywine,14.50 %,949,Rockaway Double Curiosity,Rockaway Brewing Company,American Strong Ale,9.50 %,0
1797,Phoenix,Birdland Brewing Company,American Amber / Red Ale,6.00 %,614,SanTan 12 Daze Caramel Spiced Amber,SanTan Brewing Company,Spice/Herb/Vegetable,6.50 %,0
1826,In The Red,Stony Creek Brewery,American Amber / Red Ale,5.30 %,2226,Bolero Snort Crouching Tiger Ragin _ Bull,High Point Brewing Company,Spice/Herb/Vegetable,5 %,0
4341,Old Familiar Barleywine,Carolina Brewery,American Barleywine,8.30 %,1749,La Cotta di Giulietta e Romeo Birra Verona Rossa,Birrificio Mastino,Amber Lager/Vienna,5.50 %,0
3149,The Walking Red,O.H.S.O. Eatery & Nano-Brewery,American Amber / Red Ale,8.50 %,2245,Bull & Barrel Left Hand Rye Pale Ale,Bull & Barrel Brew Pub,American Pale Ale,5 %,0
2903,Brigitte Honey Ale,Amante Brew Company,American Amber / Red Ale,6.00 %,1106,De Koninck TSTBRW 01 Imperial Red Ale,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;,American Strong Ale,7.80 %,0
2299,Hired Gun Red,Hideout Brewing Company,American Amber / Red Ale,5.50 %,472,Block 15 King Caspian Royalty Red,Block 15 Brewery,India Pale Ale &#40; IPA &#41;,8.75 %,0
2173,Ravenous Red,Green Room Brewing,American Amber / Red Ale,4.90 %,2788,Market Cross Red Ale,Market Cross Pub and Brewery,Amber Ale,5.20 %,0
1786,Big Dumb Animal,Pizza Port Solana Beach,American Amber / Red Ale,8.50 %,2537,Lagerheads Bed Head Red,Lagerheads Brewing Company,Amber Ale,5.90 %,0
2788,Slayer 666 Red Ale,the Nils Oscar Company,American Amber / Red Ale,6.50 %,800,Leavenworth Nosferatu Red Ale,Fish Brewing Company/Leavenworth Beers,English Strong Ale,5.50 %,0
112,Shine On Ale,Central Waters Brewing Co. .,American Amber / Red Ale,-,961,Right Brain Northern Hawk Owl Amber,Right Brain Brewery,Amber Ale,5.80 %,0
4136,Patience,Fulton Beer,American Barleywine,13.20 %,414,Eight Bridges Twisted Red,Eight Bridges Brewing,Amber Ale,7 %,0
1047,Screening Room Red,Naked City Taphouse,American Amber / Red Ale,7.00 %,1389,Brady_s Naughty Amber,Brady_s Brewhouse,Amber Ale,5 %,0
2869,Redner,Cigar City Brewing,American Amber / Red Ale,6.60 %,513,Hopworks Rise-Up Red Ale,Hopworks Urban Brewery,Amber Ale,5.80 %,0
1975,Occoquan Oats,Ornery Beer Company Public House,American Amber / Red Ale,5.60 %,2052,Aeronaut Red Baron,Aeronaut &#40; Laine &#41;,American Pale Ale,5.10 %,0
1403,Reindeer Ale,Triple Rock Brewery & Alehouse,American Amber / Red Ale,-,1658,10 Barrel Big Daddy Fresh,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.10 %,0
3367,Fred 's Raging Red,Sockeye Brewing,American Amber / Red Ale,6.50 %,1191,Corfu Beer Red Ale Special,Corfu Beer,Amber Ale,5 %,0
2308,880 Red Ale,Escape Brewing Company,American Amber / Red Ale,-,1417,Adroit Theory Experimental - Imperial Steam Beer,Adroit Theory Brewing Company,Specialty Grain,8 %,0
320,Tall Ship Amber Ale,Garrison Brewing Company,American Amber / Red Ale,4.60 %,2361,Newmans Woolly Rhinoceros,Celt Experience,Bitter,4.30 %,0
3071,Midnite Umber Ale,Red Arrow Brewing Company,American Amber / Red Ale,5.10 %,1296,Medusa Island of Misfit Hops # 1,Medusa Brewing Company,Amber Ale,7.40 %,0
4148,Trainwreck Barley Wine,Phillips Brewing Company,American Barleywine,10.00 %,255,Gilgamesh Pumphouse Copper Ale,Gilgamesh Brewing,Amber Ale,4.50 %,0
3119,Flashwood,Brasserie Artisanale Le Saint Graal,American Amber / Red Ale,5.50 %,2247,Sulauze Cabosse,Brasserie de Sulauze,Spice/Herb/Vegetable,5 %,0
1053,Wynwood Fox,Wynwood Brewing Company,American Amber / Red Ale,7.70 %,1031,Arbor Red Dawn American Amber,Arbor Brewing Company Pub & Eatery,Amber Ale,5.30 %,0
1001,Red Leader Rebel Red,Pizza Port Solana Beach,American Amber / Red Ale,-,686,Bend Axe Head Red Ale,Bend Brewing Company,Amber Ale,-,0
483,Red Wing Red Ale,Rohrbach Brewing Company ( Brewpub ),American Amber / Red Ale,4.60 %,2089,The Eldo Secret Trail Ale,The Eldo Brewery & Taproom,Amber Ale,5.60 %,0
258,Duce,Lucid Brewing,American Amber / Red Ale,7.50 %,871,Broad Ripple Firecracker Red Ale,Broad Ripple Brewing Co. .,Amber Ale,5.50 %,0
1370,Smugglers Cove Agave Amber,Thorn Street Brewery,American Amber / Red Ale,6.10 %,255,Gilgamesh Pumphouse Copper Ale,Gilgamesh Brewing,Amber Ale,4.50 %,0
987,Bushwacker,Prairie Fire Brewing Co. .,American Amber / Red Ale,7.10 %,1040,Able Ebenezer Emma Wood Pale Ale,Able Ebenezer Brewing Company,Belgian Ale,5 %,0
1017,Big Cedar IRA,Backwoods Brewing Company,American Amber / Red Ale,6.50 %,1414,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,American Strong Ale,8.50 %,0
1085,Angry Peaches,Garage Project,American Amber / Red Ale,6.80 %,1041,Briarbank Cardinale Wolsey,Briarbank Brewing,Old Ale,4 %,0
1511,Hollow Tree,Big Rock Urban Brewery and Eatery,American Amber / Red Ale,5.80 %,1796,Beachside High Tide Black Beer with Pomegranate,Florida Beer Company,Schwarzbier,-,0
1073,Grizzly Bear Red Ale,Thirsty Bear Brewing Company,American Amber / Red Ale,-,1712,Thirsty Monk Electrum Autumn Ale,Thirsty Monk Pub and Brewery,Amber Ale,5.50 %,0
1213,Timberwolf Bourbon-Oaked Red,Wolf Creek Brewing,American Amber / Red Ale,7.00 %,1982,Waddell_s Fireman_s Amber Ale,Waddell_s Brewing Company,Amber Ale,4.50 %,0
2632,Fuken Red Ale,Petoskey Brewing Company,American Amber / Red Ale,5.40 %,216,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,0
3790,No. 22 Honey Red Ale,The Freehouse,American Amber / Red Ale,5.50 %,1143,Ipswich Harvest Ale,Ipswich Ale Brewery,India Pale Ale &#40; IPA &#41;,6.90 %,0
3710,Road Trip,Nomad Brewing Company,American Amber / Red Ale,4.80 %,354,Crooked Fence Trainwreck Red Ale,Crooked Fence Brewing Company,Irish Ale,5.50 %,0
2308,880 Red Ale,Escape Brewing Company,American Amber / Red Ale,-,1714,Flying Fish Pescade Rojo Grande,Flying Fish Brewing Company,American Strong Ale,9 %,0
3722,Koele Kikker,Ramses Bier,American Amber / Red Ale,6.60 %,299,John Harvards Colonial Red,John Harvards Brewhouse Lake Grove,Amber Ale,-,0
2772,Virginia Harvest Ale,Tin Cannon Brewing Company,American Amber / Red Ale,5.80 %,2711,Collesi Imper Ale Ambrata Fiat Lux,Tenute Collesi,BiÃ ¨ re de Garde,7.50 %,0
1040,Plucky Rooster Ale,Plattsburgh Brewing Company,American Amber / Red Ale,5.00 %,35,Palmetto Amber Ale,Palmetto Brewing Company,Amber Ale,5.30 %,0
376,BottleTree Red,BottleTree Beer Co. .,American Amber / Red Ale,7.50 %,115,San Luis Valley Alamosa Amber,San Luis Valley Brewing Company,Amber Ale,5 %,0
240,Hale 's Red Menace Big Amber,Hale 's Ales Brewery & Pub,American Amber / Red Ale,4.60 %,2979,2 Brothers Grizz,2 Brothers Brewery,Amber Ale,5.70 %,0
3766,Jack Of Clubs,Wild Card Brewery,American Amber / Red Ale,4.50 %,2336,Firestone Walker Maltose Falcons Brownywine,Firestone Walker Brewing Co &#40; Duvel Moortgat &#41;,American Strong Ale,13.60 %,0
372,Amber,Dead Armadillo Craft Brewing,American Amber / Red Ale,-,1768,Belder Red Ginger Ale,Belder,Spice/Herb/Vegetable,5 %,0
478,Oak Creek Amber,Oak Creek Brewing Co. .,American Amber / Red Ale,5.50 %,2231,R. Shea Rubber City Red,R. Shea Brewing,Amber Ale,4.50 %,0
3153,Indefinite Noises,The Courtyard Brewery,American Amber / Red Ale,6.20 %,2614,Coronado Mermaids Red Ale,Coronado Brewing Company,Amber Ale,5.70 %,0
2649,Foraging For Herbs,The Celt Experience,American Amber / Red Ale,4.70 %,2840,BrewDog Hello,BrewDog,Imperial IPA,8.20 %,0
2533,Dispensary Red Ale,Hops and Grain Brewery,American Amber / Red Ale,-,2513,Le Castor Vin No. 1 Grande RÃ © serve &#40; fÃ '' ts de rhum &#41;,Microbrasserie Le Castor - Le Castor Brewing Co. .,Barley Wine,9.50 %,0
468,Smoked Red Ale,West O Beer,American Amber / Red Ale,6.50 %,2866,Cycle Blind Date,Cycle Brewing,Amber Ale,5.50 %,0
4018,Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Barleywine,11.50 %,2928,Alligator Habanero Smoked Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,Spice/Herb/Vegetable,5 %,0
1924,Black Woods Forest Ale,August Schell Brewing Company,American Amber / Red Ale,-,2919,Maui Brewing Barefoot Brew,Maui Brewing Company,Amber Ale,5.80 %,0
285,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,140,Alexander Keiths Red &#40; Amber Ale &#41;,Oland Brewery &#40; AB-InBev &#41;,Amber Ale,5 %,0
423,Green 's Amber Ale,Green 's Gluten Free Beers,American Amber / Red Ale,6.00 %,2776,Ales of Scilly Maiden Voyage,Ales of Scilly,Bitter,4 %,0
2830,Ponderosa Belgian Red Ale,Wild Earth Brewing Company,American Amber / Red Ale,6.50 %,205,Red Duck Hoppy Amber,Purrumbete Brewing,Amber Ale,5.60 %,0
3444,Cheddar Ales / Wiper And True - Amber Ale In The Pines,Cheddar Ales,American Amber / Red Ale,5.30 %,1633,Cellar Rats Rat Tail Ale,Cellar Rats Brewery &#40; DebonnÃ © Vineyards &#41;,American Pale Ale,6 %,0
1098,Dragonmead Crooked Door Amber Ale,Dragonmead Microbrewery,American Amber / Red Ale,5.00 %,870,BandWagon Ezra Red Ale,BandWagon Brewpub,Irish Ale,5 %,0
2768,ISA Rousse,Microbrasserie Archibald,American Amber / Red Ale,3.80 %,205,Red Duck Hoppy Amber,Purrumbete Brewing,Amber Ale,5.60 %,0
4304,Isle Of Pines Barley Wine,Flying Goose Brew Pub & Grille,American Barleywine,11.00 %,1288,Craig Allan Agent Provocateur,De Proefbrouwerij,Belgian Ale,6.50 %,0
335,Cow Catcher Red Ale,Mountain Town Brewing Co. .,American Amber / Red Ale,5.80 %,85,Five Points Hook Island Red,Five Points Brewing Company,Amber Ale,6 %,0
3466,Little Egypt Red,Carbondale Craft Beer,American Amber / Red Ale,6.30 %,336,Columbia Kettle Works Bald Guy,Columbia Kettle Works,Amber Ale,6.30 %,0
3251,Fresh Hop Red,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,7.40 %,1065,J.G. Crummers Kick Arse Ale,Custom Brewcrafters,Amber Ale,4.40 %,0
1123,Rat Beach Red Ale,Redondo Beach Brewing,American Amber / Red Ale,8.20 %,706,10 Barrel Northwest Red,10 Barrel Brewing &#40; AB InBev &#41;,Amber Ale,6.10 %,0
4199,Ryeday The 13th,Excel Brewing Company,American Barleywine,11.00 %,976,Small Batch A Player to be Named Later,Small Batch Beer Company,Amber Ale,4.10 %,0
756,Revered Red,Wachusett Brewing Company,American Amber / Red Ale,5.00 %,81,Big Bear Grizzly Red Ale,Big Bear Brewing Company,Amber Ale,5.80 %,0
913,Joker Amber,Northwest Brewing Company,American Amber / Red Ale,6.00 %,1368,Boscos Kung Fu,Boscos Brewing Company &#40; Roma Pomodori &#41;,Bitter,4.99 %,0
2896,Fenton Fire Hall Ale,Right Brain Brewery,American Amber / Red Ale,4.80 %,817,Acoustic Ales Rock Out With Your Vienna Out,Acoustic Ales Brewing Experiment,Amber Lager/Vienna,6 %,0
32,Five AM,BrewDog,American Amber / Red Ale,5.00 %,2789,Firefly Hollow Photon Imperial Crimson,Firefly Hollow Brewing Company,American Strong Ale,8.90 %,0
2316,Brew Kahuna NW Red Ale,Sky High Brewing,American Amber / Red Ale,5.20 %,1914,Fox & Hounds Redtail Ale,Fox & Hounds Brewpub ( Malt House Brewing Co. ),Amber Ale,-,0
160,Bromigo Smoked Maple Amber,Three Heads Brewing,American Amber / Red Ale,6.50 %,2998,75th Street Hoppopotamus,75th Street Brewery,American Pale Ale,-,0
2422,Flat Tail Amber Ale,Flat Tail Brewing,American Amber / Red Ale,5.00 %,1290,Rustic Road Accommodation Amber,Rustic Road Brewing Company,Amber Ale,5.70 %,0
209,Amsterdam Big Wheel Deluxe Amber,Amsterdam Brewing Company,American Amber / Red Ale,5.00 %,2468,Walking Man Bourbon Barrel Old Stumblefoot,Walking Man Brewing,Barley Wine,13 %,0
2264,Attitude Adjustment,Pat O'Hara Brewing Company,American Amber / Red Ale,-,2630,Georgetown Choppers Red Ale,Georgetown Brewing Company,Amber Ale,6.20 %,0
896,Eve Amber Ale,Lonerider Brewing Company,American Amber / Red Ale,4.20 %,2382,Shoreline Big Bourbon Series Discombobulation Celebration Ale,Shoreline Brewery,Barley Wine,13 %,0
753,Sequoia,Thornbridge Brewery,American Amber / Red Ale,4.50 %,820,Marks & Spencer Lowland Glen Amber,Harviestoun,Amber Ale,4.50 %,0
2739,Swayze In The Morning,Fairhope Brewing Company,American Amber / Red Ale,6.50 %,2176,Innovation Brew Works Rubottom_s Red,Innovation Brew Works,Amber Ale,5 %,0
2382,Grisette AmbrÃ © e,Brasserie St. Feuillien,American Amber / Red Ale,5.00 %,174,Bottle Logic Imperial REDioactive,Bottle Logic Brewing,American Strong Ale,8.60 %,0
490,961 Red Ale,961 Beer,American Amber / Red Ale,5.50 %,1483,Birrart Mos_ka Torrada,Cerveceria Birrart,Amber Ale,6 %,0
4167,The Gourdfather,Elysian Brewing Company,American Barleywine,11.20 %,2042,Salty Nut Miss Scarlett,Salty Nut Brewery,Amber Ale,7 %,0
97,Reprise Centennial Red,4 Hands Brewing Co. .,American Amber / Red Ale,6.00 %,867,7venth Sun Ruby Red Overhead IPA,7venth Sun Brewery,India Pale Ale &#40; IPA &#41;,6.30 %,0
3303,Hector 's Bell Amber Ale,Get Well,American Amber / Red Ale,5.00 %,1004,Wendlandt Harry Polanco Red Ale,CervecerÃa Wendlandt,Amber Ale,5.40 %,0
1636,New Zealand Red Ale,Kilannan Brewing Co. .,American Amber / Red Ale,5.20 %,2878,OrlÃ © ans Suzanne Marceau &#40; AmbrÃ © e _ l_rable &#41;,Microbrasserie de l __ le d_OrlÃ © ans,Amber Ale,6 %,0
3332,Steppin ' Out Ale,Slip Point Brewing,American Amber / Red Ale,-,2024,Les Brasseurs du Grand Paris Ligne 3,Parisis,Amber Ale,5 %,0
751,2 Gingers Barrel Aged Libertine,Fulton Beer,American Amber / Red Ale,-,1015,3 Ravens / Bacchus / Holgate / Moo Brew The Congress,3 Ravens,Smoked,6 %,0
410,Columbus Uncle Rusty,Columbus Brewing Company,American Amber / Red Ale,9.20 %,861,Cigar City / DuClaw Impey Barbicane_s Moongun,Cigar City Brewing,Amber Ale,3.90 %,0
804,Double Dirty Hippie,Kern River Brewing Company,American Amber / Red Ale,10.00 %,1918,Coronado Shrunken Head Red,Coronado Brewing Company,Session IPA,4.50 %,0
2622,Sweet Amber,Cheyenne Brewing Company,American Amber / Red Ale,8.00 %,991,Multi-Brasses Buck Rousse,Multi-Brasses,Amber Ale,5 %,0
3098,Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Amber / Red Ale,8.50 %,2209,Black Sands Pacific Red Ale,Black Sands Brewing Company,Amber Ale,5 %,0
1315,Tomashank,Ormond Brewing Company,American Amber / Red Ale,6.50 %,1922,5 Seasons North Amber Alert,5 Seasons North,Amber Ale,-,0
2271,North 40 WBA,Storz Trophy Room Grill & Brewery,American Amber / Red Ale,5.70 %,707,Caledonian Double Amber,Caledonian &#40; Heineken UK &#41;,Bitter,4.60 %,0
2489,Amarillo Anonymous,Rock & Run Brewery and Pub,American Amber / Red Ale,6.00 %,2596,Wadworth / Dungarvan Copper Coast Irish Red Ale,Wadworth,Irish Ale,4.30 %,0
1484,Amber Management,Broken Goblet Brewing Company,American Amber / Red Ale,7.10 %,1673,Tempest A Face With No Name,Tempest Brew Co,Amber Ale,6 %,0
357,Rufus,Firestone Walker Brewing Co. .,American Amber / Red Ale,12.00 %,69,Brewers Art Scarlet Fever,The Brewers Art,Sour/Wild Ale,3.25 %,0
2541,Emerald Irish Ale,Steelhead Brewing Co. .,American Amber / Red Ale,6.20 %,1076,Black Market Holiday 2014 - Triple Black Rye IPA,Black Market Brewing Company,American Strong Ale,11.20 %,0
944,Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Co. .,American Amber / Red Ale,8.00 %,1841,Rupert_s Match The Drapes Amber Ale,Rupert_s Brew House,Amber Ale,5.90 %,0
2982,Red Red Wheat,Ex Novo Brewing,American Amber / Red Ale,-,1523,Calanda PanachÃ ©,Heineken Switzerland,Radler/Shandy,2.40 %,0
3977,Certified Originals Sol Y Sambra,First Draft - Niagara College Teaching Brewery,American Amber / Red Ale,-,2155,De Molen Rye IPA Simcoe,Brouwerij de Molen,India Pale Ale &#40; IPA &#41;,6.60 %,0
1526,Unobtanium Intrepid Amber Ale,Boxing Rock Brewing Co. .,American Amber / Red Ale,5.00 %,2144,Nausta Inland Red Ale,Nausta Bryggeri,Amber Ale,5 %,0
1680,Class V Amber,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.00 %,650,Amager Red Nitro,Amager Bryghus,American Strong Ale,8.50 %,0
3267,Black Rock,Boshkung Brewing Co. .,American Amber / Red Ale,5.50 %,2445,Mother_s Foggy Notion - Single Barrel,Mother_s Brewing Company,Barley Wine,10.80 %,0
3041,Mano Roja,Domingo 7 : La Micro Brewing Co. .,American Amber / Red Ale,-,1722,Feral Nan_s Driving,Feral Brewing Co. .,Amber Ale,3.20 %,0
3135,RB 4:05,Rustic Brew,American Amber / Red Ale,-,303,Triple C Imperial Smoked Amber,Triple C Brewing Company,Smoked,8.20 %,0
637,Cedar Point Amber Ale,Geneva Lake Brewing Company,American Amber / Red Ale,5.00 %,2135,Blackwater Art Deco,Salopian,Golden Ale/Blond Ale,4.20 %,0
3583,Red Star,Burley Oak Brewery,American Amber / Red Ale,6.50 %,171,Prescott Manzanita Red,Prescott Brewing Company,Amber Ale,5.10 %,0
4103,Tickle Fight,Solemn Oath Brewery,American Barleywine,11.00 %,1559,Black Dog Bone Crusher Barley Wine,Black Dog Brewery,Barley Wine,12 %,0
3671,First Chair,Resolution Brewing Company,American Amber / Red Ale,5.70 %,2897,Blue Canoe Razorback Rye P.A.,Blue Canoe Brewing Company,India Pale Ale &#40; IPA &#41;,7.50 %,0
508,New Almaden Red,Santa Clara Valley Brewing,American Amber / Red Ale,10.00 %,1844,Alameda Wasco Indian Summer Ale,Alameda Brewing Co. .,India Pale Ale &#40; IPA &#41;,6.30 %,0
1252,Olmsted Amber,Park Tavern,American Amber / Red Ale,-,177,Modern Times Mega Blazing World,Modern Times Beer,Imperial IPA,8.50 %,0
1005,1890 Founder 's Ale,Grayton Beer Company,American Amber / Red Ale,6.10 %,2097,Wet Head Wetlands Bitter Sweet Red &#40; BSR &#41;,Wet Head Brewery,American Strong Ale,6.30 %,0
3857,Brewed Arson Amber,Heathen Brewing,American Amber / Red Ale,5.80 %,2465,Crazy Mountain Old Soul Belgian Strong Ale,Crazy Mountain Brewing Company,Belgian Strong Ale,7.50 %,0
3556,Hathor 's Amber Ale,Trap Rock Restaurant & Brewery,American Amber / Red Ale,5.30 %,2549,21st Amendment Toaster Pastry,21st Amendment Brewery,India Pale Ale &#40; IPA &#41;,7.60 %,0
3908,Galarneau,Gambrinus,American Amber / Red Ale,5.00 %,2458,New Albanian Hoosier Daddy Crimson & Cream Ale,New Albanian Brewing Company,American Strong Ale,7 %,0
334,1901 Red Ale,Bold City Brewery,American Amber / Red Ale,7.50 %,2050,450 North Copperhead Road Ale,450 North Brewing Company,Belgian Ale,5.20 %,0
4229,Frappabord,Microbrasserie Du Lac-Saint-Jean,American Barleywine,11.00 %,694,North Fork Son of Frog,North Fork Brewery/Pizza/Beer Shrine,American Strong Ale,6.20 %,0
3558,Blood Oats,Wheaty Brewing Corps,American Amber / Red Ale,5.60 %,1738,Ruosniemen Pikkupomo,Ruosniemen panimo,American Pale Ale,6 %,0
3590,Anecdotalist Amber Ale,Kuracali SakÃ © & Beer Brewery,American Amber / Red Ale,4.50 %,2428,Nebraska Inception Series Runnin _ with the Devil,Nebraska Brewing Company,Barley Wine,11.90 %,0
3322,Coyote Spirit,Feather Falls Casino Brewing Company,American Amber / Red Ale,-,2042,Salty Nut Miss Scarlett,Salty Nut Brewery,Amber Ale,7 %,0
2128,Patriot Red,Cornerstone Brewing Company,American Amber / Red Ale,5.60 %,2970,Belching Beaver Blushing Beaver,Belching Beaver,Amber Ale,6 %,0
1590,Semper Fi,Firehouse Brewing Co. .,American Amber / Red Ale,6.00 %,2925,_ P Vimperk ZÃ ¡ zvorovÃ 1/2 SpeciÃ ¡ l 13Â ° &#40; Ginger &#41;,_ umavskÃ 1/2 Pivovar,Spice/Herb/Vegetable,-,0
3413,Catch Me If You Can,Prison City Pub & Brewery,American Amber / Red Ale,5.70 %,2987,Bison Organic Red Reuben,Bison Brewing Company,Specialty Grain,7 %,0
2006,Ezra Red Ale,Bandwagon Brew Pub,American Amber / Red Ale,-,943,Bare Hands Nugget Amber,Bare Hands Brewery,Amber Ale,5.50 %,0
3388,Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co. .,American Amber / Red Ale,7.00 %,2396,Barrier Tenderfoot,Barrier Brewing Company,Imperial IPA,8.20 %,0
4304,Isle Of Pines Barley Wine,Flying Goose Brew Pub & Grille,American Barleywine,11.00 %,610,3 Ravens The Ravenator Bock,3 Ravens,Dunkler Bock,5.80 %,0
3528,ChlumeckÃ 1/2 Amber Ale,Brewery Lobkowicz,American Amber / Red Ale,4.90 %,875,Sherwood Production Line Red,Sherwood Brewing Company,Amber Ale,5.25 %,0
2602,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,408,McMenamins Bagdad Ale,McMenamins Pubs and Breweries,Pilsener,5 %,0
1969,Crabby Bill 's Ale,Black Diamond Brewing Co. .,American Amber / Red Ale,5.80 %,1673,Tempest A Face With No Name,Tempest Brew Co,Amber Ale,6 %,0
1204,Manheim Red,JoBoy 's Brew Pub,American Amber / Red Ale,5.50 %,2719,Big Dog_s Alpha Dog Double Red,Big Dog_s Brewing Co. .,American Strong Ale,9.10 %,0
2443,Titan Rock Red,38 State Brewing Company,American Amber / Red Ale,6.80 %,1158,North Mountain Octomalt,North Mountain Brewing Company,Amber Ale,6.70 %,0
2880,Big Red Rooster,St Andrews Brewing Company,American Amber / Red Ale,4.50 %,2552,The Bruery Double Dry Hopped Loakal Red,The Bruery,Amber Ale,6.90 %,0
182,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.20 %,251,75th Street Red Eye Rye,75th Street Brewery,Specialty Grain,5.50 %,0
99,Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,2,10 Barrel Backdraft IPA,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.50 %,0
198,Epicenter Amber,SanTan Brewing Co. .,American Amber / Red Ale,5.50 %,1345,Celt Experience Foraging for Herbs,Celt Experience,Spice/Herb/Vegetable,4.70 %,0
3277,Avro Arrow Maple Red Ale,Barnstormer Brewing & Pizzeria,American Amber / Red Ale,5.60 %,1819,Wrecking Bar Penny for your Thoughts Copper Ale,Wrecking Bar Brewpub,Amber Ale,5.10 %,0
1958,Georgia Tea Party,Eagle Creek Brewing Company,American Amber / Red Ale,5.00 %,982,Twin Peaks Ride The Hoh &#033; Red Ale,Twin Peaks Brewing and Malting Company,Irish Ale,-,0
1183,Slap Happy,Bog Iron Brewing,American Amber / Red Ale,5.80 %,621,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,0
3208,Galactic Amber Ale,Harvest Moon Brewery & Cafe,American Amber / Red Ale,4.80 %,928,Blackstone Sweet Tooth,Blackstone Restaurant & Brewery,Cream Ale,-,0
