tableA_id,tableA_title,tableA_starring,tableA_writer,tableA_editor,tableB_id,tableB_title,tableB_actor name,tableB_director name,tableB_year,tableB_genre,label
13203,,Snehalatha Reddy,U. R. Ananthamurthy,,10887,Samskara (1970),"Krishnamurthy, Lakshmi","Reddy, Pattabhi Rama",1970,,1
9736,Su00E5nt hu00E4nder inte hu00E4r,Mona ?strand,Herbert Grevenius,,3200,S?nt h?nder inte h?r (1950),"T?l, Sylvia","Bergman, Ingmar",1950,,1
5163,La marcia su Roma,Vittorio Gassman,,,14657,"Marcia su Roma, La (1963)","Brega, Mario (I)","Risi, Dino",1963,Comedy,1
18634,Make Way for Tomorrow,Victor Moore,Vi?a Delmar,,19157,"Day at the Beach, A (1970)","Burns, Mark (I)","Hesera, Simon",1970,Comedy,0
9805,Aku Ingin Menciummu Sekali Saja,,Nana Mulyana,,14868,Aku ingin menciummu sekali saja (2002),"Banggo, Leo","Nugroho, Garin",2002,Comedy,1
23761,,Malvina Pu00E9rez Pastorino,Abel Santa Cruz,,21725,"Great Waltz, The (1938)","Vanderveer, Ellinor","von Sternberg, Josef",1938,Music,0
5914,,Treat Williams,George La Fountaine,,9426,Flashpoint (1984),"Kendrick, Henry Max","Tannen, William (II)",1984,Thriller,1
6838,,Geraldine McKeown,August Strindberg,,15806,Southern Comfort (2001),Keegan,"Davis, Kate (I)",2001,Documentary,0
6684,,Gouranga Chakraborty,Apurba Kishore Bir,,5263,Smoke Signals (1998),"George, Chief Leonard","Eyre, Chris",1998,Comedy,0
19502,,"Liam Redmond, Anthony Bushell","Roy Boulting, Frank Harvey",,7315,High Treason (1951),"McNaughton, Jack","Boulting, Roy",1951,Drama,1
17281,,Jason Bradford Prestley,Jay Martel,,14852,"Letter: An American Town and the 'Somali Invasion', The (2003)",,"Hamzeh, Ziad H.",2003,Documentary,0
11044,Tengoku no honya,Yuko Takeuchi,Atsushi Matsuhisa,,87,Tengoku no honya - koibi (2004),"Takeuchi, Yuko","Shinohara, Tetsuo",2004,Drama,1
10271,Syndromes and a Century,Nantarat Sawaddikul Jaruchai Iamaram Sophon Pukanok Jenjira Pongpas,Apichatpong Weerasethakul,,11864,Sang sattawat (2006),"Pukanok, Sophon","Weerasethakul, Apichatpong",2006,Drama,1
6056,The Thing with Two Heads,Alfred Reginald Jones,James Gordon White,,13155,"Thing with Two Heads, The (1972)","Bliss, John (I)","Frost, Lee",1972,Horror,1
5904,Yellow Submarine,Geoffrey Hughes,John Lennon,,20468,Yellow Submarine (1968),"Hughes, Geoffrey (I)","Dunning, George (II)",1968,Comedy,1
1240,,Angeline Brown,Brian de Palma,,7556,Blowup (1966),"Murray, Rosaleen","Antonioni, Michelangelo",1966,Drama,0
12887,,Nutan Samarth,,,7825,"General Died at Dawn, The (1936)","Tong, Kam","Milestone, Lewis",1936,Adventure,0
12074,Stromboli,Ingrid Bergman,Story: Roberto Rossellini Sergio Amidei Art Cohn Roberto Rossellini Gian Paolo Callegari Renzo Cesana,,16467,Chor Machay Shor (1996),Reema,"Noor, Syed",1996,,0
24257,Life Is Sweet,Barbara Jane Horrocks,Mike Leigh,,8905,Life Is Sweet (1990),"Skinner, Claire (I)","Leigh, Mike",1990,Comedy,1
5691,Bophana: A Cambodian Tragedy,,,,3207,"Bophana, une trag?die cambodgienne (1996)",,"Panh, Rithy",1996,Documentary,1
861,Henry: Portrait of a Serial Killer,Tom Towles,Richard Fire,,10351,Henry: Portrait of a Serial Killer (1986),"Sziky, Erzsebet","McNaughton, John",1986,Horror,1
14340,,Om Prakash,Inder Raj Anand,,4736,Julie (1975),Vikram (I),"Sethumadhavan, K.S.",1975,Drama,1
26102,Universe,Donald MacRae,Roman Kroitor,,6993,Universe (1960),"Jackson, Stanley (I)","Low, Colin",1960,Short,1
10012,Wilby Wonderful,,Daniel MacIvor,,13905,Wilby Wonderful (2004),"Allodi, James","MacIvor, Daniel",2004,Comedy,1
8251,,,Dan Bigras,,1892,"Rage de l'ange, La (2006)","Danis, Louison","Bigras, Dan",2006,Drama,1
414,,Francis Xavier Aloysius James Jeremiah Keenan Wynn,Jim Lehrer,,18228,Viva Max! (1969),"Tucker, Glenn","Paris, Jerry",1969,Comedy,1
25524,,Hung Kam-Bo,Huang Ying,,2134,Gui da gui (1980),"Wong, Ha","Hung Kam-Bo, Sammo",1980,Comedy,1
7259,,Michael Pataki,Evan Archerd,,10076,Model Shop (1969),"Sorel, Jean","Demy, Jacques",1969,Drama,0
22794,,Gabriel Phillips,Phil Cunningham,,22625,"Legend of the Sky Kingdom, The (2004)","Phillips, Gabriel","Hawkins, Roger (II)",2004,Animation,1
22029,City Lights,Florence Lee,Charlie Chaplin,,6878,City Lights (1931),"Oliver, Margaret (I)","Chaplin, Charles",1931,Comedy,1
16428,,,Hans Burger,,19855,Death Mills (1945),,"Wilder, Billy",1945,Short,1
16555,Follow the Fleet,Frederick Austerlitz Jr.,Allan Scott (screenwriter),,7923,Follow the Fleet (1936),"Gray, Jeanne","Sandrich, Mark",1936,Comedy,1
4606,,Geraint Wyn Davies,Alex Sanger,,15187,American Psycho II: All American Girl (2002) (V),"Williams, Philip (I)","Freeman, Morgan J.",2002,Horror,1
26663,,Benjamin Edward Stiller,Mickey Birnbaum David Guion Michael Handelman,,13975,"Devil in Miss Jones, The (1973)","Stevens, Marc (II)","Damiano, Gerard",1973,Adult,0
15484,Body of Lies,Leonardo Wilhelm DiCaprio,David Ignatius,,8055,Youling renjian II: Gui wei ren jian (2002),"Chan, Chai Ping","Kwong, Abe",2002,Horror,0
2784,Tom Brown's Schooldays,Alexander Richard Pettyfer,Ashley Pharoah,,18621,Tom Brown's Schooldays (2005) (TV),"Sopp, Adam","Moore, Dave (I)",2005,Drama,1
12578,Bad Girls Go to Hell,Gigi Darlene George La Rocque Sam Stewart,Doris Wishman (as Dawn Whitman),,6495,Bad Girls Go to Hell (1965),"Starr, Marlene","Wishman, Doris",1965,Drama,1
10826,Silk Stockings,Tula Ellice Finklea,Leonard Gershe,,8503,They (1993) (TV),"McLawhorn, Charles","Korty, John",1993,Drama,0
26628,Kim,Robert Dean Stockwell,Rudyard Kipling,,17012,All About Eve (1950),"Holm, Celeste (I)","Mankiewicz, Joseph L.",1950,Drama,0
3480,,Ahmad Nisfu,Teuku Zakaria,,9909,"Lady Takes a Chance, A (1943)","Melesh, Alex","Hathaway, Henry",1943,Comedy,0
14567,,Catherine Fabienne Dorlu00E9ac,Pascal Bonitzer,,14235,Ma saison pr?f?r?e (1993),"Caven, Ingrid","T?chin?, Andr?",1993,Drama,1
10742,,Kristine DeBell,Bruce Bryant,,6672,"Deceivers, The (1988)","Sondhi, R.P.","Meyer, Nicholas",1988,Drama,0
19857,21 Grams,Benicio Monserrate Rafael del Toro Su00E1nchez,Guillermo Arriaga,,19510,21 Grams (2003),"Blair, Pamela","Gonz?lez I??rritu, Alejandro",2003,Thriller,1
19883,Battle Beyond the Stars,"George Peppard, Jr.",Anne Dyer,,9075,Battle Beyond the Stars (1980),"Saxon, John","Murakami, Jimmy T.",1980,Sci-Fi,1
23974,Kidnapped,Warner Leroy Baxter,Edwin Blum,,6612,Bleed (2002) (V),"Mica, Brendan","Hamilton, Devin",2002,Horror,0
20365,Chan is Missing,Marc Hayashi,Isaac Cronin,,5039,Appointment in London (1952),"Kydd, Sam","Leacock, Philip",1952,Drama,0
4507,,Charles Inslee,Charlie Chaplin,,22411,"Woman, A (1915)","Armstrong, Billy (I)","Chaplin, Charles",1915,Short,1
1111,"N.Y., N.Y.",,,,8470,Son of the Gods (1930),"Barthelmess, Richard","Lloyd, Frank (I)",1930,Drama,0
3426,The Riot,Roscoe Arbuckle,,,15305,"Riot, The (1913)","Arbuckle, Roscoe 'Fatty'","Sennett, Mack",1913,Short,1
684,,Dan Hedaya,Norman Steinberg,,3394,Chhoti Bahu (1971),"Bose, Tarun","Tilak, K.B.",1971,Drama,0
19309,Bordertown,Josu00E9 Antonio Domu00EDnguez Banderas,Gregory Nava,,4156,Bordertown (2006),"Lopez, Jennifer (I)","Nava, Gregory",2006,Drama,1
17136,The Phantom of the Opera,Molly Helen Shannon,Gerry O'Hara,,22340,"Phantom of the Opera, The (1989)","Fiol, Virginia","Little, Dwight H.",1989,Horror,1
17901,,Frederick Austerlitz Jr.,Adolph Green,,21743,Angels and Insects (1995),"Gudge, Naomi","Haas, Philip",1995,Romance,0
17478,Affliction,James Harrison Coburn Jr.,Russell Banks,,10464,Affliction (1997),"Osborne, Holmes","Schrader, Paul (I)",1997,Drama,1
1570,Manslaughter,Leatrice Joy,Alice Duer Miller,,17836,"Asphalt Jungle, The (1950)","Caruso, Anthony (I)","Huston, John (I)",1950,Drama,0
4863,,Angu00E9lica Maru00EDa    Fernando Luju00E1n,Josu00E9 Agustu00EDn Fernando Galiana,,2422,5 de chocolate y 1 de fresa (1968),"Luj?n, Fernando","Velo, Carlos",1968,Comedy,1
5978,Haxan,Astrid Holm,,,10158,H?xan (1922),"Rassow, Knud","Christensen, Benjamin",1922,Horror,1
8747,Jarhead,Eric Marlon Bishop,William Broyles Jr.,,13637,Me and My Gal (1932),"Moran, Frank (I)","Walsh, Raoul",1932,Comedy,0
15132,The Lovely Bones,Saoirse Ronan,Philippa Boyens,,9617,"Prince and the Pauper, The (1937)","Barry, Phyllis","Dieterle, William",1937,Family,0
21779,,Rita Hamilton,Takeshi Kimura,,6476,Furankenshutain no kaij?: Sanda tai Gaira (1966),"Ito, Hisaya","Honda, Ishir?",1966,Horror,1
16847,,Bette Midler,Leslie Dixon,,21043,"Locals, The (2003)","Barker, John (IV)","Page, Greg (II)",2003,Horror,0
26518,,,Alphonse Daudet,,14445,"Aventuras de Jack, Las (1949)","Bello, Alberto (I)","Borcosque, Carlos F.",1949,,1
15,Lebenszeichen,Wolfgang Reichmann,Werner Herzog,,22449,Lebenszeichen (1968),"von Ungern-Sternberg, Wolfgang","Herzog, Werner",1968,Drama,1
7195,The Woman Next Door,Fanny Marguerite Judith Ardant,Suzanne Klochendler,,824,"Femme d'? c?t?, La (1981)","Crassac, Catherine","Truffaut, Fran?ois",1981,Drama,1
1903,Du00E9siru00E9e,Estelle Merle O'Brien Thompson,Daniel Taradash,,13297,Desir?e (1954),"Deacon, Richard","Koster, Henry",1954,Romance,1
24871,"Voorbij, voorbij",,Gerard Soeteman,,10284,"Voorbij, voorbij (1979) (TV)","Domburg, Andrea","Verhoeven, Paul (I)",1979,Drama,1
10959,,Monetta Eloyse Darnell,Sydney Boehm,,16598,Second Chance (1953),"Fern?ndez, Abel","Mat?, Rudolph",1953,Thriller,1
4655,Moon over Parador,Sonia Braga,,,16074,Moon Over Parador (1988),"McCary, Rod","Mazursky, Paul",1988,Comedy,1
11360,,Caroline Elliott,Thomas Everett Eberhardt,,13795,"Dandy in Aspic, A (1968)","Harvey, Laurence (I)","Harvey, Laurence (I)",1968,Drama,0
9284,,Lee Ann Remick,Horton Foote,,6497,Baby the Rain Must Fall (1965),"Daheim, John","Mulligan, Robert",1965,Drama,1
2812,The Terror,Sandra Knight,Roger Corman,,19972,"Terror, The (1963)","Karloff, Boris","Coppola, Francis Ford",1963,Horror,1
23879,,Eugene Lockhart,Lindsay Hardy,,4581,World for Ransom (1954),"Lung, Clarence","Aldrich, Robert",1954,Drama,1
25410,He Walked by Night,Scott Brady,Crane Wilbur,,14538,He Walked by Night (1948),"Nolan, Jim (I)","Werker, Alfred L.",1948,Thriller,1
6635,Vincent & Theo,Timothy Simon Smith,Julian Mitchell,,13175,Vincent & Theo (1990),"Brine, Adrian","Altman, Robert (I)",1990,Drama,1
11115,Jazz and Jailbirds,Oliver Hardy,J.A. Howe,,800,Jazz and Jailbirds (1919),"Vernon, Dorothy (I)","Howe, J.A.",1919,Short,1
19747,,Koichi Hashizume,Shunji Iwai,,19252,VeggieTales: Lord of the Beans (2005) (V),"Roberts, Brian K.","Nawrocki, Mike",2005,Short,0
10438,Loopy,,,,9700,Loopy (2004/I),"Russell, Henny","Donsky, Seth Michael",2004,Horror,1
19184,,Ruben Moreno,John Platt (screenwriter),,2281,Fore Play (1975),"Plimpton, Shelley","Malmuth, Bruce",1975,Comedy,0
20712,A Union in Wait,,,,14054,"Union in Wait, A (2001)","Yewdall, Lisa Howes","Butler, Ryan",2001,Short,1
9853,Klyuch,Georgiy Vitsin,Mikhail Volpin,,1749,Klyuch (1961),"Tumanova, V.","Atamanov, Lev",1961,Short,1
6542,Early to Bed,Arthur Stanley Jefferson,H.M. Walker,,16762,Early to Bed (1928),"Laurel, Stan","Flynn, Emmett J.",1928,Short,1
11838,My Life Without Me,Amanda Michael Plummer,Nanci Kincaid,,1503,Shakespeare in Love (1998),"Speed, Lucy","Madden, John (I)",1998,Comedy,0
24591,Topsy-Turvy,Allan Corduner,Mike Leigh,,13578,Topsy-Turvy (1999),"Otani, Akemi","Leigh, Mike",1999,Comedy,1
9153,,,Robert Cargill,,7374,Right on Track (2003) (TV),"Jacobs, Eric (II)","Dunham, Duwayne",2003,Drama,0
11370,,Max Riemelt,Dennis Gansel  Maggie Peren,,8883,NaPolA (2004),"Julina, Zdenek","Gansel, Dennis",2004,Drama,1
24736,Suck My Dick,Katja Flint,Oskar Roehler,,8008,Suck My Dick (2001),"Bagusat, Nina","Roehler, Oskar",2001,,1
9390,Monkey Business,Archibald Alec Leach,I.A.L. Diamond,,19588,Monkey Business (1952),"Bartell, Harry","Hawks, Howard",1952,Comedy,1
18361,Filmfare Best Movie Award,Jennifer Kendal,Ruskin Bond,,14529,Junoon (1978),"Shah, Naseeruddin (I)","Benegal, Shyam",1978,,1
9743,,Lillian Leighton,Hayden Talbot,,4590,"Married Virgin, The (1918)","Valentino, Rudolph","Maxwell, Joseph (I)",1918,Drama,1
20698,Getting Even with Dad,Saul Rubinek,Tom S. Parker,,7790,"Legend of Zorro, The (2005)","M?ndez, Ra?l","Campbell, Martin (I)",2005,Western,0
12089,,,Bruno Dega,,5939,Restons group?s (1998),"Carson, Darwyn","Salom?, Jean-Paul",1998,Comedy,1
4228,,Kirari,Akio Satsukawa,,22313,On the Edge of Innocence (1997) (TV),"Lourwood, Heath","Werner, Peter (III)",1997,Drama,0
18913,,Jean Angelo,Pierre Benoit,,6925,Chain (2004),"Nikaido, Miho","Cohen, Jem",2004,Documentary,0
18002,,Luis Guzm?n,Edwin Torres,,10558,Q & A (1990),"Hutton, Timothy","Lumet, Sidney",1990,Drama,1
20812,,#Cast,Jeff Schechter,,11839,Care Bears: Big Wish Movie (2005) (V),"Maiorano, Angela","Jacobs, Larry (I)",2005,Comedy,1
13406,Jane Austen's Mafia!,Christina Applegate,Jim Abrahams Greg Norberg Michael McManus,,8856,Born to Dance (1936),"Troy, Helen","Del Ruth, Roy",1936,Comedy,0
21825,El du00EDa de la Bestia,Santiago Segura,,,490,"D?a de la bestia, El (1995)","y Medio, Juan","Iglesia, ?lex de la",1995,Horror,1
512,,Marion Pauline Levy,Ernest Vajda,,13385,Dramatic School (1938),"Thelan, Norma","Sinclair, Robert B.",1938,Drama,1
18622,The Moon-Spinners,Eli Wallach,Michael Dyne,,22575,Cinderfella (1960),"Leavitt, Norman","Tashlin, Frank",1960,Comedy,0
5498,BAFTA Award for Best Film,Robert Carlyle,Simon Beaufoy,,20273,"Full Monty, The (1997)","Maduemezia, Theresa","Cattaneo, Peter",1997,Comedy,1
6217,Step into Liquid,,,,18722,Step Into Liquid (2003),"Weaver, Robert 'Wingnut'","Brown, Dana (II)",2003,Documentary,1
11374,Expiration,Gavin Heffernan,Gavin Heffernan,,11015,Expiration (2003),"Greenwood, Matt","Heffernan, Gavin",2003,Drama,1
18262,,Franu00E7oise Sorya Dreyfus,James Salter,,18524,Rockin' Road Trip (1985),"McLean, Garth","Olsen, William",1985,Comedy,0
18412,,Eileen Heckart,Lawrence Holben,,2570,"Hiding Place, The (1975)","Davies, Janet (I)","Collier, James F.",1975,Drama,1
12568,The Razor's Edge,Gene Eliza Tierney,Darryl Francis Zanuck,,13390,"Razor's Edge, The (1946)","Beretta, Carmen","Goulding, Edmund",1946,Drama,1
13039,Angel Heart,Lisa Michelle Bonet,William Hjortsberg,,3969,Angel Heart (1987),"Taylor, Mark L.","Parker, Alan (I)",1987,Horror,1
1032,Warrior of the Lost World,Robert Ginty,David Worth,,18087,Warrior of the Lost World (1983),"Coffey, Scott (I)","Williamson, Fred",1983,Sci-Fi,1
7078,The Heart of the Game,Ludacris,Ward Serrill,,18175,"Heart of the Game, The (2005)","Walker, Joyce (III)","Serrill, Ward",2005,Sport,1
24967,Calendar Girls,Celia Diana Savile Imrie,Tim Firth,,8770,Calendar Girls (2003),"Bennett, Elizabeth (I)","Cole, Nigel",2003,Comedy,1
16920,From Laramie to London,Harold Lloyd,H.M. Walker,,14965,From Laramie to London (1917),"Fay, Billy",,1917,Short,1
16998,A Perfect World,Kevin Michael Costner,John Lee Hancock,,5089,"I, the Jury (1982)","Madigan, M. Sharon","Heffron, Richard T.",1982,Thriller,0
10138,,Margaret Colin,Karen Moncrieff,,2796,Blue Car (2002),"Mowder, Jane","Moncrieff, Karen (I)",2002,Drama,1
13275,The Firm,Jeanne Tripplehorn,Robert Towne,,11311,"Firm, The (1993)","Welles, Terri","Pollack, Sydney",1993,Thriller,1
14532,,Tara Elders,Tomas Ross,,4381,06/05 (2004),"Hensema, Marcel","Gogh, Theo van",2004,Drama,1
25134,Hellfighters,Marion Robert Morrison,Clair Huffaker,,17607,Hellfighters (1968),"Hamilton, Big John","McLaglen, Andrew V.",1968,Adventure,1
16750,Irru00E9versible,Vincent Cassel,Gaspar No?,,3935,Irr?versible (2002),"Dupontel, Albert","No?, Gaspar",2002,Drama,1
9263,,Ashutosh Rana,Sachin Bhowmick,,4944,Dushman (1998),"Khemu, Kunal","Chandra, Tanuja",1998,Crime,1
22141,,Marjorie Eaton,Sue Bradford Dean Dillman Jr. Jack Pollexfen Vy Russell,,856,"Benny, El (2006)","Hern?ndez, B?rbara","S?nchez, Jorge Luis (I)",2006,Drama,0
19828,Sissi,Gustav Knuth,Ernst Marischka,,16965,Sissi (1955),"Meinrad, Josef","Marischka, Ernst",1955,Comedy,1
22653,A Wrinkle in Time (TV) (mini),Alison Elliott,Madeleine L'Engle,,3767,"Wrinkle in Time, A (2003) (TV)","Reis, Shawn","Harrison, John Kent",2003,Family,1
19140,By the Sad Sea Waves,Harold Lloyd,H.M. Walker,,11642,By the Sad Sea Waves (1917),"Blaisdell, William","Goulding, Alfred J.",1917,Short,1
19787,A Day's Adventure,Henry DeWitt Carey II,,,10024,"Day's Adventure, A (1915)","McDowell, Claire",,1915,Short,1
24809,El Baile,Alberto Closas,Edgar Neville,,11247,"Baile, El (1959)","Montes, Conchita","Neville, Edgar",1959,Comedy,1
14075,,,Jean-Pierre Limosin,,10850,Safari be Diare Mosafer (1993),"Limosin, Jean-Pierre","Kiarostami, Bahman",1993,Documentary,1
22006,Frequency,Elizabeth Mitchell,Toby Emmerich,,22546,Frequency (2000),"Burdon, Catherine","Hoblit, Gregory",2000,Thriller,1
18607,Golden Globe Award for Best Foreign Language Film,,,,6854,"Fu?g?nger, Der (1973)","Kohut, Walter","Schell, Maximilian",1973,Drama,1
27002,Hatred,,Nikita Mikhalkov,,5376,Three Little Pirates (1946),"Howard, Curly","Bernds, Edward",1946,Short,0
15216,Jungle 2 Jungle,Sam Huntington,Raynold Gideon,,2661,Slap Shot (1977),"Barrette, Yvon","Hill, George Roy",1977,Comedy,0
2689,The Four-Bit Man,Josephine Hill,Anthony Coldeway,,3888,"Four-Bit Man, The (1919)","Hill, Josephine","Eason, B. Reeves",1919,Short,1
17260,,Elizabeth McGovern,Richard Russo,,21633,"Flamingo Rising, The (2001) (TV)","Broderick, Erin","Coolidge, Martha",2001,Drama,1
6170,Batman,"Bert John Gervis, Jr",Robert Kahn,,7577,Batman (1966),"Barbi, Vincent","Martinson, Leslie H.",1966,Comedy,1
16716,Saturn Award for Best Science Fiction Film,#Cast,Nicholas Meyer,,10413,Star Trek VI: The Undiscovered Country (1991),"Doohan, James","Meyer, Nicholas",1991,Action,1
9523,The Spoilers,Jeff Chandler,Oscar Brodney,,17465,"Spoilers, The (1955)","Parker, Eddie (I)","Hibbs, Jesse",1955,Western,1
27218,,Lillian Diana Gish,Irwin Shaw,,106,Commandos Strike at Dawn (1942),"Janssen, Elsa (I)","Farrow, John (I)",1942,Drama,1
1471,You Kill Me,Philip Baker Hall,Stephen McFeely,,5874,You Kill Me (2007),"James, Lorraine","Dahl, John (I)",2007,Comedy,1
14689,The Flintstone' 25th Anniversary Celebration,Harvey Herschel Korman,,,16750,"Flintstones' 25th Anniversary Celebration, The (1986) (TV)","Korman, Harvey","Guenette, Robert",1986,Documentary,1
14292,Le Passager de la Pluie,Charles Dennis Buchinsky,,,9735,"Passager de la pluie, Le (1969)","Bronson, Charles","Cl?ment, Ren?",1969,Drama,1
20421,Genghis Blues,Paul Pena,,,2635,Genghis Blues (1999),"Ondar, Kongar-ol","Belic, Roko",1999,Documentary,1
2752,,"Tyrone Edmund Power, Jr.",We The O'Learys,,1887,In Old Chicago (1937),"Gale, Norah","King, Henry (I)",1937,Western,1
6379,Quatre aventures de Reinette et Mirabelle,Jessica Forde,Eric Rohmer Jou00EBlle Miquel,,14212,Crashin' Thru (1923),"Mailes, Charles Hill","Paul, Val",1923,Western,0
17,,Robert John Wagner,James Salter,,19669,"Hunters, The (1958)","Tong, Kam","Powell, Dick (I)",1958,Drama,1
18166,The Minus Man,Dennis Dexter Haysbert,Hampton Fancher,,13568,"Minus Man, The (1999)","Garofalo, Janeane","Fancher, Hampton",1999,Drama,1
6394,One Hundred Men and a Girl,Adolphe Jean Menjou,Charles Kenyon,,10023,One Hundred Men and a Girl (1937),"Smart, J. Scott","Koster, Henry",1937,Comedy,1
4933,,Vinod Mehra,,,22956,Pyaar Ki Jeet (1987),Jagdeep,"Tak, Saawan Kumar",1987,Comedy,1
12426,,Ricardo Montalban,John C. Higgins,,5901,Border Incident (1949),"L?pez, Manuel (I)","Mann, Anthony (I)",1949,Drama,1
24802,List of Sundance Film Festival award winners,Nguyen Ngoc Hiep,Tony Bui,,3791,Three Seasons (1999),"Dao, Hong Khac","Bui, Tony",1999,Drama,1
9466,,,Phil Craig Victoria Spark,,10947,"Flight That Fought Back, The (2005) (TV)","Cutler, Lenore","Goodison, Bruce",2005,Drama,1
13186,Tron,Cynthia Ann Cichorski,Bonnie MacBird,,9126,"Boogeyman, The (1980)","Tambini, Catherine","Lommel, Ulli",1980,Horror,0
26432,Young Thugs: Innocent Blood,,Riichi Nakaba,,18949,Kishiwada sh?nen gurentai: Chikemuri junj?-hen (1997),"Yabe, Ky?suke","Miike, Takashi (I)",1997,,1
9719,Narayama bushiko,Kaoru Shimamori,Shohei Imamura,,19784,Daai foo ji ga (1994),"Leung Ka Fai, Tony","Ko, Clifton",1994,Comedy,0
879,Old Acquaintance,Ruth Elizabeth Davis,Edmund Goulding,,8828,Old Acquaintance (1943),"Young, Gig","Sherman, Vincent",1943,Drama,1
1936,Love on the Dole,Clifford Evans,Walter Greenwood  Barbara K. Emary Rollo Gamble,,5711,Love on the Dole (1941),"O'Neill, Maire (I)","Baxter, John (I)",1941,Drama,1
22361,Aventure Malgache,,Angus MacPhail,,11175,Aventure malgache (1944),,"Hitchcock, Alfred (I)",1944,Short,1
17455,Rented Lips,Jennifer E. Chan,Martin Mull,,18257,"Land Before Time VIII: The Big Freeze, The (2001) (V)","Krebs, Susan","Grosvenor, Charles",2001,Drama,0
20686,,Eriko Hatsune,Junji Ito,,16662,Uzumaki (2000),"Hamada, Maki",Higuchinsky,2000,Horror,1
21302,Tightrope,Dan Hedaya,Richard Tuggle,,2281,Fore Play (1975),"Plimpton, Shelley","Malmuth, Bruce",1975,Comedy,0
19480,War Game,,Michael Foreman,,22990,Reach the Rock (1998),"Reedus, Norman","Ryan, William (I)",1998,Comedy,0
26611,Trouble in Mind,Keith Ian Carradine,Alan Rudolph,,14405,Scary Movie 5 (2008),"Harrison, Donna (II)","Zucker, David (I)",2008,Horror,0
14708,Blood Diamond,Arnold Vosloo,Charles Leavitt,,4582,Blood Diamond (2006),"Connelly, Jennifer","Zwick, Edward",2006,Drama,1
22457,Safe Men,Paul Giamatti,John Hamburg,,4026,Safe Men (1998),"Schmidt, Michael (III)","Hamburg, John",1998,Comedy,1
15729,Amor a la espau00F1ola,Jos? Luis L?pez V?zquez,Alfonso Paso,,18129,Amante para dos (1981),"Albinoni, Luisa","Sofovich, Hugo",1981,Comedy,1
22366,,Allari Naresh,EVV Satyanarayana,,9585,What's Eating Gilbert Grape (1993),"Haynes, George","Hallstr?m, Lasse",1993,Comedy,0
7889,Drifters,Duan Long,,,18489,Er di (2003),"Tang, Yang","Wang, Xiaoshuai",2003,Drama,1
9580,A Note of Triumph: The Golden Age of Norman Corwin,,,,4809,"Note of Triumph: The Golden Age of Norman Corwin, A (2005)","Corwin, Norman","Simonson, Eric (I)",2005,Short,1
1683,My Beautiful Laundrette,Saeed Jaffrey,Hanif Kureishi,,601,Dollman vs. Demonic Toys (1993) (V),"Greathouse, David","Band, Charles",1993,Horror,0
17270,The Emerald Forest,Dira Paes,Rospo Pallenberg,,8282,"Emerald Forest, The (1985)","Borges, Mario","Boorman, John",1985,Drama,1
14298,Zigeunerweisen,Naoko Otani,Hyakken Uchida,,12556,Chai lai (2006),"Chaimongkol, Supakson","Arnon, Poj",2006,Comedy,0
15659,Sleuth,Michael Caine,Sleuth (play),,750,3 Women (1977),"Cromwell, John","Altman, Robert (I)",1977,Drama,0
6888,Entertaining Mr Sloane,Alan Webb,Joe Orton,,8202,Fandango (1985),"Brunner, Don (I)","Reynolds, Kevin (I)",1985,Comedy,0
11865,Boogie Nights,Mark Wahlberg,Paul Thomas Anderson,,11221,Boogie Nights (1997),"Bueno, Rico","Anderson, Paul Thomas",1997,Drama,1
19930,,Robert Houston,Wes Craven,,15219,"Hills Have Eyes, The (1977)","Gordon, Lance","Craven, Wes",1977,Horror,1
5169,,Ku Feng,,,1712,Jie quan ying zhua gong (1979),"Shan, Kwai","Lee, Tso Nam",1979,Drama,1
21461,,Mahjabeen Bano,,,12635,Main Bhi Ladki Hoon (1964),"Kumari, Meena (I)","Trilogchander, A.C.",1964,,1
12789,,Wu Hsing-kuo,Ivy Ho,,6778,Dak miu mai shing (2001),"Cheung, Tat-Ming","Chan, Teddy",2001,Comedy,1
25716,Les Bons du00E9barras,Germain Houde,R?jean Ducharme,,5731,"Bons d?barras, Les (1980)","Fajardo, Marcella","Mankiewicz, Francis",1980,Drama,1
3865,,Frederick Alan Moranis,James Ferguson (writer),,10131,311: Enlarged to Show Detail 2 (2001) (V),"Mahoney, Tim (II)","Papke, Jay",2001,Music,0
2485,,Joseph Klein,Hanns Heinz Ewers,,20130,"Alraune, die Henkerstochter, genannt die rote Hanne (1918)","Sand, Tatjana","Klein, Joseph",1918,Horror,1
19079,Fatty's Magic Pants,Roscoe Arbuckle,,,18765,"Vampiro, El (1957)","Soler, Mercedes (I)","M?ndez, Fernando (I)",1957,Horror,0
25111,,Tony Barry,Alison Tilson,,792,Road to Nhill (1997),"Cuming, Robin","Brooks, Sue (I)",1997,,1
15918,Air Force One,Gary Leonard Oldman,Andrew W. Marlowe,,10469,Air Force One (1997),"Woolf, Alan","Petersen, Wolfgang (I)",1997,Thriller,1
4216,The Beast of Hollow Mountain,,Willis O'Brien(as El Torro Estrella) Robert Hill Jack DeWitt (dialogue),,15704,"Beast of Hollow Mountain, The (1956)","Rivas, Carlos (I)","Rodr?guez, Ismael (I)",1956,Horror,1
10374,Samson,J. Warren Kerrigan,Lorimer Johnston,,18207,Samson (1914),"Warrenton, Lule","MacDonald, J. Farrell",1914,Drama,1
