tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
2272,MPEG-7 Standard for Multimedia Databases,John R. Smith,SIGMOD Conference,2001,368,Standard for multimedia databases,John R. Smith,International Conference on Management of Data,2001.0,1
2608,ADAM: A Testbed for Exploring the Use of Data Mining in Intrusion Detection,"Daniel Barbar?, Sushil Jajodia, Ningning Wu, Julia Couto",SIGMOD Record,2001,555,ADAM: a testbed for exploring the use of data mining in intrusion detection,"Daniel Barbar&#225;, Julia Couto, Sushil Jajodia, Ningning Wu",ACM SIGMOD Record,2001.0,1
1497,Flexible Relations - Operational Support of Variant Relational Structures,"Peter Dadam, Christian Kalus",VLDB,1995,1118,Flexible Relations - Operational Support of Variant Relational Structures,"Christian Kalus, Peter Dadam",Very Large Data Bases,1995.0,1
689,Chair's Message,M. Tamer ?zsu,SIGMOD Record,2003,19,DOMINO: databases fOr MovINg Objects tracking,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data,1999.0,0
91,"Business Process Coordination: State of the Art, Trends, and Open Issues","Meichun Hsu, Rivka Ladin, Umeshwar Dayal",VLDB,2001,2125,Book review column,Karl Aberer,ACM SIGMOD Record,2003.0,0
2417,Semantic Compression and Pattern Extraction with Fascicles,"J. Madar, Raymond T. Ng, H. V. Jagadish",VLDB,1999,643,Archiving scientific data,"Peter Buneman, Sanjeev Khanna, Keishi Tajima, Wang-Chiew Tan",International Conference on Management of Data,2002.0,0
827,SQL Open Heterogeneous Data Access,"Berthold Reinwald, Hamid Pirahesh",SIGMOD Conference,1998,1396,AgFlow: Agent-based Cross-Enterprise Workflow Management System,"Liangzhao Zeng, Boualem Benatallah, Phuong Nguyen, Anne H. H. Ngu",Very Large Data Bases,2001.0,0
2263,Supporting Procedural Constructs in SQL Compilers,Nelson Mendon?a Mattos,VLDB,1996,301,Adaptable query optimization and evaluation in temporal middleware,"Giedrius Slivinskas, Christian S. Jensen, Richard Thomas Snodgrass",International Conference on Management of Data,2001.0,0
112,Recent Design Trade-offs in SQL3,"Nelson Mendon?a Mattos, Linda G. DeMichiel",SIGMOD Record,1994,1735,Recent design trade-offs in SQL3,"Nelson Mattos, Linda G. DeMichiel",ACM SIGMOD Record,1994.0,1
2593,Hash Joins and Hash Teams in Microsoft SQL Server,"Shaun Cooper, Goetz Graefe, Ross Bunker",VLDB,1998,1096,Scalablity and Availability in Oracle7 7.3,Dieter Gawlick,Very Large Data Bases,1996.0,0
1598,Efficient Concurrency Control in Multidimensional Access Methods,"Sharad Mehrotra, Kaushik Chakrabarti",SIGMOD Conference,1999,608,Special section on semantic web and data management,"Robert Meersman, Amit Sheth",ACM SIGMOD Record,2002.0,0
1310,Describing Semistructured Data,Luca Cardelli,SIGMOD Record,2001,1942,A normal form for precisely characterizing redundancy in nested relations,"Wai Yin Mok, Yiu-Kai Ng, David W. Embley",ACM Transactions on Database Systems (TODS),1996.0,0
424,Beyond Market Baskets: Generalizing Association Rules to Correlations,"Rajeev Motwani, Sergey Brin, Craig Silverstein",SIGMOD Conference,1997,1813,Beyond market baskets: generalizing association rules to correlations,"Sergey Brin, Rajeev Motwani, Craig Silverstein",International Conference on Management of Data,1997.0,1
360,On the minimization of Xpath queries,"Elio Masciari, Sergio Flesca, Filippo Furfaro",VLDB,2003,1124,Cache Coherency in Oracle Parallel Server,Boris Klots,Very Large Data Bases,1996.0,0
2038,Controlling Data Warehouses with Knowledge Networks,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",VLDB,2000,1862,A query language for a Web-site management system,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",ACM SIGMOD Record,1997.0,0
2127,Implementing Xquery 1.0: The Galax Experience,"Gargi Sur, Mary F. Fernandez, Am?lie Marian, J?r?me Sim?on, Byron Choi",VLDB,2003,1052,The Design and Implementation of a Sequence Database System,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",Very Large Data Bases,1996.0,0
28,A Logical View of Structured Files,"Tova Milo, Serge Abiteboul, Sophie Cluet",VLDB J.,1998,1908,New programs at DARPA and NSF,Xiolai Qian,ACM SIGMOD Record,1996.0,0
1005,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"Michel Schneider, J?r?me Darmont",VLDB,1999,795,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"J&#233;r&#244;me Darmont, Michel Schneider",Very Large Data Bases,1999.0,1
1834,Dynamic Maintenance of Data Distribution for Selectivity Estimation,"Kyu-Young Whang, Gio Wiederhold, Sang-Wook Kim",VLDB J.,1994,601,Dynamic maintenance of data distribution for selectivity estimation,"Kyu Young Whang, Sang Wook Kim, Gio Wiederhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1994.0,1
1649,XMILL: An Efficient Compressor for XML Data,"Hartmut Liefke, Dan Suciu",SIGMOD Conference,2000,74,XMill: an efficient compressor for XML data,"Hartmut Liefke, Dan Suciu",International Conference on Management of Data,2000.0,1
2425,Template-Based Wrappers in the TSIMMIS System,"Joachim Hammer, Hector Garcia-Molina, Svetlozar Nestorov, Ramana Yerneni, Markus M. Breunig, Vasilis Vassalos",SIGMOD Conference,1997,1304,An Evaluation of Generic Bulk Loading Techniques,"Jochen Van den Bercken, Bernhard Seeger",Very Large Data Bases,2001.0,0
2154,Graphical Interaction with Heterogeneous Databases,"Tiziana Catarci, John Cardiff, Giuseppe Santucci",VLDB J.,1997,855,Capturing and Querying Multiple Aspects of Semistructured Data,"Curtis E. Dyreson, Michael H. B&#246;hlen, Christian S. Jensen",Very Large Data Bases,1999.0,0
114,Similarity-Based Queries for Time Series Data,"Alberto O. Mendelzon, Davood Rafiei",SIGMOD Conference,1997,182,Memory management during run generation in external sorting,"Per-&#197;ke Larson, Goetz Graefe",International Conference on Management of Data,1998.0,0
213,OGDI: Toward Interoperability among Geospatial Databases,"Denis Gouin, Henry Kucera, Christian Larouche, Gilles Clement, Paul Morin",SIGMOD Record,1997,342,Editorial,Richard Snodgrass,ACM Transactions on Database Systems (TODS),2001.0,0
310,Bit-Sliced Index Arithmetic,"Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil",SIGMOD Conference,2001,2063,Dynamic sample selection for approximate query processing,"Brian Babcock, Surajit Chaudhuri, Gautam Das",International Conference on Management of Data,2003.0,0
183,An Introduction to Deductive Database Languages and Systems,"Kotagiri Ramamohanarao, James Harland",VLDB J.,1994,2120,An approach to confidence based page ranking for user oriented Web search,"Debajyoti Mukhopadhyay, Debasis Giri, Sanasam Ranbir Singh",ACM SIGMOD Record,2003.0,0
49,An Overview of Data Warehousing and OLAP Technology,"Surajit Chaudhuri, Umeshwar Dayal",SIGMOD Record,1997,1799,Extracting schema from semistructured data,"Svetlozar Nestorov, Serge Abiteboul, Rajeev Motwani",International Conference on Management of Data,1998.0,0
45,Fact: A Learning Based Web Query Processing System,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",SIGMOD Conference,2000,659,Data mining: practical machine learning tools and techniques with Java implementations,"Ian H. Witten, Eibe Frank",ACM SIGMOD Record,2002.0,0
1503,The Dangers of Replication and a Solution,"Dennis Shasha, Jim Gray, Patrick E. O'Neil, Pat Helland",SIGMOD Conference,1996,830,Online Feedback for Nested Aggregate Queries with Multi-Threading,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",Very Large Data Bases,1999.0,0
1223,Emancipating instances from the tyranny of classes in information modeling,"Jeffrey Parsons, Yair Wand",ACM Trans. Database Syst.,2000,496,Emancipating instances from the tyranny of classes in information modeling,"Jeffrey Parsons, Yair Wand",ACM Transactions on Database Systems (TODS),2000.0,1
1852,A Scalable Architecture for Autonomous Heterogeneous Database Interactions,"Athman Bouguettaya, Steven Milliner, Mike P. Papazoglou",VLDB,1995,216,Conceptual schema analysis: techniques and applications,"S. Castano, V. De Antonellis, M. G. Fugini, B. Pernici",ACM Transactions on Database Systems (TODS),1998.0,0
1888,"Title, Announcement",?,VLDB J.,1995,582,Versioning and configuration management in an object-oriented data model,Edward Sciore,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1994.0,0
14,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001,1385,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,"Chris Olston, Jennifer Widom",Very Large Data Bases,2000.0,0
2367,Similarity Query Processing Using Disk Arrays,"Apostolos Papadopoulos, Yannis Manolopoulos",SIGMOD Conference,1998,1221,Quantifiable data mining using ratio rules,"Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2000.0,0
1337,Proxy-Server Architectures for OLAP,"Panos Kalnis, Dimitris Papadias",SIGMOD Conference,2001,667,Semantic B2B integration: issues in ontology-based approaches,"Zhan Cui, Dean Jones, Paul O'Brien",ACM SIGMOD Record,2002.0,0
1975,Performance Issues in Incremental Warehouse Maintenance,"Hector Garcia-Molina, Wilburt Labio, Yingwei Cui, Jennifer Widom, Jun Yang",VLDB,2000,2208,Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002.,"Qiang Wang, Brian D. Davison",ACM SIGMOD Record,2003.0,0
416,Editor's Notes,Michael J. Franklin,SIGMOD Record,1998,551,Reminiscences on Influential Papers,Kenneth A. Ross,ACM SIGMOD Record,2001.0,0
1095,Energy Efficient Indexing on Air,"S. Viswanathan, B. R. Badrinath, Tomasz Imielinski",SIGMOD Conference,1994,840,What can Hierarchies do for Data Warehouses?,"H. V. Jagadish, Laks V. S. Lakshmanan, Divesh Srivastava",Very Large Data Bases,1999.0,0
246,The Lotus Notes Storage System,Kenneth Moore,SIGMOD Conference,1995,1548,Data extraction and transformation for the data warehouse,Case Squire,International Conference on Management of Data,1995.0,0
1856,Balancing Push and Pull for Data Broadcast,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",SIGMOD Conference,1997,1141,Filter Trees for Managing Spatial Data over a Range of Size Granularities,"Kenneth C. Sevcik, Nick Koudas",Very Large Data Bases,1996.0,0
425,An authorization system for digital libraries,"Ugo Capuozzo, Elena Ferrari, Vijayalakshmi Atluri, Elisa Bertino, Nabil R. Adam",VLDB J.,2002,1916,"Mediator languages-a proposal for a standard: report of an I3/POB working group held at the University of Maryland, April 12 and 13, 1996","Peter Buneman, Louiqa Raschid, Jeffrey Ullman",ACM SIGMOD Record,1997.0,0
1193,A performance study of four index structures for set-valued attributes of low cardinality,"Guido Moerkotte, Sven Helmer",VLDB J.,2003,1694,Data modelling in the large,Martin Bertram,ACM SIGMOD Record,1994.0,0
1183,A Database Platform for Bioinformatics,Sandeepan Banerjee,VLDB,2000,2102,An architecture to support scalable online personalization on the Web,"Anindya Datta, Kaushik Dutta, Debra VanderMeer, Krithi Ramamritham, Shamkant B. Navathe",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2001.0,0
1189,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","Limsoon Wong, Rona Machlin, Leonid Libkin",SIGMOD Conference,1996,1256,The intrinsic problems of structural heterogeneity and an approach to their solution,"Theo H&#228;rder, G&#252;nter Sauter, Joachim Thomas",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1999.0,0
1484,A 20/20 Vision of the VLDB-2020?,"Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold, Anant Jhingran, S. Misbah Deen",VLDB,2000,1762,Towards on-line analytical mining in large databases,Jiawei Han,ACM SIGMOD Record,1998.0,0
2539,WebView Materialization,"Nick Roussopoulos, Alexandros Labrinidis",SIGMOD Conference,2000,356,Dynamic content acceleration: a caching solution to enable scalable dynamic Web page generation,"Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen Thomas, Debra VanderMeer",International Conference on Management of Data,2001.0,0
16,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001,352,Snowball: a prototype system for extracting relations from large text collections,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",International Conference on Management of Data,2001.0,1
967,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,Michael Lesk,VLDB,1994,1353,Answering XML Queries on Heterogeneous Data Sources,"Ioana Manolescu, Daniela Florescu, Donald Kossmann",Very Large Data Bases,2001.0,0
166,Logical Logging to Extend Recovery to New Domains,"David B. Lomet, Mark R. Tuttle",SIGMOD Conference,1999,882,Data Mining in the Bioinformatics Domain,Shalom Tsur,Very Large Data Bases,2000.0,0
92,Work and Information Practices in the Sciences of Biodiversity,Geoffrey C. Bowker,VLDB,2000,66,On-line reorganization in object databases,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data,2000.0,0
1657,Determining Text Databases to Search in the Internet,"Weiyi Meng, Naphtali Rishe, Clement T. Yu, King-Lup Liu, Xiaodong Wang, Yuhsi Chang",VLDB,1998,103,NSF workshop on industrial/academic cooperation in database systems,"Mike Carey, Len Seligman",ACM SIGMOD Record,1999.0,0
75,Rainbow: mapping-driven XQuery processing system,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,2002,719,Rainbow: mapping-driven XQuery processing system,"Xin Zhang, Mukesh Mulchandani, Steffen Christ, Brian Murphy, Elke A. Rundensteiner",International Conference on Management of Data,2002.0,1
360,On the minimization of Xpath queries,"Elio Masciari, Sergio Flesca, Filippo Furfaro",VLDB,2003,1919,Open GIS and on-line environmental libraries,Kenn Gardels,ACM SIGMOD Record,1997.0,0
503,Are Web Services the Next Revolution in e-Commerce? (Panel),"Umeshwar Dayal, Gerhard Weikum, Rakesh Agrawal, Johannes Klein, Shalom Tsur, Serge Abiteboul",VLDB,2001,1339,Are Web Services the Next Revolution in e-Commerce? (Panel),"Shalom Tsur, Serge Abiteboul, Rakesh Agrawal, Umeshwar Dayal, Johannes Klein, Gerhard Weikum",Very Large Data Bases,2001.0,1
1740,Data In Your Face: Push Technology in Perspective,"Michael J. Franklin, Stanley B. Zdonik",SIGMOD Conference,1998,2241,Data Compression Support in Databases,"Balakrishna R. Iyer, David Wilhite",Very Large Data Bases,1994.0,0
1476,Conceptual Schema Analysis: Techniques and Applications,"Valeria De Antonellis, Barbara Pernici, Maria Grazia Fugini, Silvana Castano",ACM Trans. Database Syst.,1998,304,Query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001.0,0
1649,XMILL: An Efficient Compressor for XML Data,"Hartmut Liefke, Dan Suciu",SIGMOD Conference,2000,67,Finding generalized projected clusters in high dimensional spaces,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2000.0,0
2051,Exploratory Mining and Pruning Optimizations of Constrained Association Rules,"Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan",SIGMOD Conference,1998,1384,Temporal Queries in OLAP,"Alberto O. Mendelzon, Alejandro A. Vaisman",Very Large Data Bases,2000.0,0
1587,Data Replication for Mobile Computers,"A. Prasad Sistla, Ouri Wolfson, Yixiu Huang",SIGMOD Conference,1994,1973,Bifocal sampling for skew-resistant join size estimation,"Sumit Ganguly, Phillip B. Gibbons, Yossi Matias, Avi Silberschatz",International Conference on Management of Data,1996.0,0
925,Improving Timeliness in Real-Time Secure Database Systems,"Sang Hyuk Son, Rasikan David, Bhavani M. Thuraisingham",SIGMOD Record,1996,2225,Efficient and Effective Clustering Methods for Spatial Data Mining,"Raymond T. Ng, Jiawei Han",Very Large Data Bases,1994.0,0
2113,"Data Management in eCommerce: The Good, the Bad, and the Ugly",Avigdor Gal,SIGMOD Conference,2000,1434,Scientific Databases - State of the Art and Future Directions,"Maria Zemankova, Yannis E. Ioannidis",Very Large Data Bases,1994.0,0
1179,Mapping Extended Entity Relationship Model to Object Modeling Technique,Joseph Fong,SIGMOD Record,1995,593,Standards,Andrew Eisenberg,ACM SIGMOD Record,2001.0,0
425,An authorization system for digital libraries,"Ugo Capuozzo, Elena Ferrari, Vijayalakshmi Atluri, Elisa Bertino, Nabil R. Adam",VLDB J.,2002,2143,MapInfo SpatialWare: A Spatial Information Server for RDBMS,Chebel Mina,Very Large Data Bases,1998.0,0
2194,Semantic and Pedagogic Interoperability Mechanisms in the ARIADNE Educational Repository,"Erik Duval, Eddy Forte, Kris Cardinaels, Koen Hendrikx, Florence Haenni, Maria Wentland Forte, Florence Simillion, Ken Warkentyne, E. Vervaet",SIGMOD Record,1999,184,Wavelet-based histograms for selectivity estimation,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",International Conference on Management of Data,1998.0,0
969,Ensuring Consistency in Multidatabases by Preserving Two-Level Serializability,Sharad Mehrotra,ACM Trans. Database Syst.,1998,1668,Enterprise information architectures-they're finally changing,Wesley P. Melling,International Conference on Management of Data,1994.0,0
1911,Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J?rg Sander, Jeffrey Pound",SIGMOD Record,2003,1304,An Evaluation of Generic Bulk Loading Techniques,"Jochen Van den Bercken, Bernhard Seeger",Very Large Data Bases,2001.0,0
1352,Going public: open-source databases and database research,Philippe Bonnet,SIGMOD Conference,2002,1654,Bounded ignorance: a technique for increasing concurrency in a replicated system,"Narayanan Krishnakumar, Arthur J. Bernstein",ACM Transactions on Database Systems (TODS),1994.0,0
1798,Incremental computation and maintenance of temporal aggregates,"Jun Yang, Jennifer Widom",VLDB J.,2003,2088,Containment join size estimation: models and methods,"Wei Wang, Haifeng Jiang, Hongjun Lu, Jeffrey Xu Yu",International Conference on Management of Data,2003.0,0
745,Enhanced Hypertext Categorization Using Hyperlinks,"Byron Dom, Piotr Indyk, Soumen Chakrabarti",SIGMOD Conference,1998,640,Rate-based query optimization for streaming information sources,"Stratis D. Viglas, Jeffrey F. Naughton",International Conference on Management of Data,2002.0,0
216,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,861,The Evolution of the Web and Implications for an Incremental Crawler,"Junghoo Cho, Hector Garcia-Molina",Very Large Data Bases,2000.0,0
2092,XPath Queries on Streaming Data,"Sudarshan S. Chawathe, Feng Peng",SIGMOD Conference,2003,1429,User Interfaces; Who Cares?,Stefano Spaccapietra,Very Large Data Bases,1994.0,0
1777,Influence Sets Based on Reverse Nearest Neighbor Queries,"S. Muthukrishnan, Flip Korn",SIGMOD Conference,2000,2269,Implementing Lazy Database Updates for an Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari",Very Large Data Bases,1994.0,0
27,Form-Based Proxy Caching for Database-Backed Web Sites,"Jeffrey F. Naughton, Qiong Luo",VLDB,2001,2260,Journal relevance,Richard Snodgrass,ACM SIGMOD Record,2003.0,0
1463,Towards an Effective Calculus for Object Query Languages,"David Maier, Leonidas Fegaras",SIGMOD Conference,1995,1190,A template model for multidimensional inter-transactional association rules,"Ling Feng, Jeffrey Xu Yu, Hongjun Lu, Jiawei Han",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002.0,0
456,Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations,"Ning Jing, Yun-Wu Huang, Elke A. Rundensteiner",VLDB,1997,941,Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations,"Yun-Wu Huang, Ning Jing, Elke A. Rundensteiner",Very Large Data Bases,1997.0,1
2309,ACTIVIEW: Adaptive data presentation using SuperSQL,"Motomichi Toyama, Yoko Maeda",VLDB,2001,1229,Efficient filtering of XML documents with XPath expressions,"C.-Y. Chan, P. Felber, M. Garofalakis, R. Rastogi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002.0,0
1373,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,"Hiroyuki Kitagawa, Satoshi Takano, Seiichi Koizumi, Atsuyuki Morishima",VLDB,2001,906,Small worlds: the dynamics of networks between order and randomness,"Jie Wu, Duncan J. Watts",ACM SIGMOD Record,2002.0,0
1668,Using the Golden Rule of Sampling for Query Estimation,"Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal",SIGMOD Conference,2001,1385,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,"Chris Olston, Jennifer Widom",Very Large Data Bases,2000.0,0
60,The Value of Merge-Join and Hash-Join in SQL Server,Goetz Graefe,VLDB,1999,432,DLFM: a transactional resource manager,"Hui-I Hsiao, Inderpal Narang",International Conference on Management of Data,2000.0,0
1629,Estimating Alphanumeric Selectivity in the Presence of Wildcards,"Balakrishna R. Iyer, Jeffrey Scott Vitter, P. Krishnan",SIGMOD Conference,1996,1715,Implementation of magic-sets in a relational database system,"Inderpal Singh Mumick, Hamid Pirahesh",International Conference on Management of Data,1994.0,0
2422,Efficient View Maintenance at Data Warehouses,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",SIGMOD Conference,1997,971,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,"Shivakumar Venkataraman, Tian Zhang",Very Large Data Bases,1998.0,0
1514,The SR-tree: An Index Structure for High-Dimensional Nearest Neighbor Queries,"Norio Katayama, Shin'ichi Satoh",SIGMOD Conference,1997,1931,Range queries in OLAP data cubes,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",International Conference on Management of Data,1997.0,0
1495,Persistent Threads,"Joachim W. Schmidt, Florian Matthes",VLDB,1994,261,Monitoring XML data on the Web,"Benjamin Nguyen, Serge Abiteboul, Gr&#233;gory Cobena, Miha&#237; Preda",International Conference on Management of Data,2001.0,0
2501,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,SIGMOD Conference,2000,393,Of XML and databases (panel session): where's the beef?,"Jennifer Widom, Adam Bosworth, Bruce Lindsay, Michael Stonebraker, Dan Suciu",International Conference on Management of Data,2000.0,1
1489,Online Query Processing,"Peter J. Haas, Joseph M. Hellerstein",SIGMOD Conference,2001,365,Online query processing: a tutorial,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data,2001.0,1
1865,XML Schemas in Oracle XML DB,"Sandeepan Banerjee, Ravi Murthy",VLDB,2003,305,SPARTAN: a model-based semantic compression system for massive data tables,"Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",International Conference on Management of Data,2001.0,0
899,DEVise: Integrated Querying and Visualization of Large Datasets,"Miron Livny, Raghu Ramakrishnan, Donko Donjerkovic, Shilpa Lawande, Jussi Myllymaki, Guangshun Chen, R. Kent Wenger, Kevin S. Beyer",SIGMOD Conference,1997,1402,The BT-tree: A Branched and Temporal Access Method,"Linan Jiang, Betty Salzberg, David B. Lomet, Manuel Barrena Garc&#237;a",Very Large Data Bases,2000.0,0
1675,Deadlock Detection in Distributed Database Systems: A New Algorithm and a Comparative Performance Analysis,"Alfons Kemper, Ehud Gudes, Natalija Krivokapic",VLDB J.,1999,2058,A framework for diagnosing changes in evolving data streams,Charu C. Aggarwal,International Conference on Management of Data,2003.0,0
425,An authorization system for digital libraries,"Ugo Capuozzo, Elena Ferrari, Vijayalakshmi Atluri, Elisa Bertino, Nabil R. Adam",VLDB J.,2002,614,QuickStore: a high performance mapped object store,"Seth J. White, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1995.0,0
639,An Efficient Method for Checking Object-Oriented Database Schema Correctness,"Michele Missikoff, Anna Formica, Hans Dietmar Gr?ger",ACM Trans. Database Syst.,1998,2258,Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J&#246;rg Sander, Jeffrey Pound",ACM SIGMOD Record,2003.0,0
2172,OFL: A Functional Execution Model for Object Query Languages,"Georges Gardarin, Fernando Machuca, Philippe Pucheral",SIGMOD Conference,1995,1063,Cache Conscious Algorithms for Relational Query Processing,"Ambuj Shatdal, Chander Kant, Jeffrey F. Naughton",Very Large Data Bases,1994.0,0
990,Shoring Up Persistent Applications,"Mark L. McAuliffe, C. K. Tan, Marvin H. Solomon, Nancy E. Hall, Michael J. Zwilling, Michael J. Carey, Michael J. Franklin, Seth J. White, Jeffrey F. Naughton, David J. DeWitt, Odysseas G. Tsatalos, Daniel T. Schuh",SIGMOD Conference,1994,2152,Research in database engineering at the University of Namur,Jean-Luc Hainaut,ACM SIGMOD Record,2003.0,0
997,RRXF: Redundancy reducing XML storage in relations,"Carmem S. Hara, Susan B. Davidson, Yi Chen, Yifeng Zheng",VLDB,2003,278,"Data management: lasting impact on wild, wild, web",Reed M. Meseck,International Conference on Management of Data,2001.0,0
286,Continuous Queries over Data Streams,"Jennifer Widom, Shivnath Babu",SIGMOD Record,2001,548,Continuous queries over data streams,"Shivnath Babu, Jennifer Widom",ACM SIGMOD Record,2001.0,1
2577,Data Manager for Evolvable Real-time Command and Control Systems,"Eric Hughes, Roman Ginis, Bhavani M. Thuraisingham, Peter C. Krupp, John A. Maurer",VLDB,1997,2075,On the computation of relational view complements,"Jens Lechtenb&#246;rger, Gottfried Vossen",ACM Transactions on Database Systems (TODS),2003.0,0
1652,On Index Selection Schemes for Nested Object Hierarchies,"Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu",VLDB,1994,837,Distributed Hypertext Resource Discovery Through Examples,"Soumen Chakrabarti, Martin van den Berg, Byron Dom",Very Large Data Bases,1999.0,0
1399,A Bandwidth Model for Internet Search,Axel Uhl,VLDB,2002,247,SONAR: system for optimized numeric association rules,"Takeshi Fukuda, Yasuhiko Morimoto, Shinichi Morishita, Takeshi Tokuyama",International Conference on Management of Data,1996.0,0
1231,I/O reference behavior of production database workloads and the TPC benchmarks - an analysis at the logical level,"Windsor W. Hsu, Alan Jay Smith, Honesty C. Young",ACM Trans. Database Syst.,2001,330,I/O reference behavior of production database workloads and the TPC benchmarks-an analysis at the logical level,"Windsor W. Hsu, Alan Jay Smith, Honesty C. Young",ACM Transactions on Database Systems (TODS),2001.0,1
324,Multiview Access Protocols for Large-Scale Replication,"Weimin Du, Xiangning Liu, Abdelsalam Helal",ACM Trans. Database Syst.,1998,523,"Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more",Marianne Winslett,ACM SIGMOD Record,2002.0,0
1603,Best-effort cache synchronization with source cooperation,"Chris Olston, Jennifer Widom",SIGMOD Conference,2002,212,Belief reasoning in MLS deductive databases,Hasan M. Jamil,International Conference on Management of Data,1999.0,0
2455,On Database Theory and XML,Dan Suciu,SIGMOD Record,2001,109,Specification and implementation of exceptions in workflow management systems,"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",ACM Transactions on Database Systems (TODS),1999.0,0
595,Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,"Kien A. Hua, Jung-Hwan Oh",SIGMOD Conference,2000,1809,On saying Enough already! in SQL,"Michael J. Carey, Donald Kossmann",International Conference on Management of Data,1997.0,0
1193,A performance study of four index structures for set-valued attributes of low cardinality,"Guido Moerkotte, Sven Helmer",VLDB J.,2003,1045,Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,"Michael Rys, Moira C. Norrie, Hans-J&#246;rg Schek",Very Large Data Bases,1996.0,0
75,Rainbow: mapping-driven XQuery processing system,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,2002,274,Dissemination of dynamic data,"Pavan Deolasee, Amol Katkar, Ankur Panchbudhe, Krithi Ramamritham, Prashant Shenoy",International Conference on Management of Data,2001.0,0
