tableA_id,tableA_http://www.okkam.org/ontology_restaurant1.owl#name,tableA_http://www.okkam.org/ontology_restaurant1.owl#phone_number,tableA_http://www.okkam.org/ontology_restaurant1.owl#street,tableB_id,tableB_http://www.okkam.org/ontology_restaurant2.owl#name,tableB_http://www.okkam.org/ontology_restaurant2.owl#phone_number,tableB_http://www.okkam.org/ontology_restaurant2.owl#street,label
141,fringale,415/543-0573,,802,,,1500 church st.,0
199,,,57 w. 58th st.,1424,,,320 hayes st.,0
283,pisces,212/260-6660,,1601,,,10516 w. pico blvd.,0
195,,,243 e. 58th st.,2157,wu kong,415/957-9300,,0
210,,,240 central park s,466,san domenico,212-265-5959,,0
154,restaurant katsu,213/665-1891,,659,,,208 e. 58th st.  between 2nd and 3rd aves.,0
9,atlanta,,,6,louise's trattoria,213/667-0777,,0
324,la folie,415/776-5577,,359,,,55 irving pl.,0
171,uncle nick's,212/315-1726,,1159,veselka,212-228-9682,,0
188,,,41 14th st.,261,,,467 columbus ave.  between 82nd and 83rd sts.,0
202,,,9001 santa monica blvd.,879,,,246 w. 4th st. at charles st.,0
267,,,5955 melrose ave.,2253,ed debevic's,310/659-1952,,0
152,,,1 water st. at the east river,334,mikado,702/791-7111,,0
169,,,600 stockton st.,935,,,1087 green st.,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,,526,la cachette,310-470-4992,,0
9,atlanta,,,2013,serendipity,212/838-3531,,0
127,grill on the alley,310/276-0615,,1325,,,4199 paces ferry rd.,0
303,,,35 w. 64th st.,807,bix,415/433-6300,,0
210,,,240 central park s,2008,,,111 s. san pedro st.,0
130,san domenico,212/265-5959,,2008,,,111 s. san pedro st.,0
84,,,2637 peachtree rd.  peachtree house condominium,565,buffets,,,0
80,fleur de lys,415/673-7779,,1254,dining room,310/275-5200,,0
104,tavern on the green,212/873-3200,,1658,,,2315 clement st.,0
288,,,200 e. fremont st.,470,gray's papaya,212-799-0243,,0
157,hedgerose heights inn,404/233-7673,,802,,,1500 church st.,0
233,,,1972 n. hillhurst ave.,1763,baja fresh,805-498-4049,,0
254,seryna,212/980-9393,,876,,,432 lafayette st.  near astor pl.,0
109,masa's,415/989-7154,,103,,,1013 3rd ave.  between 60th and 61st sts.,0
73,campton place,415/955-5555,,797,bel-air hotel,310-472-1211,,0
233,,,1972 n. hillhurst ave.,26,harris',415/673-1888,,0
6,rainbow room,212/632-5000,,476,,,308 w. sahara ave.,0
190,pano's and paul's,404/261-3662,,814,les halles,212/679-4111,,0
6,rainbow room,212/632-5000,,1822,,,45 mercer st.  between broome and grand sts.,0
125,nikolai's roof,404/221-6362,,2228,asahi ramen,310-479-2231,,0
12,,,2880 las vegas blvd. s,1412,,,3900 paradise rd.,0
307,,,21 w. 52nd st.,1266,margarita's mexican cantina,702/794-8200,,0
199,,,57 w. 58th st.,1168,,,953 second ave.,0
279,indigo coastal grill,404/876-0676,,1549,indigo coastal grill,404-876-0676,,1
57,,,12224 ventura blvd.,2166,aquavit,212-307-7311,,0
158,campanile,213/938-1447,,1771,diaghilev,310-854-1111,,0
109,masa's,415/989-7154,,470,gray's papaya,212-799-0243,,0
39,,,1737 post st.,614,moustache,718-852-5555,,0
21,,,1397 n. highland ave.,536,,,201 moreno dr.,0
157,hedgerose heights inn,404/233-7673,,49,,,1716 pch,0
205,second street grille,702/385-3232,,1720,broiler,702/432-7777,,0
116,,,701 stone canyon rd.,2021,boulevard,415-543-6084,,0
155,,,201 w. 83rd st.,923,dante's down the hatch,404/577-1800,,0
39,,,1737 post st.,581,,,54 pearl st. at broad st.,0
1,la grotta,404/231-1368,,22,,,150 w. 46th st.,0
21,,,1397 n. highland ave.,1353,,,507 columbus ave.  between 84th and 85th sts.,0
297,postrio,415/776-7825,,2122,chops,404-262-2675,,0
74,hollywood,,,1569,bar anise,212/355-1112,,0
44,studio city,,,1469,,,797 third ave.,0
314,,,12 e. 12th st.,54,vietnamese,,,0
274,,,156 2nd ave. at 10th st.,794,cafe michelle,702/735-8686,,0
102,bel air,,,134,motown cafe,212/581-8030,,0
326,,,1001 n. alameda st.,412,cafe la fortuna,212/724-5846,,0
64,mary mac's tea room,404/876-1800,,1748,sanppo,415/346-3486,,0
171,uncle nick's,212/315-1726,,922,,,134 n. la cienega,0
39,,,1737 post st.,826,,,3300 geary blvd.,0
30,,,13 w. 54th st.,832,the coffee pot,212/265-3566,,0
288,,,200 e. fremont st.,1922,,,8424 beverly blvd.,0
320,,,3393 peachtree rd.  lenox square mall  near neiman marcus,1966,luna si,404/355-5993,,0
209,,,9560 dayton way,662,,,1136 westwood blvd.,0
138,le montrachet,702/732-5111,,45,middle eastern,,,0
7,,,2 harrison st.  near hudson st.,1109,,,3209 maple dr.,0
70,,,20 e. 76th st.,2069,le gamin,212/254-4678,,0
10,cafe claude,415/392-3505,,342,,,584 valencia st.,0
64,mary mac's tea room,404/876-1800,,636,ben benson's,212/581-8888,,0
0,new york,,,1482,swingers,213/653-5858,,0
66,,,22 hawthorne st.,1248,,,1829 peachtree rd.,0
141,fringale,415/543-0573,,1764,spago (los angeles),310-652-4025,,0
141,fringale,415/543-0573,,863,greenwood's,770-992-5383,,0
91,georgia grille,404/352-3517,,1350,coffeehouses,,,0
169,,,600 stockton st.,1670,lattanzi ristorante,212/315-0980,,0
93,,,7 claude la.,102,izzy's steak & chop house,415/563-0487,,0
21,,,1397 n. highland ave.,274,,,1191 1st ave.  between 64th and 65th sts.,0
324,la folie,415/776-5577,,165,sylvia's,212-996-0660,,0
132,cafe des artistes,212/877-3500,,1364,ferrier,212/772-9000,,0
289,,,2930 beverly glen circle,32,,,181 w. 10th st.,0
150,la cote basque,212/688-6525,,748,pane e vino,415/346-2111,,0
178,brooklyn,,,407,thai,,,0
307,,,21 w. 52nd st.,631,,,151 hudson st.,0
105,,,1529 piedmont ave.,846,,,129 fremont st.,0
67,,,1110 3rd ave. at 65th st.,55,,,265 pharr rd.,0
116,,,701 stone canyon rd.,2212,casa la femme,212/505-0005,,0
2,fenix,213/848-6677,,1477,,,32 spring st.,0
19,san francisco,,,549,buckhead diner,404-262-3336,,0
71,cafe lalo,212/496-6031,,286,,,100 w. 82nd st.,0
168,sherman oaks,,,1052,,,19565 parthenia ave.,0
330,,,435 s. la cienega blv.,881,,,2141 polk st.,0
111,,,617 s. olive st.,1577,rib ranch,404/233-7644,,0
91,georgia grille,404/352-3517,,811,,,,0
18,,,8284 melrose ave.,2112,,,4100 cahuenga blvd.,0
267,,,5955 melrose ave.,1377,,,70 w. 68th st.,0
147,palace court,702/731-7547,,370,bernard's,213-612-1580,,0
126,,,201 e. 49th st.,579,,,1495 chattahoochee ave. nw,0
131,,,210 e. 58th st.,1831,felix,212/431-0021,,0
102,bel air,,,635,little szechuan,770/451-0192,,0
179,bone's,404/237-2663,,1321,mesa grill,212-807-7400,,0
98,valentino,310/829-4313,,1509,,,1248 clairmont rd.,0
125,nikolai's roof,404/221-6362,,1863,,,35 w. 64th st.,0
313,,,21 e. 16th st.,1137,,,22nd street grill 25 22nd,0
213,,,1 w. 67th st.,812,,,106 e. 57th st.,0
254,seryna,212/980-9393,,1795,seryna,212-980-9393,,1
14,chin's,702/733-8899,,458,zankou chicken,818-244-1937,,0
192,,,in central park at 67th st.,355,,,800 9th ave. at 53rd st.,0
240,,,182 w. 58th st.,2018,,,9 jones st.,0
226,,,532 columbus ave.,51,la cote basque,212-688-6525,,0
180,,,14016 ventura blvd.,1488,,,1232 w. paces ferry rd.,0
212,l'orangerie,310/652-9770,,1519,doidge's,415-921-2149,,0
303,,,35 w. 64th st.,1585,,,3384 shallowford rd.  chamblee,0
91,georgia grille,404/352-3517,,1149,,,37a union sq. w  between 16th and 17th sts.,0
98,valentino,310/829-4313,,783,,,3595 las vegas blvd. s.,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,,400,harold's barbecue,404-627-9268,,0
248,,,126 clement st.,2037,,,1931 peachtree rd.,0
283,pisces,212/260-6660,,1976,riviera,404-262-7112,,0
150,la cote basque,212/688-6525,,73,virgil's real bbq,212-921-9494,,0
190,pano's and paul's,404/261-3662,,1506,fiorello's roman cafe,212/595-5330,,0
87,adriano's ristorante,310/475-9807,,1760,,,1022 madison ave.  near 79th st.,0
284,aquavit,212/307-7311,,1781,march,212-754-6272,,0
43,toulouse,404/351-9533,,368,caribbean,,,0
194,second avenue deli,212/677-0606,,0,second avenue deli,212-677-0606,,1
178,brooklyn,,,688,sarabeth's kitchen,212/496-6280,,0
49,dawat,212/355-7555,,464,,,1121 s. western ave.,0
157,hedgerose heights inn,404/233-7673,,1046,,,3060 peachtree rd.,0
39,,,1737 post st.,1901,emily's,212/996-1212,,0
176,,,2290 peachtree rd.  peachtree square shopping center,574,mccormick & kuleto's,415/929-1730,,0
11,los angeles,,,871,,,5111 w. boulder hwy.,0
128,,,5937 geary blvd.,0,second avenue deli,212-677-0606,,0
267,,,5955 melrose ave.,652,frico bar,212/564-7272,,0
248,,,126 clement st.,2131,,,2411 w. sahara ave.,0
62,,,181 peachtree st.,1003,,,138 lafayette st.  between canal and howard sts.,0
39,,,1737 post st.,1903,morton's of chicago (atlanta),404-577-4366,,0
93,,,7 claude la.,902,,,1433 third st. promenade,0
127,grill on the alley,310/276-0615,,2041,,,1486 2nd ave.  between 77th and 78th sts.,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,,1694,,,22 hawthorne st.,0
108,,,239 w. broadway  between walker and white sts.,1618,san pietro,212/753-9015,,0
148,,,224 ponce de leon ave.,564,,,4 embarcadero center,0
47,,,3073 piedmont road,22,,,150 w. 46th st.,0
337,,,854 7th ave.  between 54th and 55th sts.,959,coco pazzo,212/794-0205,,0
192,,,in central park at 67th st.,468,,,331 w. fourth st.,0
123,,,b peachtree rd.,859,,,2020 ave. of the stars,0
21,,,1397 n. highland ave.,1416,rose of india,212-533-5011,,0
105,,,1529 piedmont ave.,1739,,,361 w. 46th st.,0
255,,,99 e. 52nd st.,2080,sammy's roumanian steak house,212/673-0330,,0
238,brasserie le coze,404/266-1440,,2014,,,17 barrow st.,0
64,mary mac's tea room,404/876-1800,,343,caffe dante,212/982-5275,,0
230,,,60 w. 55th st.  between 5th and 6th ave.,778,,,201 w. 83rd st.,0
251,,,816 folsom st.,705,,,12969 ventura blvd.,0
152,,,1 water st. at the east river,23,,,732 broadway,0
78,,,2 e. 55th st.,251,,,111 e. 22nd st.  between park ave. s and lexington ave.,0
136,,,2355 peachtree rd.  peachtree battle shopping center,659,,,208 e. 58th st.  between 2nd and 3rd aves.,0
331,,,3434 peachtree rd.,810,wa-ha-ka oaxaca mexican grill,415-775-1055,,0
226,,,532 columbus ave.,1188,deacon burton's soulfood restaurant,404-523-1929,,0
163,,,3799 las vegas blvd. s,48,,,54 irving pl. at 17th st.,0
258,dining room  ritz-carlton  buckhead,404/237-2700,,1183,,,3043 buford hwy.,0
51,lulu,415/495-5775,,1525,john o'groats,310-204-0692,,0
120,,,1114 horn ave.,2073,,,151 w. 51st. st.,0
65,granita,310/456-0488,,2110,,,2450 broadway,0
173,four seasons grill room,212/754-9494,,2043,,,607 front st.,0
329,tillerman,702/731-4036,,1291,,,23725 w. malibu rd.,0
227,,,3570 las vegas blvd. s,1735,,,2817 24th st.,0
169,,,600 stockton st.,1547,,,1514 n. gower st.,0
105,,,1529 piedmont ave.,368,caribbean,,,0
41,,,42 e. 20th st.  between park ave. s and broadway,265,,,240 columbus ave.,0
66,,,22 hawthorne st.,284,french (classic),,,0
188,,,41 14th st.,171,,,market and new montgomery sts.,0
167,alain rondelli,415/387-0408,,31,kyo-ya. sheraton palace hotel,415/546-5000,,0
310,art's delicatessen,818/762-1221,,323,drago,310/828-1585,,0
82,,,3rd st.,710,michael's (las vegas),702-737-7111,,0
337,,,854 7th ave.  between 54th and 55th sts.,776,boca chica,212/473-0108,,0
139,,,249 e. 50th st.,1145,,,923 e. third st.,0
141,fringale,415/543-0573,,1004,persepolis,212/535-1100,,0
309,pinot bistro,818/990-0500,,2210,,,46 greenwich ave.,0
191,,,2316 polk st.,1386,,,3500 peachtree rd.  phipps plaza,0
219,picholine,212/724-8585,,62,,,60 e. 54th st.,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,,1569,bar anise,212/355-1112,,0
210,,,240 central park s,1351,caffe bondi ristorante,212/691-8136,,0
25,,,95 ave. a at 6th st.,1216,,,551 amsterdam ave.  between 86th and 87th sts.,0
141,fringale,415/543-0573,,2046,bistro  the,404-231-5733,,0
134,chez michel,415/775-7036,,2062,grill  the,310-276-0615,,0
163,,,3799 las vegas blvd. s,230,vida,213/660-4446,,0
158,campanile,213/938-1447,,1410,,,252 n. beverly dr.,0
122,the palm,310/550-8811,,2238,,,63rd street steakhouse 44 w. 63rd st.,0
279,indigo coastal grill,404/876-0676,,263,halcyon,212/468-8888,,0
24,,,6703 melrose ave.,1479,oyster bar,212-490-6650,,0
99,,,402 w. 44th st.,1123,,,15 fulton st.,0
337,,,854 7th ave.  between 54th and 55th sts.,1049,,,6 w. 24th st.,0
243,,,67 n. raymond ave.,1591,,,228 w. 52nd st.,0
333,lespinasse,212/339-6719,,2099,la folie,415-776-5577,,0
215,heera of india,404/876-4408,,980,,,9777 little santa monica blvd.,0
207,santa monica,,,264,empress court,702/731-7888,,0
46,smith & wollensky,212/753-1530,,1755,,,500 van ness ave.,0
283,pisces,212/260-6660,,1467,,,24-02 31st st.,0
67,,,1110 3rd ave. at 65th st.,1715,clearwater cafe,818/356-0959,,0
198,,,3125 piedmont rd.  near peachtree rd.,302,tse yang,212/688-5447,,0
260,shun lee west,212/371-8844,,503,evergreen cafe,212/744-3266,,0
24,,,6703 melrose ave.,2116,,,870 n. highland ave.,0
264,,,405 e. 58th st.,617,roscoe's house of chicken 'n' waffles,213/466-9329,,0
302,,,2709 main st.,1422,,,7 w. 20th st.,0
330,,,435 s. la cienega blv.,1754,docks,212/ 986-8080,,0
43,toulouse,404/351-9533,,1655,chopstix,404-255-4868,,0
190,pano's and paul's,404/261-3662,,1419,,,1772 market st.,0
115,bacchanalia,404/365-0410,,1944,bacchanalia,404-365-0410,,1
50,,,57 jane st.  off hudson st.,510,,,10801 w. pico blvd.,0
173,four seasons grill room,212/754-9494,,1118,binion's coffee shop,702/382-1600,,0
10,cafe claude,415/392-3505,,20,caffe roma,212/226-8413,,0
329,tillerman,702/731-4036,,1301,valentino,310-829-4313,,0
59,lutece,212/752-2225,,781,bistro garden,310/550-3900,,0
104,tavern on the green,212/873-3200,,1233,fringale,415-543-0573,,0
161,petrossian,212/245-2214,,1525,john o'groats,310-204-0692,,0
123,,,b peachtree rd.,70,,,9255 sunset blvd.,0
208,le bernardin,212/489-1515,,771,,,689 ninth ave.,0
24,,,6703 melrose ave.,478,,,127 greene st.,0
220,,,3000 w. paradise rd.,885,,,411 park ave. s  between 28th and 29th sts.,0
98,valentino,310/829-4313,,1319,canter's,213/651-2030.,,0
139,,,249 e. 50th st.,96,garden court,415/546-5011,,0
57,,,12224 ventura blvd.,1606,le jardin,212/343-9599,,0
330,,,435 s. la cienega blv.,918,water grill,213-891-0900,,0
30,,,13 w. 54th st.,184,,,247 buckhead ave.  east village sq.,0
56,abruzzi,404/261-8186,,917,,,155 w. 58th st.,0
212,l'orangerie,310/652-9770,,879,,,246 w. 4th st. at charles st.,0
39,,,1737 post st.,1232,tribeca grill,212/941-3900,,0
205,second street grille,702/385-3232,,1055,dottie's true blue cafe,415-885-2767,,0
257,carnegie deli,212/757-2245,,1707,,,176 n. canon dr.,0
275,le chardonnay,213/655-8880,,1679,rubin's red hots,818-905-6515,,0
213,,,1 w. 67th st.,481,rj's the rib joint,310/274-7427,,0
333,lespinasse,212/339-6719,,1999,palio,212/245-4850,,0
337,,,854 7th ave.  between 54th and 55th sts.,65,,,182 w. 58th st.,0
27,rose pistola,415/399-0499,,698,,,41 14th st.,0
23,ciboulette,404/874-7600,,1713,,,103 w. paces ferry rd.,0
238,brasserie le coze,404/266-1440,,2133,,,333 bush st.,0
17,island spice,212/765-1737,,2177,island spice,212-765-1737,,1
117,,,55 e. 54th st.,1941,,,11705 national blvd.,0
11,los angeles,,,51,la cote basque,212-688-6525,,0
144,,,129 n. la cienega blvd.,1397,,,4320 powers ferry rd.,0
274,,,156 2nd ave. at 10th st.,440,,,2420 broadway at 89th st.,0
184,,,3115 pico blvd.,846,,,129 fremont st.,0
250,cafe  ritz-carlton  buckhead,404/237-2700,,741,greek and middle eastern,,,0
286,boulevard,415/543-6084,,807,bix,415/433-6300,,0
191,,,2316 polk st.,1109,,,3209 maple dr.,0
134,chez michel,415/775-7036,,974,brent's deli,818-886-5679,,0
172,beverly hills,,,1275,cafe centro,212/818-1222,,0
15,,,160 central park s,324,japanese,,,0
24,,,6703 melrose ave.,2028,imperial fez,404/351-0870,,0
196,carmine's,212/362-2200,,1,asian,,,0
213,,,1 w. 67th st.,1863,,,35 w. 64th st.,0
215,heera of india,404/876-4408,,1974,south of france,404/325-6963,,0
77,coyote cafe,702/891-7349,,1388,,,8800 melrose ave.,0
323,,,102 5th ave.  between 15th and 16th sts.,319,,,500 pharr rd.,0
172,beverly hills,,,292,ritz-carlton dining room (buckhead),404-237-2700,,0
168,sherman oaks,,,1712,,,402 w. 44th st.,0
84,,,2637 peachtree rd.  peachtree house condominium,358,coffee shops,,,0
181,,,100 e. 63rd st.,1771,diaghilev,310-854-1111,,0
10,cafe claude,415/392-3505,,785,stefano's,702-385-7111,,0
172,beverly hills,,,253,,,133 clement st.,0
240,,,182 w. 58th st.,1782,montien,212/421-4433,,0
27,rose pistola,415/399-0499,,1329,gilliland's,310/392-3901,,0
230,,,60 w. 55th st.  between 5th and 6th ave.,1419,,,1772 market st.,0
288,,,200 e. fremont st.,99,bbq,,,0
302,,,2709 main st.,2255,eats,404-888-9149,,0
180,,,14016 ventura blvd.,599,maxwell's cafe,310-306-7829,,0
195,,,243 e. 58th st.,903,cafe blanc,310-888-0108,,0
150,la cote basque,212/688-6525,,111,millennium,415/487-9800,,0
151,,,23725 w. malibu rd.,1252,,,659 peachtree st.,0
312,,,648 bush st.,74,pomaire,212/ 956-3055,,0
271,,,1232 w. paces ferry rd.,1643,,,240 e. 58th st.,0
302,,,2709 main st.,531,,,1415 e. colorado st.,0
158,campanile,213/938-1447,,1964,hong kong flower lounge,415/668-8998,,0
313,,,21 e. 16th st.,29,corrado cafe,212/753-5100,,0
126,,,201 e. 49th st.,127,pizza,,,0
138,le montrachet,702/732-5111,,213,,,1147 third st.,0
221,21 club,212/582-7200,,1818,,,405 e. 52nd st.,0
310,art's delicatessen,818/762-1221,,355,,,800 9th ave. at 53rd st.,0
330,,,435 s. la cienega blv.,1086,sfuzzi,212/873-3700,,0
224,aqua,415/956-9662,,646,,,3525 mall blvd.,0
37,oceana,212/759-5941,,2095,,,648 bush st.,0
173,four seasons grill room,212/754-9494,,2049,,,519 e. paces ferry rd.,0
195,,,243 e. 58th st.,1613,,,2635 w. olive ave.,0
187,patina,213/467-1108,,351,china grill,212/333-7788,,0
270,steak house,702/734-0410,,469,,,1 water st.,0
57,,,12224 ventura blvd.,1791,,,4 fish 17300 pacific coast hwy. at sunset blvd.,0
152,,,1 water st. at the east river,1610,ocean star,818-308-2128,,0
190,pano's and paul's,404/261-3662,,1917,,,3838 centinela ave.,0
178,brooklyn,,,329,mexican/latin american/spanish,,,0
66,,,22 hawthorne st.,416,,,598 fourth st.,0
212,l'orangerie,310/652-9770,,68,,,923 peachtree st.  at 8th st.,0
251,,,816 folsom st.,644,,,park place  across from perimeter mall  dunwoody,0
158,campanile,213/938-1447,,2125,,,4837 old national hwy.,0
320,,,3393 peachtree rd.  lenox square mall  near neiman marcus,61,chinese,,,0
41,,,42 e. 20th st.  between park ave. s and broadway,290,,,2575 beverly blvd.,0
261,,,3130 piedmont road,552,,,3393 peachtree rd.,0
179,bone's,404/237-2663,,368,caribbean,,,0
101,veni vidi vici,404/875-8424,,1197,ipanema,212/730-5848,,0
132,cafe des artistes,212/877-3500,,1396,elias corner,718-932-1510,,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,,4,il mulino,212-673-3783,,0
248,,,126 clement st.,1761,,,427 battery st.,0
108,,,239 w. broadway  between walker and white sts.,2047,,,2345 cheshire bridge rd.,0
159,,,340 stockton st.,1824,,,701 stone canyon rd.,0
24,,,6703 melrose ave.,1899,,,522 9th ave. at 39th st.,0
143,la caravelle,212/586-4252,,601,shun lee palace,212-371-8844,,0
283,pisces,212/260-6660,,1981,gabriela's,212/961-0574,,0
165,,,160 e. 64th st.,1582,,,3226 mission st.,0
168,sherman oaks,,,931,,,192 peachtree center ave.  at international blvd.,0
227,,,3570 las vegas blvd. s,1729,mandarin court,702/737-1234,,0
307,,,21 w. 52nd st.,25,,,150 wooster st.  between houston and prince sts.,0
267,,,5955 melrose ave.,1471,ocean avenue,310/394-5669,,0
29,montrachet,212/ 219-2777,,1260,darbar,212-432-7227,,0
87,adriano's ristorante,310/475-9807,,1183,,,3043 buford hwy.,0
212,l'orangerie,310/652-9770,,619,mary mac's tea room,404-876-1800,,0
64,mary mac's tea room,404/876-1800,,517,,,3266 w. sixth st.,0
280,citrus,213/857-0034,,942,marnie's noodle shop,212-741-3214,,0
310,art's delicatessen,818/762-1221,,232,aqua,415-956-9662,,0
195,,,243 e. 58th st.,1212,mad fish,212/787-0202,,0
98,valentino,310/829-4313,,1712,,,402 w. 44th st.,0
307,,,21 w. 52nd st.,1234,,,144 second ave.,0
56,abruzzi,404/261-8186,,1612,r&g lounge,415/982-7877,,0
46,smith & wollensky,212/753-1530,,466,san domenico,212-265-5959,,0
158,campanile,213/938-1447,,1952,sofi,213/651-0346,,0
122,the palm,310/550-8811,,1523,,,1949 westwood blvd.,0
67,,,1110 3rd ave. at 65th st.,481,rj's the rib joint,310/274-7427,,0
230,,,60 w. 55th st.  between 5th and 6th ave.,1776,,,174 1st ave.  between 10th and 11th sts.,0
212,l'orangerie,310/652-9770,,2113,,,3400 las vegas blvd. s.,0
21,,,1397 n. highland ave.,2175,,,202 e. fremont st.,0
53,,,12969 ventura blvd.,168,,,304 e. 48th st.,0
243,,,67 n. raymond ave.,1023,,,3347 fillmore st.,0
51,lulu,415/495-5775,,2106,boonthai,212/249-8484,,0
87,adriano's ristorante,310/475-9807,,2210,,,46 greenwich ave.,0
12,,,2880 las vegas blvd. s,314,border grill,310/451-1655,,0
255,,,99 e. 52nd st.,1707,,,176 n. canon dr.,0
80,fleur de lys,415/673-7779,,1478,,,3125 piedmont rd.,0
263,chanterelle,212/966-6960,,581,,,54 pearl st. at broad st.,0
134,chez michel,415/775-7036,,395,corner bistro,212-242-9502,,0
39,,,1737 post st.,744,le chantilly,212/751-2931,,0
206,,,255 courtland st.  at harris st.,1922,,,8424 beverly blvd.,0
311,,,252 california st.,1291,,,23725 w. malibu rd.,0
93,,,7 claude la.,79,east european,,,0
152,,,1 water st. at the east river,924,dynasty room,310/208-8765,,0
167,alain rondelli,415/387-0408,,843,french bistro,,,0
117,,,55 e. 54th st.,1725,arnie morton's of chicago,310-246-1501,,0
250,cafe  ritz-carlton  buckhead,404/237-2700,,2155,,,157 chrystie st. at delancey st.,0
323,,,102 5th ave.  between 15th and 16th sts.,977,white house restaurant,404-237-7601,,0
27,rose pistola,415/399-0499,,2024,,,252 california st.,0
51,lulu,415/495-5775,,861,gladstone's,310/454-3474,,0
176,,,2290 peachtree rd.  peachtree square shopping center,1047,soto,404-233-2005,,0
159,,,340 stockton st.,562,ambassador grill,212/702-5014,,0
265,khan toke thai house,415/668-6654,,1423,cite,212/956-7100,,0
306,mi cocina,212/627-8273,,410,,,1322 grant st.,0
207,santa monica,,,1720,broiler,702/432-7777,,0
151,,,23725 w. malibu rd.,754,,,28 e. 63rd st.,0
205,second street grille,702/385-3232,,1494,,,501 geary st.,0
257,carnegie deli,212/757-2245,,2228,asahi ramen,310-479-2231,,0
254,seryna,212/980-9393,,462,fat matt's rib shack,404/607-1622,,0
277,,,2450 broadway  between 90th and 91st sts.,841,vong,212/486-9592,,0
7,,,2 harrison st.  near hudson st.,591,johnny reb's southern smokehouse,310-423-7327,,0
27,rose pistola,415/399-0499,,279,mulberry st.,818-906-8881,,0
261,,,3130 piedmont road,1649,103 west,404-233-5993,,0
77,coyote cafe,702/891-7349,,2106,boonthai,212/249-8484,,0
9,atlanta,,,119,tortillas,404-892-0193,,0
128,,,5937 geary blvd.,2183,camille's,404/872-7203,,0
162,,,545 post st.,1188,deacon burton's soulfood restaurant,404-523-1929,,0
326,,,1001 n. alameda st.,1714,cassis,404/365-8100,,0
263,chanterelle,212/966-6960,,2138,lanza restaurant,212/674-7014,,0
260,shun lee west,212/371-8844,,1905,locanda veneta,310-274-1893,,0
33,delectables,404/681-2909,,1941,,,11705 national blvd.,0
92,cafe bizou,818/788-3536,,36,yoyo tsumami bistro,415/922-7788,,0
207,santa monica,,,1635,lulu restaurant-bis-cafe,415-495-5775,,0
131,,,210 e. 58th st.,1172,tex-mex,,,0
280,citrus,213/857-0034,,2161,,,76 mott st. at canal st.,0
302,,,2709 main st.,918,water grill,213-891-0900,,0
221,21 club,212/582-7200,,82,,,14928 ventura blvd.,0
70,,,20 e. 76th st.,2131,,,2411 w. sahara ave.,0
219,picholine,212/724-8585,,967,,,3235 sacramento st.,0
314,,,12 e. 12th st.,678,,,250 park ave. s at 20th st.,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,,294,stingray,212/501-7515,,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,,1527,or 212/941-0772 american,,,0
174,mifune japan center  kintetsu building,415/922-0337,,712,pleasant peasant,404/874-3223,,0
169,,,600 stockton st.,808,,,1328 18th st.,0
144,,,129 n. la cienega blvd.,1801,mon kee seafood restaurant,213/628-6717,,0
289,,,2930 beverly glen circle,2220,,,150 redwood alley,0
227,,,3570 las vegas blvd. s,896,fifty seven fifty seven,212/758-5757,,0
17,island spice,212/765-1737,,966,ernie's,212/496-1588,,0
15,,,160 central park s,2252,french quarter food shop,404/875-2489,,0
248,,,126 clement st.,591,johnny reb's southern smokehouse,310-423-7327,,0
65,granita,310/456-0488,,593,,,342 e. 46th st.  between 1st and 2nd aves.,0
62,,,181 peachtree st.,944,prego,310/277-7346,,0
97,,,3200 las vegas blvd. s,266,hamburger mary's,415-626-1985,,0
208,le bernardin,212/489-1515,,804,,,68 w. 58th st.,0
200,hawthorne lane,415/777-9779,,1854,,,260 e. paces ferry road,0
122,the palm,310/550-8811,,383,,,3645 las vegas blvd. s.,0
194,second avenue deli,212/677-0606,,811,,,,0
305,ritz-carlton restaurant and dining room,415/296-7465,,59,la salsa (la),310-456-6299,,0
120,,,1114 horn ave.,622,sushisay,212-755-1780,,0
247,arnie morton's of chicago,310/246-1501,,1382,jiraffe,310-917-6671,,0
59,lutece,212/752-2225,,2084,,,1305 highland ave.,0
152,,,1 water st. at the east river,649,,,ghirardelli sq.,0
202,,,9001 santa monica blvd.,1446,feast from the east,310-475-0400,,0
263,chanterelle,212/966-6960,,1733,,,3000 las vegas blvd. s,0
271,,,1232 w. paces ferry rd.,606,,,601 s. figueroa st.,0
98,valentino,310/829-4313,,1737,tu lan,415-626-0927,,0
255,,,99 e. 52nd st.,1725,arnie morton's of chicago,310-246-1501,,0
216,chinois on main,310/392-9025,,1814,,,2 e. 61st st.,0
173,four seasons grill room,212/754-9494,,1511,,,3131 webster st.,0
131,,,210 e. 58th st.,1055,dottie's true blue cafe,415-885-2767,,0
108,,,239 w. broadway  between walker and white sts.,566,il fornaio levi's plaza,415/986-0100,,0
319,sign of the dove,212/861-8080,,1456,,,1030 3rd ave. at 61st st.,0
91,georgia grille,404/352-3517,,196,campo santo,415-433-9623,,0
3,,,570 4th st.,1813,capp's corner,415/989-2589,,0
