tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
1308,,Izumi Kasagi,,,,1976-01-01,,,,actress,,962,,Max Perlich,,,,,,,,,,,,,0
2928,,Ashly Holloway,,,,,,,,"actress,soundtrack",,1333,,Tim Hunter,,,,,,,,,,,,,0
1594,,Marc Sheffler,,,,,,,,"writer,miscellaneous,actor",,5980,I'm Behind You,,"Ra On expected herself to be failed from the exam with reference to become the Eunich. However, owing to the decisive help from the crown prince, Ra On stays at the palace. The king decided to make Lee Yeong, the crown prince as his regent.",3.0,1.0,,,,2016-08-29,,2016-01-01,,,,0
4199,,Phillip Pine,,,2006-01-01,1920-01-01,,,,"actor,writer,director",,3375,,Braun Entertainment Group,,,,,,,,,,,,,0
2523,,Donald Murphy,,,2008-01-01,1918-01-01,,,,actor,,3790,,Rene Tala,,,,,,,,,,,,,0
1750,,Michelle Monaghan,,,,1976-01-01,,,,"actress,producer",,1606,Por Debajo de la Mesa,,,6.0,6.0,,,,1999-02-11,,1999-01-01,,,,0
1160,,Hiroshi Fukazawa,,,,,,,,producer,,736,Disguise for Murder,,,8.0,1.0,,,,2001-06-17,,2001-01-01,,,,0
2760,Chapter 35,,9.0,3.0,,,,2015-01-01,Drama,,52.0,1943,Chapter 35,,The Jordan Valley erupts in chaos as Frank's campaign is picking up steam. Claire gets distrubing intel and counsels him.,9.0,3.0,,,,2015-02-27,,2015-01-01,,,,1
1910,,Stefan Pejchev,,,1979-01-01,1905-01-01,,,,actor,,365,,Atlantis Films,,,,,,,,,,,,,0
4863,,Foster H. Phinney,,,1985-01-01,1916-01-01,,,,"assistant_director,actor,production_manager",,335,Episode 11,,,11.0,2.0,,,,2018-09-15,,2018-01-01,,,,0
77,,Daniel Attias,,,,,,,,"director,producer,assistant_director",,5547,,Daniel Attias,,,,,,,,,,,,,1
319,The Girl Who Knew,,18.0,2.0,,,,1955-01-01,Drama,,30.0,2767,J-I– JIMMY V-A-L– VALENTINE,,"JJ’s love-match with Izzy becomes a cage match with Kenneth. Maya and Jimmy dismiss Valentine’s Day as a holiday for suckers until they find a way to profit from it. Unable to find a date to a prepaid romantic night out, Ray brings Dylan.",14.0,3.0,,,,2019-02-15,,2019-01-01,,,,0
3694,,Roy Webb,,,1982-01-01,1888-01-01,,,,"composer,music_department,soundtrack",,5618,,Ernie Adams,,,,,,,,,,,,,0
373,Sniper: Part 1,,8.0,4.0,,,,1996-01-01,"Crime,Drama,Mystery",,,2037,The End of the Week,,,12.0,4.0,,,,1956-11-11,,1956-01-01,,,,0
4520,,Chris Demarais,,,,,,,,"actor,writer,director",,4495,,Chris Demarais,,,,,,,,,,,,,1
3128,,G?rard Depardieu,,,,1948-01-01,,,,"actor,producer,soundtrack",,16,Princess,,"To save Kahlan from execution, reluctant Cara must pose as a polished princess and compete in an elaborate masquerade of manners to win a powerful ruler's affections.",13.0,2.0,,,,2010-02-27,,2010-01-01,,,,0
2917,Christmas Party,,9.0,1.0,,,,2001-01-01,"Action,Drama,Mystery",,,2811,Episode 5,,"Janet comes face to face with the man who left her fighting for life just months earlier - serial killer Geoff Hastings, who has vowed to finally reveal the full extent of his crimes. Rachel and the rest of the team investigate the racially motivated murder of a taxi driver. On the personal front, Andy refuses to take no for an answer, so Janet threatens to report him to the DCI.",5.0,2.0,,,,2012-04-09,,2012-01-01,,,,0
486,,Tian Jun Gu,,,,,,,,"writer,miscellaneous,cinematographer",,4761,,Tian Jun Gu,,,,,,,,,,,,,1
5060,,Alan Reynolds,,,1976-01-01,1908-01-01,,,,actor,,3059,,Vanessa Redgrave,,,,,,,,,,,,,0
650,,Mae Clarke,,,1992-01-01,1910-01-01,,,,"actress,soundtrack",,790,,Arato Production,,,,,,,,,,,,,0
918,The Nanny from Hell,,4.0,3.0,,,,2002-01-01,Comedy,,30.0,164,The Nanny from Hell,,"'Larry, Cheryl, Jeff and Susie encounter a ''''nanny from hell'''' whose reign of terror is thwarted by ten sponge cakes. Larry commits a ''''penis faux pas'''' after a pool party, and Richard Lewis seeks immortality from Bartlett's Quotations.",4.0,3.0,,,,2002-10-06,,2002-01-01,,,,1
3159,,Sanjeev Bhaskar,,,,1963-01-01,,,,"actor,writer,music_department",,837,,Dagmar Hirtz,,,,,,,,,,,,,0
587,,Kelly Carver,,,,,,,,actress,,3394,,Kelly Carver,,,,,,,,,,,,,1
3649,Wu's on First?,,15.0,5.0,,,,1997-01-01,"Crime,Drama,Mystery",,,4067,Episode 13,,,13.0,1.0,,,,2019-05-25,,2019-01-01,,,,0
912,,Roy Cabana,,,,,,,,,,3851,Animal Control Specialist,,Mike goes to Southern California to handle skunks and other pests as an animal control specialist.,1.0,6.0,,,,2010-01-05,,2010-01-01,,,,0
3359,,Raymond Arrieta,,,,1965-01-01,,,,actor,,1712,,Anna Hill Johnstone,,,,,,,,,,,,,0
3373,,James Stone,,,1969-01-01,1898-01-01,,,,actor,,2083,The Beachcomber,,"'The Beachcomber was an ITC Entertainment adventure TV series which ran for one series of 39 half-hour episodes in 1962.Narrated by Cameron Mitchell, the series followed a rich executive who retired from the rat-race to become a beachcomber on a small South Pacific island.",,,1.0,39.0,,1962-02-20,1962-11-13,1962-01-01,30,,US,0
3653,Drawn & Quartered,,8.0,3.0,,,,1999-01-01,"Animation,Comedy,Fantasy",,21.0,3994,,Lee Oakes,,,,,,,,,,,,,0
4732,Shower of Ashes,,13.0,7.0,,,,1959-01-01,Drama,,,4351,Alpaca Shearer,,"Mike once again joins up with the guys of Taylor Shellfish Farms to help them harvest mussels. Next he goes to Hawaii to learn about harvesting taro. Finally, Mike joins a family of alpaca farmers and learns the hard way that alpacas can be pretty ill-willed animals when it comes to shearing them.",15.0,2.0,,,,2006-08-22,,2006-01-01,,,,0
1503,,Mikhail Gluzskiy,,,2001-01-01,1918-01-01,,,,actor,,312,,Mikhail Gluzskiy,,,,,,,,,,,,,1
2800,The Bridegroom,,31.0,1.0,,,,1961-01-01,"Adventure,Drama,Family",,30.0,3466,,Vladimir Ushakov,,,,,,,,,,,,,0
2790,,Rolf Kutschera,,,2012-01-01,1916-01-01,,,,"actor,director,writer",,444,,Joss Gower,,,,,,,,,,,,,0
1445,Growing Pains,,8.0,2.0,,,,1994-01-01,"Animation,Comedy,Fantasy",,21.0,598,Lies That Seem Like The Truth,,"Kim Heon and his group are trying to seize Ra On so they keep chasing whereabout. Lee Yeong, the crown prince is about to marry with crown princess. Lee Yeong, the crown prince and Ra On try to abandon their love for each other.",15.0,1.0,,,,2016-10-10,,2016-01-01,,,,0
1743,,Marianna Hill,,,,1942-01-01,,,,"actress,soundtrack",,691,Episode 18,,,18.0,1.0,,,,2015-09-01,,2015-01-01,,,,0
2623,,Katie Hirst,,,,,,,,,,1016,,Institut national de recherches arch?ologiques pr?ventives,,,,,,,,,,,,FR,0
4783,The Silent Speaker: Part 1,,13.0,2.0,,,,2002-01-01,"Action,Drama,Mystery",,,2452,Michael Cera,,"Zach puts Michael Cera, the Superbad and Juno star in the hot seat for this special Comedy Death-Ray interview.",1.0,1.0,,,,2008-01-04,,2008-01-01,,,,0
1398,Lente loco,,,,,,2001-01-01,1990-01-01,,,30.0,3443,,Ov?deo TV S.A.,,,,,,,,,,,,,0
3940,,Tom Porter,,,,,,,,,,5082,,Nicholas van Hoogstraten,,,,,,,,,,,,,0
2137,Death of a Doxy: Part 2,,2.0,2.0,,,,2002-01-01,"Action,Drama,Mystery",,,1007,[35] Nekomonogatari [Shiro] [4] Tsubasa Tiger - Part 4,,"At Hitagi Senjyogahara's discretion, Hanekawa Tsubasa ends up living under the roof of the Araragi residence. Spending an evening in Koyomi's house, Tsubasa realizes that she had turned into Black Hanekawa the previous night. ",4.0,3.0,,,,2013-07-28,,2013-01-01,,,,0
4926,,Joni Skiftesvik,,,,1948-01-01,,,,"writer,actor,script_department",,3782,,Rie Matsubara,,,,,,,,,,,,,0
3998,While the Cat's Away,,1.0,1.0,,,,1993-01-01,"Animation,Comedy,Fantasy",,21.0,2711,Kid for Ransom - Tears for Daniel,,"CI examines two notorious abduction cases. The first case is the Graeme Thorne ransom kidnapping at Bondi in 1960. Thorne, aged eight was the son of winners of the Sydney Opera House Lottery. The second case is the recent Daniel Morecombe Queensland case that still remains unsolved. Crime Investigation Australia has secured exclusive interviews that shed new light on both of these infamous cases that stunned the nation.",2.0,1.0,,,,2005-08-01,,2005-01-01,,,,0
1237,,Christopher Olsen,,,,1946-01-01,,,,actor,,1202,Episode 10,,,10.0,3.0,,,,2019-06-09,,2019-01-01,,,,0
692,,Petya Silyanova,,,,1956-01-01,,,,actress,,4144,,Ryo (Supercell),,,,,,,,,,,,,0
3550,,Jean Gennis,,,,,,,,"script_department,miscellaneous,writer",,1211,Wu's on First?,,"A new Baltimore Sun reporter gets into the middle of Frank's investigation of the death of a county cop who was shot because of drugs. Gee likes her style. Mike's brothers, Drew and Greg, come to town, who want to take him and his boat to Miami to set up a charter service. Mike learns that they are on the run from a bookie that Drew owes $18,000. To pay that debt, they've stolen Babe Ruth's Baltimore uniform from another bookie with the intent of selling it. Lewis and Cox go in search of the Kellerman boys. They find them in jail where they spent the night after trying to return the uniform.",15.0,5.0,,,,1997-02-07,,1997-01-01,,,,0
4259,Now a Brief Word,,6.0,4.0,,,,1956-01-01,Drama,,30.0,891,Now a Brief Word,,,6.0,4.0,,,,1956-09-29,,1956-01-01,,,,1
1827,,Richard Frankel,,,,,,,,"producer,miscellaneous,manager",,4326,Assassinanny 911,,"When Brock is reactivated by the Office of Secret Intelligence to track down a rogue agent, he subcontracts his ex-girlfriend, the malevolently mercenary Molotov Cocktease, to protect the Venture Compound from enemies within and without.  Love is in the air!  Or is it...murder?",3.0,2.0,,,,2006-07-09,,2006-01-01,,,,0
817,,Tuomas Kyr?,,,,1974-01-01,,,,"writer,actor,art_department",,4763,,Martin ?trba,,,,,,,,,,,,,0
982,Mel's Offer,,1.0,4.0,,,,2004-01-01,Comedy,,30.0,2343,Ted and Mary,,Larry and Cheryl's fun-filled bowling date with Ted Danson and Mary Steenburgen ends with Larry's shoes missing.,2.0,1.0,,,,2000-10-22,,2000-01-01,,,,0
3482,,Tanya Tree,,,2015-01-01,1944-01-01,,,,"director,writer,producer",,5940,,Manny Coto,,,,,,,,,,,,,0
454,To Open a Door,,23.0,5.0,,,,1958-01-01,Drama,,30.0,2715,To Open a Door,,,23.0,5.0,,,,1958-04-06,,1958-01-01,,,,1
2274,Bio-Diesel Man,,11.0,1.0,,,,2005-01-01,Reality-TV,,44.0,3166,,Yoo Ji-tae,,,,,,,,,,,,,0
1575,,Daniel A. Nathan,,,1971-01-01,1916-01-01,,,,"production_manager,editor,producer",,3162,,Hon Ping Tang,,,,,,,,,,,,,0
1415,,Shihui Cheng,,,,,,,,production_manager,,4134,Ugli Fruit,,"Monty and Stan refuse to taste a strange-looking fruit, but Monty soon realises that you shouldn't judge a book by its cover.",41.0,1.0,,,,2017-05-01,,2017-01-01,,,,0
4175,,Lemora Mattingly Weber,,,,,,,,writer,,5598,,Samaresh Mukhopadhyay,,,,,,,,,,,,,0
4503,,Dana Snyder,,,,1973-01-01,,,,"actor,writer,producer",,3361,Gone for Goode,,"Lewis and Crosetti uncover a woman who's been killing her husbands for insurance money. Howard tries to keep her cases-solved record perfect, but she is reassigned with Felton as her partner. Bolander convinces Munch to help him finish up an unsolved case. A new guy, Tim Bayliss, from the mayor's office gets his first case in homicide, the murder of an 11-year-old girl. His partner Pembleton, we find out, is less than enthusiastic to work with him or anyone else in the unit.",1.0,1.0,,,,1993-01-31,,1993-01-01,,,,0
917,Episode #11,,6.0,1.0,,,,1995-01-01,"Action,Adventure,Animation",,12.0,5549,,Joachim B?se,,,,,,,,,,,,,0
3116,"Are You There God, It's Me, Dean",,9.0,1.0,,,,2004-01-01,"Action,Adventure,Animation",,22.0,3015,Imperfect Balance,,,17.0,4.0,,,,1956-12-30,,1956-01-01,,,,0
4425,The Weeping Woman,,5.0,2.0,,,,1994-01-01,"Animation,Comedy,Fantasy",,21.0,4296,,Matt Roller,,,,,,,,,,,,,0
1130,,Leon Lontoc,,,1974-01-01,1908-01-01,,,,actor,,1660,Like a Pierrot III ~ Ottoto 9,,,20.0,1.0,,,,,,,,,,0
1707,,Bob Barbash,,,1995-01-01,1919-01-01,,,,"writer,production_manager,producer",,3481,,Alex Honnold,,,,,,,,,,,,,0
3601,,Reggie Choyce,,,,,,,,actor,,5444,,Reggie Choyce,,,,,,,,,,,,,1
1273,,Robert Brubaker,,,2010-01-01,1916-01-01,,,,actor,,5812,D-I-- DIMEO A-C-- ACADEMY,,"After a dust-up with Lafayette High, Maya runs to JJ’s rescue and launches her own school out of the DiMeo home. Her program becomes a true DiMeo affair when Ray and Dylan enroll and Jimmy joins the faculty. Meanwhile, Kenneth sets out to prove to his ex-wife that he’s living a successful life.",13.0,2.0,,,,2018-01-17,,2018-01-01,,,,0
4388,,Aaron Alon,,,,,,,,"music_department,sound_department,director",,3064,,Aaron Alon,,,,,,,,,,,,,1
4706,,Nina Wilcox,,,,,,,,actress,,4908,,Alex Kamer,,,,,,,,,,,,,0
3903,Empty Village,,16.0,1.0,,,,1962-01-01,Adventure,,,1355,Empty Village,,,16.0,1.0,,,,1962-06-05,,1962-01-01,,,,1
3792,,Hobart Donavan,,,1976-01-01,1905-01-01,,,,writer,,4204,,Bruce Pittman,,,,,,,,,,,,,0
655,,Eric Cleworth,,,1999-01-01,1920-01-01,,,,"animation_department,writer,director",,5464,,Nathaniel Smith,,,,,,,,,,,,,0
88,,June Kenney,,,,1933-01-01,,,,actress,,748,The Dirty Truth,,A special episode which looks back at previous episodes as Mike offers employment tips he’s learned over the years.,9.0,6.0,,,,2010-06-14,,2010-01-01,,,,0
3370,Stoney Burke,,,,,,1963-01-01,1962-01-01,"Drama,Sport,Western",,60.0,1817,Stoney Burke,,"Stoney Burke is an American western television series broadcast on ABC from October 1, 1962 until May 20, 1963. Six years before the premiere of his CBS crime drama, Hawaii Five-0, Jack Lord starred in the title role.",,,1.0,32.0,,1962-10-01,1963-05-20,1962-01-01,"60, 44",Western,US,1
2959,,Raymond Danon,,,2018-01-01,1930-01-01,,,,"producer,miscellaneous,production_manager",,4129,,Raymond Danon,,,,,,,,,,,,,1
3402,,John Crawford,,,2010-01-01,1920-01-01,,,,"actor,writer,director",,1650,,Jack English,,,,,,,,,,,,,0
1037,,Noritaka Sakamoto,,,2014-01-01,1935-01-01,,,,"cinematographer,assistant_director",,4733,,Paul Simonon,,,,,,,,,,,,,0
1037,,Noritaka Sakamoto,,,2014-01-01,1935-01-01,,,,"cinematographer,assistant_director",,1897,Episode 12,,,12.0,1.0,,,,2019-03-03,,2019-01-01,,,,0
3944,,Grete Reiner,,,1944-01-01,1892-01-01,,,,writer,,3578,,Eddie Rohwedder,,,,,,,,,,,,,0
5039,,Kodjo Akolor,,,,1981-01-01,,,,actor,,2773,,Valentin Gaft,,,,,,,,,,,,,0
3027,,Shovell,,,,,,,,"soundtrack,actor",,3623,,Ferreze Ann Balquerin,,,,,,,,,,,,,0
2539,Charles Darwin,,5.0,1.0,,,,2003-01-01,"Biography,Comedy,Documentary",,,2916,Charles Darwin,,"'Delving further, and more imaginatively, into the evolution ofCharles Darwin than ever before, the Mark Steel Lecture takes thismodern hero off the ten pound note and into the present day. Wefollow him onto the Beagle and into the bedroom, and worry for hissanity as he fashions a turtle out of mashed potato. A tortured figure whose distress eventually forced him to take to hisbed and watch Animal Hospital and Countdown all day (probably), thisis the show that tells you things about Darwin you never knew -including his opinion on the taste of Galapagos tortoise urine.",5.0,1.0,,,,2003-11-04,,2003-01-01,,,,1
4714,,Ken Anderson,,,1993-01-01,1909-01-01,,,,"animation_department,writer,art_department",,160,,Ken Anderson,,,,,,,,,,,,,1
891,,Nevena Kokanova,,,2000-01-01,1938-01-01,,,,"actress,director",,5869,Sex Opera,,,,,,,,2001-04-19,,2001-01-01,105,,,0
3151,,Emil Strakon,,,,1921-01-01,,,,"cinematographer,miscellaneous,art_department",,1713,,Zohar Strauss,,,,,,,,,,,,,0
2185,Town Gathering,,10.0,3.0,,,,1999-01-01,"Animation,Comedy,Fantasy",,21.0,5197,,Kanichi Kurita,,,,,,,,,,,,,0
4120,,Pavel Hispler,,,,,,,,"camera_department,cinematographer",,3769,,Sion Probert,,,,,,,,,,,,,0
4046,,Jean-Loup Dabadie,,,2020-01-01,1938-01-01,,,,"writer,soundtrack,actor",,2811,Episode 5,,"Janet comes face to face with the man who left her fighting for life just months earlier - serial killer Geoff Hastings, who has vowed to finally reveal the full extent of his crimes. Rachel and the rest of the team investigate the racially motivated murder of a taxi driver. On the personal front, Andy refuses to take no for an answer, so Janet threatens to report him to the DCI.",5.0,2.0,,,,2012-04-09,,2012-01-01,,,,0
42,,Boris Blank,,,,1938-01-01,,,,"production_designer,director,art_director",,3259,,Pete Dunwell,,,,,,,,,,,,,0
689,,Joseph Dervin,,,2005-01-01,1914-01-01,,,,"editor,editorial_department",,676,Monkey Caretaker,,Mike Rowe meets his match when he travels to South Africa to take care of monkeys that are being trained to go back into the wild,16.0,2.0,,,,2006-08-29,,2006-01-01,,,,0
3247,,Roman Ferianc,,,,,,,,composer,,4316,,Roman Ferianc,,,,,,,,,,,,,1
4992,,James Thornton,,,,1975-01-01,,,,"actor,soundtrack",,2444,State of the Union,,Greensburg is on the map and City Manager Steve Hewitt gets a surprise invitation from the White House. The townspeople are touched by corporate sponsors who help bring the town back to life by generous donations from John Deere and General Motors.,5.0,1.0,,,,2008-07-13,,2008-01-01,,,,0
4830,,Jason Armstrong,,,,,,,,"producer,script_department,writer",,1793,The Inamorata Consequence,,"The Venture family returns to their old compound where intrigue, danger, jackets, and diplomacy await.",5.0,7.0,,,,2018-09-03,,2018-01-01,,,,0
4538,,Art Fleming,,,1995-01-01,1924-01-01,,,,actor,,4802,,Matt Bogart,,,,,,,,,,,,,0
619,Boys Over Flowers,,,,,,2009-01-01,2009-01-01,"Comedy,Drama,Romance",,70.0,5529,Episode 11,,,11.0,1.0,,,,2019-06-08,,2019-01-01,,,,0
445,,S?suke Takaoka,,,,1982-01-01,,,,actor,,3972,,Tay Garnett,,,,,,,,,,,,,0
1244,,Michael Aronov,,,,,,,,actor,,5993,,Niki Schwartz-Wright,,,,,,,,,,,,,0
4838,,Marlene Willis,,,1982-01-01,1942-01-01,,,,"actress,soundtrack",,2668,,Bryan Gordon,,,,,,,,,,,,,0
2691,,T Bone Burnett,,,,1948-01-01,,,,"soundtrack,music_department,composer",,3531,E-I-- EIGHTEEN,,J.J. struggles with not being treated like an adult on his 18th birthday; he learns a valuable lesson from Kenneth; an exchange student moves in with Taylor; Dylan is recruited to be on the school's wrestling team.,14.0,2.0,,,,2018-02-28,,2018-01-01,,,,0
2810,Goodness Gracious Me,,,,,,2015-01-01,1998-01-01,Comedy,,45.0,3463,,Lizzy Klein,,,,,,,,,,,,,0
3306,,Rose Abdoo,,,,1962-01-01,,,,actress,,1590,,Jeff Hall,,,,,,,,,,,,,0
4316,Fallen Heroes: Part 2,,23.0,6.0,,,,1998-01-01,"Crime,Drama,Mystery",,,5078,,Franck Lebreton,,,,,,,,,,,,,0
1359,,Bernard Rothman,,,,,,,,"writer,producer,miscellaneous",,695,Untitled 1,,"'Once there was a man said to be ''The Legendary Mahjong Player''. His name was Akagi Shigeru. His genius was awakened the first time he played, leading him to defeat a rep player for the yakuza that night. After that night, he went on to defeat player after player, shaking up the entire underworld.",1.0,1.0,,,,2015-07-18,,2015-01-01,,,,0
2449,,Harlan Warde,,,1980-01-01,1917-01-01,,,,"actor,miscellaneous,writer",,3481,,Alex Honnold,,,,,,,,,,,,,0
4384,Showdown at Cremation Creek: Part 1,,12.0,2.0,,,,2006-01-01,"Action,Adventure,Animation",,22.0,2783,Showdown at Cremation Creek (Part I),,"Dr. Girlfriend finally accepts the Monarch's wedding proposal... if he calls off his grudge with Dr. Venture. He agrees, but things take a turn for the worse when his henchmen mistakenly capture Team Venture, while the Phantom Limb vows not to take his break-up lightly.",12.0,2.0,,,,2006-10-08,,2006-01-01,,,,1
995,,Lionel Newman,,,1989-01-01,1916-01-01,,,,"music_department,soundtrack,composer",,4421,Episode 5,,,5.0,3.0,,,,2000-03-24,,2000-01-01,,,,0
2285,,Henri Virlojeux,,,1995-01-01,1924-01-01,,,,"actor,miscellaneous,soundtrack",,4765,,Roy Garcia,,,,,,,,,,,,,0
4085,,Johan van der Keuken,,,2001-01-01,1938-01-01,,,,"director,editor,cinematographer",,2481,,Kouji Ohkura,,,,,,,,,,,,,0
671,Fat,,4.0,1.0,,,,2005-01-01,Comedy,,,4788,,Fatima Productions,,,,,,,,,,,,,0
2769,This Subtle Danger,,15.0,8.0,,,,1961-01-01,Drama,,30.0,4904,,Ethan Bouldin,,,,,,,,,,,,,0
1971,,Bryan Dick,,,,1978-01-01,,,,"actor,soundtrack,music_department",,1282,,Lyudmila Kasatkina,,,,,,,,,,,,,0
804,,?mer Vargi,,,,,,,,"producer,director,assistant_director",,3460,Love Between the Acts,,,6.0,8.0,,,,1960-10-23,,1960-01-01,,,,0
3934,,Jennie Lynn,,,,1946-01-01,,,,actress,,4065,Kitchen Classics,,"Jacques loves to cook with the seasons, but many ingredients are actually available year-round. A Smoked Salmon Plate using Scottish or Irish salmon, Soupy Rice with Peas using fresh or frozen peas, Fast Lobster Fricassee using summer or winter lobster, Broccoli Pur?e with Brown Butter, Broccoli Stem Relish, and Vanilla Hazelnut Dessert are all favorites.",24.0,1.0,,,,,,,,,,0
31,,Don Megowan,,,1981-01-01,1922-01-01,,,,actor,,2919,,??????? ????????,,,,,,,,,,,,,0
256,,Vijayshanti,,,,1966-01-01,,,,actress,,1486,,Ned Beatty,,,,,,,,,,,,,0
3652,,Ray Montgomery,,,1998-01-01,1922-01-01,,,,"actor,soundtrack",,1558,,Jenna Scruton,,,,,,,,,,,,,0
1476,,James P. Yarbrough,,,1962-01-01,1918-01-01,,,,director,,486,"Remi, Nobody's Boy",,Orphan Remi (13) goes on a incredible journey to find his family.,,,1.0,20.0,,2016-12-06,2016-12-24,2016-01-01,10,Family,NL,0
395,,Keith Drinkel,,,,1944-01-01,,,,actor,,5108,,Keith Drinkel,,,,,,,,,,,,,1
4529,,David Manson,,,,,,,,"producer,writer,director",,907,Wu Xin: The Monster Killer,,"Wu Xin is an immortal who doesn't know where he was from, how long he lived, or what he is. He wanders the earth with no purpose in life and no money. During one of his destitute spells, he meets Yue Ya who gives him her last morsel of food. To repay her kindness and get more food in their stomach, he decides to capitalize his only skill set: Killing monsters. They begin a wondrous and often dangerous adventure of fighting supernatural evil, one paying customer at a time.",,,2.0,47.0,,2015-07-06,2017-08-14,2015-01-01,45,Mystery,CN,0
4395,The Day of the Whale,,22.0,1.0,,,,1962-01-01,Adventure,,,3521,The Day of the Whale,,,22.0,1.0,,,,1962-07-17,,1962-01-01,,,,1
3329,The Predator Holiday Special,,,,,,,2018-01-01,"Animation,Comedy,Sci-Fi",,2.0,4414,,Robert Palfrader,,,,,,,,,,,,,0
5001,,Julie Martin,,,,,,,,"producer,writer,miscellaneous",,5260,,Charles F. Haas,,,,,,,,,,,,,0
405,,Peter Medak,,,,1937-01-01,,,,"director,producer,assistant_director",,1021,Hand Walk ~ Seesaw 60 ~ Daruma 7,,,4.0,1.0,,,,,,,,,,0
2382,,Randy Rothermel,,,,,,,,,,3165,Chapter 25,,Francis finds himself shut out and Claire makes a difficult sacrifice. Stamper tries to regain control.,12.0,2.0,,,,2014-02-14,,2014-01-01,,,,0
3658,,Lee Patrick,,,1982-01-01,1901-01-01,,,,"actress,soundtrack",,3276,,Mustafa,,,,,,,,,,,,,0
2789,The Unknown,,,,,,,1927-01-01,"Drama,Horror,Romance",,63.0,4396,The Unknown,,A carnival knife thrower hopes to marry a scantily clad carnival girl.,,,,,,1927-06-04,,1927-01-01,63, Horror,,1
2467,Homicide: Life on the Street,,,,,,1999-01-01,1993-01-01,"Crime,Drama,Mystery",,60.0,51,Our Sacred Honor,,,13.0,2.0,,,,1954-11-28,,1954-01-01,,,,0
2866,Bad Medicine,,4.0,5.0,,,,1996-01-01,"Crime,Drama,Mystery",,,778,,Tajikfilm,,,,,,,,,,,,TJ,0
2672,Dead Men Don't Jump,,6.0,2.0,,,,1994-01-01,"Animation,Comedy,Fantasy",,21.0,2056,Dead Men Don't Jump,,"'Seventeen year old Nathan is a star athlete who would do anything to play pro basketball. When Nathan's fast talking Manager Marvin sets up a big time match with an unknown challenger who promises to put Nathan on Easy Street, younger brother Erin knows it's too good to be true.    ",6.0,2.0,,,,1994-10-15,,1994-01-01,,,,1
4001,,Boots Plata,,,2011-01-01,,,,,"director,sound_department,assistant_director",,343,Once There Was a Princess,,,15.0,3.0,,,,1962-01-14,,1962-01-01,,,,0
1985,,Tom Burlinson,,,,1956-01-01,,,,"actor,music_department,soundtrack",,5595,,Jean-Marie Blondel,,,,,,,,,,,,,0
5055,,Askin Arsunan,,,,,,,,composer,,6049,,Askin Arsunan,,,,,,,,,,,,,1
462,,Anita Louise,,,1970-01-01,1915-01-01,,,,"actress,soundtrack",,2126,The Perils of Penrose,,,14.0,2.0,,,,1961-01-16,,1961-01-01,,,,0
4168,,Dorothy Davenport,,,1977-01-01,1895-01-01,,,,"actress,writer,producer",,4905,Joe Strummer: The Future Is Unwritten,,"'As the front man of the Clash from 1977 onwards, Joe Strummer changed people's lives forever. Four years after his death, his influence reaches out around the world, more strongly now than ever before. In ''The Future Is Unwritten'', from British film director Julien Temple, Joe Strummer is revealed not just as a legend or musician, but as a true communicator of our times. Drawing on both a shared punk history and the close personal friendship which developed over the last years of Joe's life, Julien Temple's film is a celebration of Joe Strummer - before, during and after the Clash.",,,,,,2007-05-18,,2007-01-01,123,Music,,0
3381,Legend of the Seeker,,,,,,2010-01-01,2008-01-01,"Action,Adventure,Drama",,44.0,1139,Legend of the Seeker,,"The adventures of woodsman Richard Cypher, who discovers that he was born to fulfill a prophecy of becoming a guardian hero to oppressed people. With the help of a mysterious woman named Kahlan and a wise old wizard named Zedd, he must stop a ruthless and bloodthirsty tyrant from unleashing an ancient evil and enslaving the world.",,,2.0,44.0,,2008-11-01,2010-05-22,2008-01-01,42,Sci-Fi & Fantasy,US,1
4538,,Art Fleming,,,1995-01-01,1924-01-01,,,,actor,,5317,,Gancho Ganchev,,,,,,,,,,,,,0
2401,,Harry Holsten,,,,,,,,actor,,1230,,Z? Victor Castiel,,,,,,,,,,,,,0
