tableA_id,tableA_title,tableA_name,tableA_episodeNumber,tableA_seasonNumber,tableA_deathYear,tableA_birthYear,tableA_endYear,tableA_startYear,tableA_genre_list,tableA_primaryProfessions,tableA_runtimeMinutes,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
3253,,Larry Adare,,,,,,,,actor,,2120,Peru - Part 2,,,2.0,1.0,2014-08-08,,0
4735,,David Saenz de Maturana,,,,,,,,"production_designer,art_director,art_department",,673,,Niki Schwartz-Wright,,,,,writers,0
2482,Macross Zero,,,,,,,2002-01-01,"Action,Animation,Drama",,150.0,5108,All Booked Up,,Book-hater Greg is forced by a mysterious librarian to endlessly relive a bunch of classic stories.,9.0,3.0,1999-11-04,,0
2757,,Merle Oberon,,,1979-01-01,1911-01-01,,,,"actress,soundtrack,writer",,2698,,Edward Gold,,,,,writers,0
3951,The Shrimp Incident,,4.0,2.0,,,,2001-01-01,Comedy,,29.0,4229,,Jolene Blalock,,,,,guestStars,0
3559,The Club,,10.0,2.0,,,,1961-01-01,"Adventure,Drama,Family",,30.0,5231,Bologna Maker,,Mike heads to Pennsylvania and tries his hand at making bologna and then goes to Alaska to repair a very special toilet.,1.0,5.0,2009-01-06,,0
4435,,Rupert Everett,,,,1959-01-01,,,,"actor,soundtrack,producer",,351,,Christopher Walker,,,,,guestStars,0
4668,,Jack Lester,,,2004-01-01,1915-01-01,,,,actor,,3947,,Daniel Stemer,,,,,guestStars,0
3200,And Then There Were Nine,,1.0,1.0,,,,2014-01-01,"Comedy,Crime,Mystery",,10.0,4484,Locked Up In Love,,"The 2001 murder of Bobbie Holder, who was lured by Tina Leja to her boyfriend Darnell Smith's home so that he and his brother Chaka could attack him. Holder was shot twice and stabbed about nine times, before his body was dismembered. Leja claimed she lived in fear of being killed by Darnell Smith, with whom she became involved in a relationship when he was in Stillwater prison where she was a guard.",5.0,2.0,2015-01-03,,0
3726,,Michael Potts,,,,,,,,"actor,assistant_director",,288,,??????? ?,,,,,directors,0
4642,,Adam F. Goldberg,,,,1976-01-01,,,,"producer,writer,actor",,1826,,Tucker Gates,,,,,directors,0
1973,,Christopher Kyle,,,,,,,,writer,,4896,,Murray Rubin,,,,,guestStars,0
1005,The Mob Riders,,5.0,1.0,,,,1962-01-01,"Drama,Sport,Western",,60.0,521,,Phoebe Neidhardt,,,,,guestStars,0
11,,Sayid,,,,,,,,"actor,miscellaneous",,6563,A Story That Shouldn't Be Missed (2),,,2.0,0.0,2017-03-19,,0
2808,,Vince Barnett,,,1977-01-01,1902-01-01,,,,"actor,soundtrack,writer",,2669,,Leslie Libman,,,,,director,0
1392,,Robert Aldrich,,,1983-01-01,1918-01-01,,,,"director,assistant_director,producer",,1600,,Robert Aldrich,,,,,director,1
1930,,Russell Johnson,,,2014-01-01,1924-01-01,,,,"actor,miscellaneous",,6022,Haunted Houses,,"In 2002, Cohle and Hart begin to fall back to familiar and violent obsessions. Hart exacts savage vengeance on a pair of teenage boys, and Cohle becomes convinced they left something undone in 1995. Working on his own, Cohle traces a sinister connection between missing children along the coast and evangelist Billy Lee Tuttle's Wellsprings Program. Hart is reintroduced to a former prostitute he met during the Lange investigation. In 2012, Papania and Gilbough question Maggie, now divorced from Marty, about Cohle and Hart during 2002, the year their relationship fractured and Cohle quit the force following a suspension.",6.0,1.0,2014-02-23,,0
2083,The Room Next Door,,26.0,4.0,,,,1957-01-01,Drama,,30.0,7069,Boys Over Flowers (KR),,"Set at a famous high school for the super-wealthy, this is a puppy love story centered on a poor girl and the F4 gang of rich kids headed by the rough and fearless Goo Jun-pyo. Geum Jan-di (Goo Hye-sun) is a girl from a poor family but has an unrivaled sense of optimism and drive and is by chance admitted to a prestigious private high school. There she meets the infamous group of four astonishingly good looking and rich boys who are known as F4. The group's leader is Goo Jun-pyo (Lee Min-ho), who is a spoiled heir to world-leading conglomerate Shinhwa. He is joined by mysterious and breathlessly handsome Yoon Ji-hoo (Kim Hyun-joong), So Yi-jung (Kim Bum), and Song Woo-bin (Kim Joon). Their love story moves from Seoul to New Caledonia to Macau.",,,2009-01-05,,0
2588,,Gackt,,,,1973-01-01,,,,"actor,soundtrack,composer",,238,,Jun Ki Sang,,,,,director,0
5090,Happy to Be Here,,5.0,3.0,,,,1994-01-01,"Crime,Drama,Mystery",,,5719,,Cyril Hume,,,,,writers,0
2972,,Werner Preuss,,,,,,,,"editor,production_manager,producer",,2476,,Tim McAdams,,,,,guestStars,0
2847,,Frank Sullivan,,,1972-01-01,1896-01-01,,,,"editor,cinematographer,writer",,964,,Brian Van Holt,,,,,guestStars,0
52,,Stanford Whitmore,,,2014-01-01,1925-01-01,,,,writer,,923,,Lilianne Montevechi,,,,,guestStars,0
2283,,Manuel Tejada,,,2019-01-01,1940-01-01,,,,actor,,4290,,Miyuki Sawashiro,,,,,actor,0
1544,The New York Story,,23.0,1.0,,,,1954-01-01,Drama,,30.0,7288,Meet the Blacks,,The Davids take in a family whose life was destroyed by a hurricane; Larry comes up with a way to avoid going to parties he has no desire to attend,1.0,6.0,2007-09-09,,0
4316,Fallen Heroes: Part 2,,23.0,6.0,,,,1998-01-01,"Crime,Drama,Mystery",,,3192,,Kevin Jiggets,,,,,guestStars,0
3293,,Jay Novello,,,1982-01-01,1904-01-01,,,,actor,,5162,Purging and Cleansing,,'Mary Jane prepares for her return to ''TalkBack''; and begins a ''life cleanse'' in an effort to resurrect her finances and reclaim her voice as a journalist.,9.0,3.0,2015-12-08,,0
1593,Docventures,,,,,,,2013-01-01,"Documentary,Talk-Show",,,480,,Phil de Carlo,,,,,guestStars,0
1316,,Nina Morrison,,,,,,,,actress,,1696,,Doug Roberts,,,,,guestStars,0
2812,,Elly Choval,,,,,,,,,,1246,Chimney Sweeper,,"Mike first goes to the Chimney Safety Institute of America in Plainfield, IN and learns how to be a certified chimney sweeper. Mike then goes to Ontario, Canada to salvage underwater logs, which are then used to make furniture. Finally, Mike visits a scrap metal recycler in St. Louis, MO and learns how to separate different metals and operate some big machines.",13.0,1.0,2005-11-08,,0
4564,,Carme Elias,,,,1951-01-01,,,,"actress,miscellaneous",,7479,,Neil Lewis,,,,,guestStars,0
3259,,Dave Ingham,,,,,,,,"writer,production_manager,miscellaneous",,3754,,Scott Aukerman,,,,,director,0
4185,,Larry Williams,,,1999-01-01,1950-01-01,,,,"director,art_department",,1523,,Larry Williams,,,,,director,1
3402,,John Crawford,,,2010-01-01,1920-01-01,,,,"actor,writer,director",,6340,"Romantic Pioneers, 1750-1805",,"Imagination loosed in William Blake, Christopher Smart, Samuel Taylor Coleridge, and William Wordsworth. Featured performers: Peggy Ashcroft, Julian Glover, and Ian Richardson.",9.0,1.0,1984-10-21,,0
1164,,Paul Franklin,,,1980-01-01,1899-01-01,,,,writer,,3602,,Vikram Gandhi,,,,,director,0
2155,Cvrcek a basa,,7.0,1.0,,,,1979-01-01,"Animation,Family",,5.0,1679,,Tom Greiss,,,,,director,0
3411,,Craig Parker,,,,1970-01-01,,,,"actor,miscellaneous",,6027,,Gregory Michael Cooke,,,,,guestStars,0
354,,Brad Anderson,,,,1964-01-01,,,,"director,producer,writer",,6310,,J. Michael Hunter,,,,,guestStars,0
4308,,Toni Gerry,,,1991-01-01,1926-01-01,,,,actress,,1336,,Victor Anthony,,,,,guestStars,0
247,Fix It Mum and Dad,,43.0,1.0,,,,2017-01-01,"Animation,Comedy,Family",,,364,"Fix it, Mum and Dad",,"Monty thinks mums and dads can fix everything, until his tell him they won't be able to repair his broken toy helicopter.",43.0,1.0,2017-05-03,,1
434,,Damon D'Oliveira,,,,1964-01-01,,,,"actor,producer,camera_department",,7215,,Nathan Lane,,,,,guestStars,0
3222,The Bracelet,,4.0,1.0,,,,2000-01-01,Comedy,,28.0,860,Neglect,,"Unable to get over being second choice for the sergeant's job, Rachel punishes Janet for not telling her. After Elise moves in with Ade, Janet feels inadequate as a mother although she has not given up on the idea of a boyfriend entirely. When an unconscious baby is admitted to hospital, staff are concerned that his injuries do not match his parents' explanation. But with a child-minder and her stoned boyfriend in the mix, it is unclear who had the baby's best interests at heart.",5.0,4.0,2014-10-08,,0
3066,,James Bender,,,1958-01-01,,,,,actor,,2482,Mirror,,"Opportunistic thieves use magic to disguise themselves as Richard and Kahlan in a scheme to rob trusting townspeople, but when they learn the real Seeker and Confessor are nearby, they seize the opportunity to steal the Sword of Truth.",18.0,1.0,2009-04-25,,0
691,Just an Old Fashioned Love Song,,3.0,7.0,,,,1998-01-01,"Crime,Drama,Mystery",,,6978,About Music with Paleface,,,7.0,1.0,2013-10-09,,0
4322,,Nancy Evans,,,1963-01-01,1910-01-01,,,,actress,,3637,To Have and to Kill,,"After young lovers Deborah and Steven Brown are married, his erratic and malicious side emerges to torment his wife and their kids for the next 16 years. But trying to escape Steven's wrath proves treacherous for Deborah, and those willing to help.",6.0,3.0,2016-02-13,,0
851,The Cardinal's Secret,,32.0,3.0,,,,1956-01-01,Drama,,30.0,677,,Nic Pizzolatto,,,,,director,0
5062,,Xinh Dwelley,,,,,,,,,,3186,The N Word,,Larry accidentally offends Lorreta's Auntie Rae and takes advantage of Jeff's hospitalization.,8.0,6.0,2007-10-28,,0
5049,,Ayelet Sela,,,,,,,,writer,,2517,Black Maps and Motel Rooms,,"Ray, Ani and Paul take precautionary measures to elude detection and untangle a dark mystery. Frank deals with the fallout of his betrayal.",7.0,2.0,2015-08-02,,0
3725,The Surrogate,,7.0,4.0,,,,2004-01-01,Comedy,,30.0,7225,The Surrogate,,"Larry decides to buy a surrogate mother a gift, but it backfires.  He tries (and fails) to pass a routine physical and uses it as an advantage.",7.0,4.0,2004-02-22,,1
797,,Siu-Tin Lai,,,2019-01-01,1946-01-01,,,,"actor,composer,music_department",,177,Koyomi Wind,,,25.0,0.0,2016-02-06,,0
1052,,Adam Bernstein,,,,1960-01-01,,,,"director,producer,writer",,1829,Bat Cave Scavenger,,"'Mike enters a bat cave in Texas in search of guano (bat excrement) to collect with a bat biologist.  Later he helps to rehabilitate bats at a ''bat hospital.''  Mike then goes in search of mud used to give grip to baseballs in the major leagues.  Finally, Mike tries his hand at filleting fish and takes part in the many stages of seafood production.",19.0,0.0,2003-11-07,,0
3459,Sins of the Father,,10.0,6.0,,,,1998-01-01,"Crime,Drama,Mystery",,,1025,Sins of the Father,,"'A white man is found lynched in a historic black section of the city; Falsone and Lewis investigate. The day after Tim's dinner date with the male restaurant owner that Tim was positive about, Frank is perplexed by Tim's interest in Laura Ballard. The autopsy reveals that the hanged man was also whipped. Gharty worries about Ballard getting involved with ''''switch-hitter'''' Bayliss. Lewis is convinced the lynching is related back to the victim's Civil War ancestor, infamous runaway-slave catcher and free-blacks abductress. Tim and Laura attend an art show.",10.0,6.0,1998-01-09,,1
3930,,Damon Crump,,,,1964-01-01,,,,"camera_department,cinematographer,producer",,2371,Chapter 1,,"When the newly elected President reneges on a promise, Francis and Claire decide to sever all allegiances and toss the rules out the window.",1.0,1.0,2013-02-01,,0
3765,,Gilles Adrien,,,,,,,,"writer,director,actor",,4143,,Jongman Kim,,,,,guestStars,0
1402,,Tom Drake,,,1982-01-01,1918-01-01,,,,"actor,soundtrack",,6586,Episode 20,,"'Jandi becomes Junpyo’s personal maid and controls over Junpyo’s naughty behavior. While she was in Junpyo’s room to wake him up, Jaekyung and Junpyo’s mother enter the room and get shocked to see her. The mother wants to kick her out from the house immediately, but the head maid and Jaekyung intervene in. Seokyeong collapses at the clinic and Jandi takes him to Jihoo’s house. Jandi tries to reconcile the two and now they start to live under the same roof. Gaeul now knows that Eunjae was Yijung’s first love, and tries her best to bring them together.",20.0,1.0,2009-03-16,,0
1309,,Oriel Rodrigues,,,,,,,,producer,,2821,,Monroe Thomas,,,,,guestStars,0
2790,,Rolf Kutschera,,,2012-01-01,1916-01-01,,,,"actor,director,writer",,1606,Episode 23,,,23.0,2.0,2017-09-14,,0
195,,Mary Adams,,,1973-01-01,1910-01-01,,,,actress,,1910,C-H-O-CHOIR,,"Maya surprises everyone by embracing a newfound holiday spirit, but her view is put to the test when the family van is stolen along with all their holiday gifts. Ray joins the choir and gets a coveted solo. But when an attractive new teacher is hired, JJ decides to join his brother and takes Ray's solo.",10.0,1.0,2016-12-14,,0
5094,,Bea Arthur,,,2009-01-01,1922-01-01,,,,"actress,soundtrack",,7273,,Hans Kramm,,,,,guestStars,0
436,,Ben Foster,,,,,,,,"music_department,composer,soundtrack",,1445,,Mike Mauloff,,,,,guestStars,0
0,,Edmon Ryan,,,1984-01-01,1905-01-01,,,,actor,,5721,,Nancy G. Robinette,,,,,guestStars,0
5115,Milestones & Meltdowns,,5.0,1.0,,,,2018-01-01,"Drama,Family,Reality-TV",,42.0,5855,,Ellen Gittelsohn,,,,,director,0
2209,,Juan Sebasti?n Cruz,,,,,,,,actor,,5625,The Quest of Ambrose Feather,,,19.0,3.0,1962-02-11,,0
2304,,Heinz Petters,,,2018-01-01,1932-01-01,,,,"actor,soundtrack",,710,All Work and No Play,,"The murder of Robert Breininger, who was shot dead by his 10-year-old son in what appeared to be a tragic accident. However, it later transpired the youngster had been manipulated into the act by Judith Hawkey, his stepmother, to secure a $500,000 life insurance settlement. A decade after the 2003 incident, Hawker was found guilty of aggravated murder, insurance fraud and child-endangering",1.0,2.0,2014-12-06,,0
2088,,Jan Tine,,,,,,,,actor,,2136,The Acupuncturist,,An acupuncturist agrees to waive the fee if he cannot cure Larry's back; a writer asks for a loan.,6.0,2.0,2001-10-28,,0
909,,Linda Valentine,,,,,,,,actress,,4838,,Sean Akil Wingate,,,,,guestStars,0
4270,,Mitchell Leisen,,,1972-01-01,1898-01-01,,,,"director,art_director,costume_designer",,3305,,James Stoteraux,,,,,writers,0
5010,,Kai-Shek Chiang,,,1975-01-01,1887-01-01,,,,,,3522,,Vernon DeVinney,,,,,guestStars,0
989,,Raymond Massey,,,1983-01-01,1896-01-01,,,,"actor,writer",,1173,What Color is Your Cleansuit?,,"A three-month period in the lives of our heroes and villains is chronicled. Dr. Venture recruits college interns to help him complete a project for J.J. in time, but things go awry. Dean makes a life-changing decision after Triana rejects him, and Billy Quizboy acquires a new archenemy.",1.0,5.0,2013-06-02,,0
4292,,Peter Sauder,,,,,,,,"miscellaneous,writer,producer",,5050,Being Kara,,Kara's life spins out of control; and Mary Jane helps Niecy land her first job.,4.0,3.0,2015-11-03,,0
1154,,Carl Benton Reid,,,1973-01-01,1893-01-01,,,,actor,,3067,,John Ventimiglia,,,,,guestStars,0
2408,,Geoff Kahnert,,,,,,,,"actor,soundtrack",,168,The Act of Killing,,,34.0,0.0,2013-11-06,,0
2825,,Barney Phillips,,,1982-01-01,1913-01-01,,,,actor,,2158,,Stuart Pankin,,,,,guestStars,0
796,,David Newsome,,,,,,,,actor,,583,,Lou DiMaggio,,,,,guestStars,0
3153,Episode #2.2,,2.0,2.0,,,,1999-01-01,Drama,,21.0,1336,,Victor Anthony,,,,,guestStars,0
1630,The End of the Week,,12.0,4.0,,,,1956-01-01,Drama,,30.0,4889,About  Conspiracies: Citizenfour,,,1.0,3.0,2015-09-09,,0
800,The Judgment,,32.0,1.0,,,,1954-01-01,Drama,,30.0,1056,,Jack Behr,,,,,writers,0
3458,,Julie Newmar,,,,1933-01-01,,,,"actress,soundtrack",,3411,,Joey Luthman,,,,,guestStars,0
2309,,Michael Emmet,,,2009-01-01,1926-01-01,,,,actor,,896,,Kaarina Hazard,,,,,guestStars,0
210,,Mike Connors,,,2017-01-01,1925-01-01,,,,"actor,producer,miscellaneous",,1039,,Paul Mazursky,,,,,guestStars,0
1473,,Ralph W. Chambers,,,1968-01-01,1892-01-01,,,,actor,,3812,Hostage (1),,"Gaffney and Barnfather give Gee a hassle about the return of Frank to duty and the sudden departure of Russert to Europe. Bayliss and Munch are called to the scene of a homicide, where the victim, Mrs. Uba, was cooking breakfast and the only witness may be a male pig named Angie. Frank returns to work and Gee tells him what his limited duties are going to be and that he's called in all his favors and both their asses are on the line. The squad is called out for a hostage situation at a middle school.",1.0,5.0,1996-09-20,,0
2479,,William Colgate,,,,,,,,actor,,2081,,William Colgate,,,,,guestStars,1
4397,,Giancarlo Esposito,,,,1958-01-01,,,,"music_department,actor,producer",,917,,John Epps,,,,,guestStars,0
478,,Malcolm Atterbury,,,1992-01-01,1907-01-01,,,,actor,,4368,,Matthew Walker,,,,,guestStars,0
2885,,Robin Stevens,,,,,,,,"actor,miscellaneous,writer",,1834,Immune to Murder,,"Nero is asked to cook his famous baked trout for an oilman and an Eastern European ambassador. But when Archie finds a body in the trout stream, Wolfe must solve the murder first.",16.0,2.0,2002-08-18,,0
4271,Indictment,,20.0,1.0,,,,1974-01-01,"Crime,Drama",,60.0,6536,,Ceri Bethan,,,,,guestStars,0
1858,,Horst Hennicke,,,,,,,,"production_designer,director,art_director",,4876,,Joe Howard,,,,,guestStars,0
4454,,Talbot Jennings,,,1985-01-01,1894-01-01,,,,writer,,2740,,Siatta Johnson,,,,,director,0
1467,Ostrich Farmer,,8.0,1.0,,,,2005-01-01,Reality-TV,,43.0,1967,,Louise Wallace,,,,,guestStars,0
3812,,John R. Pepper,,,,1958-01-01,,,,"assistant_director,actor,director",,6241,,John R. Pepper,,,,,director,1
1237,,Christopher Olsen,,,,1946-01-01,,,,actor,,1063,,Khali Macintyre,,,,,guestStars,0
3816,,Edward Binns,,,1990-01-01,1916-01-01,,,,actor,,2554,,Robert Armstrong,,,,,guestStars,0
2495,,Jackson 5,,,,,,,,soundtrack,,667,,Marin Hinkle,,,,,guestStars,0
1045,Abduction,,17.0,6.0,,,,1998-01-01,"Crime,Drama,Mystery",,,7006,The Bamboo Curtain,,"In Hong Kong, Adam is approached by a pretty goverment agent who wants him to help her with an assignment.",10.0,1.0,1959-12-14,,0
4833,,Debbie Sarjeant,,,,,,,,"producer,production_manager,camera_department",,5067,,Debbie Sarjeant,,,,,writers,1
2318,,Johnny McGovern,,,,1936-01-01,,,,actor,,5465,,Michael Pace,,,,,guestStars,0
2100,,Rudi Kurz,,,2020-01-01,1921-01-01,,,,"director,writer,actor",,5315,,Gil Grail,,,,,guestStars,0
521,,J?rg Mauthe,,,1986-01-01,1924-01-01,,,,"writer,producer",,6698,A Ticking Time Bomb,,"Young Jin makes it out alive and starts to be amicable towards Kim Won Bong. However, when she meets with Prosecutor Fukuda, she tells him that the Bureau of Judicial Affairs of the Joseon Government is after her and questions his sincerity. Later, she joins Won Bong and Seung Jin to meet with Yoo Tae Joon in Manchuria.",7.0,1.0,2019-05-11,,0
1854,,Parker Fennelly,,,1988-01-01,1891-01-01,,,,actor,,4401,,Dave Lamb,,,,,actor,0
634,,Jeffrey Hause,,,,,,,,"writer,miscellaneous,producer",,7584,,Cynthia Szigeti,,,,,guestStars,0
2914,,Jodie Foster,,,,1962-01-01,,,,"actress,director,producer",,154,,Jodie Foster,,,,,director,1
2924,The Wedding,,21.0,4.0,,,,1996-01-01,"Crime,Drama,Mystery",,,728,The Wedding,,"'A trash-talking radio talk-show host makes a proposal to his listening audience. Lewis announces to Kellerman that he is getting married today, then he throws up. He motivates the rest of the squad to help him with the final details as he is getting married ''''tonight after the shift ends.'''' Kay brings her sister with her to the station. Since the whole squad is busy with Lewis' wedding, Gee takes Howard out to work the homicide of the radio talk-show host. One of his listeners took him up on his proposal. Munch is skeptical about the Lewis wedding; he thinks it's an elaborate practical joke. Bayliss and Kellerman vie for the attention of Kay's sister. Gee shoots and kills a potential suspect, but the suspect was in jail at the time of the talk show host's murder. The guy who fingered him admits that he did it as a joke. The wedding is no hoax. During the festivities Pembleton's wife goes into labor.",21.0,4.0,1996-05-10,,1
1613,,Sally Gray,,,,,,,,"writer,actress,producer",,6336,Volume 4,,'Volume 4: The Wanda Beach Murders (30 mins) (M)The Beaumont Children Mystery (25 mins) (M)Kid for Ransom - The Graeme Thorne Case (50 mins) (PG)Tears for Daniel - Disappearance of Daniel Morcombe (25 mins) (PG)No More Grannies - John Glover (50 mins) (M),4.0,0.0,,,0
1454,,Deborah Goodwin,,,,1966-01-01,,,,"writer,director,producer",,744,,Per Andersson,,,,,guestStars,0
2138,,Janet Roach,,,,,,,,"writer,producer,script_department",,2416,,Steve Watson,,,,,guestStars,0
1228,,Ron Goldstein,,,,,,,,"actor,writer",,671,,Ron Goldstein,,,,,writers,1
1421,,Jussara Barros,,,,,,,,,,212,,Natalie Trundy,,,,,guestStars,0
1523,Padamati Sandhya Ragam,,,,,,,1987-01-01,Romance,,142.0,6473,,Christopher Kyle,,,,,writers,0
2504,,James Holden,,,2005-01-01,1920-01-01,,,,actor,,2881,Gym,,Freddie and Stuart join Ash's gym; and Violet and Penelope enjoy the flat without them there.,2.0,2.0,2015-06-08,,0
1774,,Judy George,,,2006-01-01,1932-01-01,,,,writer,,1992,Era Of Hate,,"Agent Jin cracks down on the dark web and hacks into “Doctor Fabre,” a site with information on the Golden Time Team, and for the first time, Do Kang Woo and Kang Kwon Joo make direct eye contact with the serial killer, Bang Je Soo. However, once again, Bang Je Soo slips away from the police and is determined to target Agent Jin for trespassing into his site. Meanwhile, Kang Woo tells Kwon Joo of his past, and the two of them start to plan Bang Je Soo’s capture.",11.0,2.0,2018-09-15,,0
689,,Joseph Dervin,,,2005-01-01,1914-01-01,,,,"editor,editorial_department",,5044,The Hero,,Larry plays the hero in the sky and underground; Jeff’s courtship of Ricky Gervais is sabotaged by a nosy waiter. ,6.0,8.0,2011-08-14,,0
1496,,Amber McClarin,,,,,,,,"miscellaneous,producer,director",,7172,,Michael Angelo,,,,,guestStars,0
183,Chick Sexer,,4.0,1.0,,,,2005-01-01,Reality-TV,,44.0,5197,,Giselle Torres,,,,,guestStars,0
3743,Poison ? la Carte,,8.0,2.0,,,,2002-01-01,"Action,Drama,Mystery",,,1055,Stories from Norway,,"'The show is a new and ambitious concept for Ylvis. It's based on current events in Norway, but will also contain satirical songs and feature Ylvis playing multiple roles in each episode. On 1 November 2017, TVNorge released a teaser clip on Youtube called ''Bieber Fever'', about the media frenzy that occurred when singer Justin Bieber arrived in Oslo for a concert",,,2018-02-19,,0
4530,Micro-Algae Man,,12.0,1.0,,,,2005-01-01,Reality-TV,,44.0,6153,Micro-Algae Man,,"Mike begins by traveling to Palo Alto, CA to learn how to be a pet groomer, from cutting hair to giving baths.  Mike then goes to Hawaii to turn happy green algae into unhappy red algae to be used as antioxidant gelcaps for human consumption. Finally, Mike goes to Missouri to learn how to be a charcoal factory worker. Mike ends the day with a barbeque and introduces us to the crew that help make the show.",12.0,1.0,2005-11-01,,1
4609,Nadeko suneiku sono ni,,10.0,1.0,,,,2009-01-01,"Action,Animation,Comedy",,24.0,6664,Town Gathering,,"Erin, who has a reputation for making up stories, discovers that no one will believe her when she discovers that the people proposing a new business deal to her mother are actually aliens planning to make a meal out of the townsfolk.",10.0,3.0,1999-11-11,,0
1152,,Mary Alan Hokanson,,,1994-01-01,1916-01-01,,,,actress,,5298,Beloved Aunt,,"'When Cheryl's aunt dies, Larry is left in charge of the obituary. But when the newspaper accidentally places ''beloved c*nt'' instead of beloved aunt, things take an expected turn for the worse.",8.0,1.0,2000-12-03,,0
2393,,John Kassir,,,,1957-01-01,,,,"actor,soundtrack,miscellaneous",,4254,December Bride,,"Charming and wise Lily Ruskin lives with her daughter and son-in- law who, along with her close friend Hilda Crocker, are always trying to find suitable older marriageable companionship for her. Running comedy bits included neighbor Porter's complaints about his (heard but unseen) wife Gladys.",,,1954-10-01,,0
1504,,Iwan Rheon,,,,1985-01-01,,,,actor,,3140,,Iwan Rheon,,,,,actor,1
4914,The Incredible Mr. Brisby,,4.0,1.0,,,,2004-01-01,"Action,Adventure,Animation",,22.0,604,,Jeanne Chinn,,,,,guestStars,0
990,,Lee Bowman,,,1979-01-01,1914-01-01,,,,"actor,soundtrack",,996,,Will Monahan,,,,,guestStars,0
1021,,Thelma Schnee,,,1997-01-01,1918-01-01,,,,"writer,producer,actress",,6068,,Maryanne Marino,,,,,guestStars,0
1447,,Bert Luppes,,,,1955-01-01,,,,actor,,0,The Paparazzo Affair,,"Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News. Fortunately, Ace was there to save him. However when they go back to the Magic Express, they been rocked by grenades. What's worse is the Magic Express is in fire. The Express goes away, until comes to a cliff, the Express falls into the ocean. Luckily, the Express can still operate underwater. Yet, Duc complains to Ace about him being crazy, but Ace confronts Duc. Duc shows Ace a CD video about a new director in the St. Paul Hospital name John Wosh. However, John Wosh isn't really who he is, his real name is Paul Kelly and was arrested for illegal chemical experiments. Duc gets to the hospital headfirst, only to be taken away. Ace and Cosmo arrive there, they learn that the secret of the hospital is to treat people with a new virus then give a medication for a high price. Ace saves Duc who was about to be thrown in boiling liquid. They find Wosh an",1.0,2.0,,,0
1848,,Gesualdo Bufalino,,,1996-01-01,1920-01-01,,,,writer,,2855,,Michael Potts,,,,,actor,0
3881,Chapter 27,,1.0,3.0,,,,2015-01-01,Drama,,59.0,3699,Thor,,"Jeff leaves his wife Susie, and worries that his private life will become public in court. Jeff's concern affects Larry, who becomes obsessed with showing Cheryl how normal he is. Meanwhile, Larry seeks revenge on pro wrestler Thor Olson, who he believes slashed his tire after an argument on the road.",2.0,2.0,2001-09-30,,0
1272,Avian Vomitologist,,3.0,2.0,,,,2006-01-01,Reality-TV,,44.0,2389,The World That You Dream Of,,,16.0,1.0,2016-10-11,,0
3086,,Ric Mills,,,,,,,,"composer,music_department",,5939,,Lee Hae-Young,,,,,actor,0
3204,,Allen Breneman,,,,,,,,actor,,4704,Really Dirty Animals,,"'It's an extravaganza of Really Dirty Animals as Mike Rowe looks back at spitting alpacas, fainting goats, wild monkeys, pregnant cows, cheating penguins, kicking ostriches, squealing pigs and runaway mules. There's new footage, updates and old favorites.",10.0,0.0,2007-03-20,,0
1770,,Marc Alaimo,,,,1942-01-01,,,,actor,,6607,,Jackson Publick,,,,,writers,0
4569,,Tiffany Bolling,,,,1947-01-01,,,,"actress,miscellaneous,soundtrack",,6169,,Bob Supan,,,,,guestStars,0
4391,,Gabrielle Upton,,,,1922-01-01,,,,"writer,actress",,3141,,Laurie Kennedy,,,,,guestStars,0
3771,,Joseph Hindy,,,,1938-01-01,,,,actor,,2069,,Moses Gunn,,,,,guestStars,0
1107,,Donna Jo Boyce,,,2000-01-01,1938-01-01,,,,actress,,923,,Lilianne Montevechi,,,,,guestStars,0
1608,,Steve Liebmann,,,,1944-01-01,,,,actor,,3214,,Steve Liebmann,,,,,actor,1
250,,Michael S. Chernuchin,,,,1954-01-01,,,,"producer,writer,miscellaneous",,3557,Special Guest: Alo J?riloo,,,33.0,0.0,2013-11-06,,0
4093,A Party for Tarzan,,7.0,6.0,,,,2016-01-01,"Action,Adventure,Animation",,22.0,263,,Henry Brandon,,,,,guestStars,0
2708,,Cheryl Hines,,,,1965-01-01,,,,"actress,producer,director",,5803,,Cheryl Hines,,,,,actor,1
1331,Folge 1,,1.0,1.0,,,,1972-01-01,"Comedy,War",,,6473,,Christopher Kyle,,,,,writers,0
3510,,Frances Bavier,,,1989-01-01,1902-01-01,,,,"actress,soundtrack,miscellaneous",,6650,King of the City,,"Monty wonders if being the best is the most important thing, when Gran encourages him to win a painting competition.",33.0,1.0,2017-04-19,,0
3600,The Little Witness,,5.0,5.0,,,,1957-01-01,Drama,,30.0,5705,,Anne Bancroft,,,,,guestStars,0
