tableA_id,tableA_title,tableA_name,tableA_abstract,tableA_episodeNumber,tableA_seasonNumber,tableA_numberOfSeasons,tableA_numberOfEpisodes,tableA_birthDate,tableA_releaseDate,tableA_last_air_date,tableA_release_year,tableA_runtime,tableA_genre_list,tableA_origin_country,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
3973,Law and Disorder,,"Pembleton receives an extradited prisoner from New York City Detective Logan. Bayliss is put in charge of investigating the death of Gordon Pratt, but gets no cooperation from anyone on the force. Beau wants to return to active duty. A woman recognizes Munch from an old picture that is hanging in an art gallery across from the precinct. To Munch's embarassment he discovers that an old girlfriend, who's a photographer, is displaying an old picture of him in the buff at her gallery showing. Pembleton and Meldrick investigate a random shooting of a woman, and they clash over where the weapon may have been fired. They also find a woman who's shot her boyfriend and stuffed him in the freezer. Beau accompanies Gee on an investigation and must come to grips with his inability to look at a dead body the same way.",15.0,3.0,,,,1995-02-24,,1995-01-01,,,,7258,Viden om,,,,,1999-01-05,,0
904,,Nelvana Limited,,,,,,,,,,,,,5903,,Juliet Prowse,,,,,guestStars,0
5414,,Kim Seung-su,,,,,,,,,,,,,3247,,Conrad Dunn,,,,,actor,0
5452,"Blood of the Father, Heart of Steel",,Henchman 21 copes with life without 24. Brock and the Venture family are forced to part ways. Discover the final fate of H.E.L.P.eR. And Dean must kill Hitler.,1.0,4.0,,,,2009-10-18,,2009-01-01,,,,1817,,Robert Mintz,,,,,writers,0
3871,,Ricardo Herriot,,,,,,,,,,,,,7555,Presenting document Man On Wire,,,73.0,0.0,2014-10-22,,0
1156,Episode 8,,,8.0,1.0,,,,2007-11-30,,2007-01-01,,,,2846,,Lisa Hammer,,,,,guestStars,0
4500,Angel of Death,,,21.0,2.0,,,,1961-03-06,,1961-01-01,,,,4514,,Mike Bonanno,,,,,director,0
2420,,Satoru Kousaki,,,,,,,,,,,,,6067,A Bride for the Captain,,,23.0,3.0,1962-03-11,,0
5796,,Lorrie Campbell,,,,,,,,,,,,,910,Uncle Harry's Horrible House of Horrors,,"During a trip to the carnival, a boy's birthday is being spoiled by his skeptical uncle, but the latter of whom soon has his views of the supernatural challenged when they take a ride through a frighteningly realistic haunted house.",12.0,2.0,1994-11-12,,0
5614,Chinatown Garbage Collector,,"Garbage collector/recycling separator, shark catcher/tagger, car recycling",1.0,1.0,,,,2005-07-26,,2005-01-01,,,,1885,Chinatown Garbage Collector,,"Garbage collector/recycling separator, shark catcher/tagger, car recycling ",1.0,1.0,2005-07-26,,1
1502,,Tomoyo Kurosawa,,,,,,,,,,,,,7662,"Cold Blood, Warm Hearts",,"'The Vaultkeeper and the Old Witch meet at the beach and swap stories. In ''Cold Blood, Warm Heart,'' the Old Witch tells the tales of two lakes that are haunted by monsters.",2.0,2.0,1994-09-17,,0
5283,El Dentista,,,4.0,6.0,,,,1999-01-28,,1999-01-01,,,,4461,,Bree Williamson,,,,,guestStars,0
5561,,John Cooper Clarke,,,,,,,,,,,,,19,,Christopher McCulloch,,,,,guestStars,0
2088,The Years Between,,,7.0,4.0,,,,1956-10-07,,1956-01-01,,,,1131,,Mads Br?gger,,,,,directors,0
5589,,Dileesh Pothan,,,,,,,,,,,,,3814,,Dick Stilwell,,,,,guestStars,0
3241,Maybe No Go,,White and Billy grapple with their archenemy in their old neighborhood; Doc realizes he cannot face his responsibilities alone.,2.0,6.0,,,,2016-02-08,,2016-01-01,,,,125,Maybe No Go,,White and Billy grapple with their archenemy in their old neighborhood; Doc realizes he cannot face his responsibilities alone.,2.0,6.0,2016-02-08,,1
4271,Episode 2,,,2.0,1.0,,,,1980-06-30,,1980-01-01,,,,3803,Jimmy Jones Rules,,Monty tries to convince his family that Jimmy Jones is more than just a cuddly pet.,70.0,1.0,2017-10-27,,0
4567,,Antonio Adamo,,,,,,,,,,,,,428,,Francis D. Lyon,,,,,director,0
3597,Assisted Suicide,,"Dr. Venture is possessed by an entity that attempts to make him commit suicide, and Dr. Orpheus tries to save him.",14.0,4.0,,,,2010-10-17,,2010-01-01,,,,35,,Malik Bendjelloul,,,,,directors,0
1711,,Zach Galifianakis,,,,,,,,,,,,,1816,,Sam Carson,,,,,guestStars,0
5031,Episode 10,,,10.0,1.0,,,,2016-12-14,,2016-01-01,,,,6500,Chapter 70,,Claire allows her enemies to think she's incapacitated as they plot to remove her from office. Doug's investigation leads him to uncover a secret.,5.0,6.0,2018-11-02,,0
3434,,Akio Watanabe,,,,,,,,,,,,,1954,,David Fincher,,,,,directors,0
2795,,Emma Cunniffe,,,,,,,,,,,,,2619,,Airi Lampinen,,,,,guestStars,0
4653,,Cardi B,,,,,,,,,,,,,5986,,Talal Derki,,,,,director,0
5952,,Elisabetta Darida,,,,,,,,,,,,,5532,,Glynis Johns,,,,,guestStars,0
3624,Kid Criminals,,"In America at any one time there are over 70,000 children behind bars. Kid Criminals meets children in high-security juvenile prisons who have committed shocking crimes.",,,1.0,2.0,,2015-02-10,2015-02-17,2015-01-01,60,Crime,GB,2185,,Taylor Young,,,,,guestStars,0
4404,Namaste,,"Larry angers a hot-yoga teacher, has an auspicious first date, and seethes over a run-in with an unfair Uber driver.",7.0,9.0,,,,2017-11-12,,2017-01-01,,,,2488,,Jakob Verbruggen,,,,,directors,0
3387,,Oleg Tabakov,,,,,,,,,,,,,4743,,Victor Lundin,,,,,guestStars,0
3564,Interior Decorator,,Larry has some medical problems involving a certain bracelet. No biggy. Then larger problems arise when Larry finds out he shares the same interior decorator as Diane Keaton.,5.0,1.0,,,,2000-11-12,,2000-01-01,,,,2005,,Michael Williams,,,,,guestStars,0
2764,,Kevin Hooks,,,,,,,,,,,,,706,,Damian Briscoe,,,,,guestStars,0
4244,,David Starkey,,,,,,,,,,,,,643,,Irene Ziegler,,,,,guestStars,0
1877,,Eric Overmyer,,,,,,,,,,,,,1735,Koyomi Tree,,,26.0,0.0,2016-02-13,,0
1609,Die Like a Dog,,"Archie stumbles onto a murder scene while trying to retrieve his raincoat.  Not wanting to get involved, he leaves the scene only to discover a black Labrador retriever following him.  Wolfe, surprisingly, is taken by the animal and christens him Jet.  When Cramer shows up in search of the pet, wolfe gets Archie involved in the investigation in order to keep the dog.",4.0,2.0,,,,2002-04-28,,2002-01-01,,,,6397,Nad?je,,"Nyn? je rok 1797, Franti?ek m? dv? d?ti. Odj??d? do Prahy. Setk?v? se s Th?mem, ten p?i?el o pr?ci u divadla a rozhodne se odjet do Plzn?. Nav?c odhalil Paulinu nev?ru. Paula se ale nakonec rozhodne odjet s n?m. Zd? se, ?e vlastenectv? te? stoj? v pozad?, habsbursk? monarchie mus? ?elit francouzsk?mu vyhl??en? v?lky. Franti?ek chce doma organizovat ?esk? divadlo. Nar??? ale na nesouhlas vy???ch m?st. Stejn? tak s p?j?ov?n?m knih, kter? mu jsou zabaveny. Pozd?ji mu jsou zase vr?ceny a Franti?ek se mus? rozhodnout, jestli je bude p?j?ovat d?l. I p?es p?ek??ky chce Franti?ek ve vlasteneck? pr?ci pokra?ovat.",13.0,1.0,,,0
2378,,Yuka Iguchi,,,,,,,,,,,,,7215,,Nathan Lane,,,,,guestStars,0
358,Conversion,,"Richard, Kahlan and Chase are headed to the D'haran fortress where Chase's family is kept prisoner, and Darken Rahl's archwizard is conducting magical experiments on them. As they manage to infiltrate the fortress the Seeker comes face to face with his sinister opponent for the first time, while a terrible, unexpected force is unleashed.",15.0,1.0,,,,2009-03-14,,2009-01-01,,,,3056,,Patrick Warburton,,,,,actor,0
773,,Kim Joo-young,,,,,,,,,,,,,7546,N-E-- NEW JJ,,"Seeking a new outlet for her superpowers as JJ prepares for college, Maya sets her sights on a receptive Ray. JJ gets involved in a (too) high stakes poker game, while Dylan discovers what really happens after her bedtime.",4.0,3.0,2018-11-02,,0
5859,Down Will Come,,"The detail works a pawn-shop lead to close in on a suspect in the Caspere case. Frank revisits his past to pay for his present. Velcoro, Bezzerides and Woodrugh struggle to keep the case straight in the face of corruption.",4.0,2.0,,,,2015-07-12,,2015-01-01,,,,1065,,Michael Chaban,,,,,guestStars,0
4903,,Sh?ta Tsukuyama,,,,,,,,,,,,,5576,,Peter Feeney,,,,,guestStars,0
349,,Margien Rogaar,,,,,,,,,,,,,6814,Episode 6,,"'Sketches:Arranged Shag,Ghost,Journo's Daughter - PM,Mr 'Everything Comes From India' - Famous people,Bharat Home Advert,Barbee Coopers,Mrs 'I Can Make it at Home' - Serotonin,Uncle Fixer - Directions,Journo's Daughter - India and Pakistan PM,Skipinder,Mr 'Everything Comes From India' - Shakespeare,Diwali Muffins,Mrs 'I Can Make it at Home' - Love,Mr 'Everything Comes From India' - Croceries,Guru - Jungle book,Journo's Daughter - Alien,We'd Do It All Again (song),Guru - Bollocks.",6.0,1.0,1998-02-16,,0
1380,,Patricia Clarkson,,,,,,,,,,,,,5156,,Patricia Clarkson,,,,,actor,1
1760,50 Percent Normal,,,9.0,1.0,,,,1974-01-18,,1974-01-01,,,,5249,Bloodline,,"While trying to keep the Box of Orden out of Darken Rahl's hands, Richard learns something new about his ties to Zedd.",16.0,1.0,2009-03-21,,0
346,After You've Gone,,Hart and Cohle call a truce to investigate a series of disappearances that may be related to the Dora Lange murder and the Tuttle family.,7.0,1.0,,,,2014-03-02,,2014-01-01,,,,7627,After You've Gone,,Hart and Cohle call a truce to investigate a series of disappearances that may be related to the Dora Lange murder and the Tuttle family.,7.0,1.0,2014-03-02,,1
2758,,Factum,,,,,,,,,,,,HR,4881,,Daniel R. Escobar,,,,,guestStars,0
250,,Kirk Baxter,,,,,,,,,,,,,4748,,Noah Beery Jr.,,,,,guestStars,0
5326,,T.J. Miller,,,,,,,,,,,,,972,,Claude Akins,,,,,guestStars,0
5778,A Dollar's Worth,,,1.0,5.0,,,,1957-10-20,,1957-01-01,,,,6360,Club Soda and Salt,,"'Dismayed in part over the peanut incident, Randy quits his job at the restaurant, and Larry, Jeff and Ted must search for a new chef. Ted suggests they audition his personal chef, but at dinner Larry feels the food ''just wasn't that good'' and rejects the candidate. Meanwhile, Larry accuses his wife Cheryl of having a crush on a tennis-playing cast member of ''Tony n' Tina's Wedding''; a couple refuse Larry's wedding gift because it's more than a year late; and a saleswoman becomes convinced that Larry is stalking her as revenge for her being too aggressive.",3.0,3.0,2002-09-29,,0
5783,,Marco Faria,,,,,,,,,,,,,5910,Cave Digger,,'Mike helps dig tunnels that are used as underground wine caverns.  Later he works behind the scenes with Southwest Airlines as a baggage handler.  He also gets to work with the airport incinerator.,5.0,3.0,2007-02-20,,0
4544,,Kang Ha-neul,,,,,,,,,,,,,2369,,Jerado Decordovier,,,,,guestStars,0
2101,Sean Penn,,"Sean Penn sits down with Zach's twin brother, Seth Galifianakis.",10.0,1.0,,,,2010-08-24,,2010-01-01,,,,4321,Episode 10,,"'Yijeong unexpectly sees Gaeul on the street and helps to revenge her bad boyfriend. Jandi clears up her misunderstanding about Junpyo, and the two go out on a date on Valentine’s Day. They bump into Junpyo’s mother, and Junpyo tells her not to do anything bad to Jandi. The mother, who doesn’t even think of F4 as the friends of Junpyo, starts her next action to cut Jandi off from Junpyo as she thinks Jandi is ridiculously improper to her son.",10.0,1.0,2009-02-03,,0
761,Flight to Freedom,,,29.0,1.0,,,,1962-09-04,,1962-01-01,,,,4458,,Ward,,,,,guestStars,0
122,"Mary, Joseph and Larry",,"Larry proves himself an unskilled Christmas tipper, while both Larry and Jeff prove incompetent at creating believable alibis for the messes they get in. After offending his housekeeper, Larry makes amends with her at the expense of his wife. Later, Larry attempts to reconcile with Cheryl's family after ruining their nativity scene.",9.0,3.0,,,,2002-11-10,,2002-01-01,,,,390,,Andre Braugher,,,,,actor,0
2940,Sharpe's Enemy,,"Portugal 1813. A band of deserters, including Sharpe's old enemy, Obadiah Hakeswill, have captured two women, one the wife of a high-ranking English officer, and are holding them hostage for ransom. Sharpe is given the 60th Rifles and a Rocket troop, as well as his majority to rescue the women. But while Sharpe may be able to deal with his old enemy, he has yet to face a newer threat, the French Major Duclos.",,,,,,1994-06-01,,1994-01-01,90, Adventure,,749,,Michael Gabel,,,,,guestStars,0
935,,Robin Laing,,,,,,,,,,,,,3754,,Scott Aukerman,,,,,director,0
375,,Edwin Hodgeman,,,,,,,,,,,,,1060,R-A-Y-C-- RAY-CATION,,"Maya enlists the family to assist JJ in romancing a girl at school, but it backfires when JJ expresses his feelings to Claire, and they are not reciprocated. Meanwhile, as the DiMeos are always late, Ray has the family practice to get to school in time for his upcoming weekend field trip.",8.0,1.0,2016-11-30,,0
51,Our Sacred Honor,,,13.0,2.0,,,,1954-11-28,,1954-01-01,,,,7417,O.S.I. Love You,,The OSI manage to capture Monstroso and Molotov. But things go horribly wrong and afterward Internal Affairs tries to work out what really happened.,5.0,5.0,2013-06-30,,0
1931,,Oscar Bucher,,,,,,,,,,,,,1720,,Paul Boocock,,,,,actor,0
40,The Spear Gun,,,3.0,1.0,,,,1957-10-10,,1957-01-01,,,,7687,,Sakina Jaffrey,,,,,actor,0
2694,,Craig Horner,,,,,,,,,,,,,6174,,Craig Horner,,,,,actor,1
1387,Parcel Puzzle,,"When Violet tells Monty that a problem is too big for a little boy to solve, he wonders if only big people can solve big problems.",54.0,1.0,,,,2017-07-13,,2017-01-01,,,,314,Damaged,,"After promising that the chaos of her personal life was behind her, Rachel is torn when she discovers that her mother's new boyfriend is a violent domestic abuser. Janet goes on her first date, but gets cold feet at the last minute when the idea of having to sell herself to a stranger makes her heart sink. The murder of a gay man has all the markings of a hate crime, but why is his friend struggling to answer some simple questions?",3.0,4.0,2014-09-24,,0
1347,Episode 30 - Bamboo Derby II ~ Kangaroo,,,30.0,1.0,,,,,,,,,,7444,Bamboo Derby II ~ Kangaroo,,,30.0,1.0,2008-02-03,,1
6008,Tanks for Nuthin',,A super-widow surfaces and makes Dr. Mrs. The Monarch's job difficult while a criminal genius tries to arch Dr. Venture.,5.0,6.0,,,,2016-02-29,,2016-01-01,,,,4761,,James Tolkan,,,,,actor,0
3076,Tell Me Your Wish,,"Lee Yeong, the crown prince rescued Ra On from the deep pond. Ra On begged forgiveness to Lee Yeong. Furthermore, Mok Tae Gam from Qing requested unreasonable tribute to Joseon and Lee Yeong, the crown prince come into conflict with his father &amp; Kim Heon.",5.0,1.0,,,,2016-09-05,,2016-01-01,,,,5644,Tell Me Your Wish,,"Lee Yeong, the crown prince rescued Ra On from the deep pond. Ra On begged forgiveness to Lee Yeong. Furthermore, Mok Tae Gam from Qing requested unreasonable tribute to Joseon and Lee Yeong, the crown prince come into conflict with his father & Kim Heon. ",5.0,1.0,2016-09-05,,1
1923,Episode 1,,,1.0,1.0,,,,2018-02-19,,2018-01-01,,,,4419,Special Guests: Li Andersson and Susanna Koski,,,65.0,0.0,2014-10-01,,0
1321,,Campbell Scott,,,,,,,,,,,,,526,Wish List,,"Monty's friend has heaps of fun toys, and he and Jimmy Jones imagine what it would be like to have everything you want.",50.0,1.0,2017-07-07,,0
3186,Episode 5,,,5.0,2.0,,,,2018-08-25,,2018-01-01,,,,1110,A Many Splendored Thing,,"Bolander asks Kay if she would double date with him and Linda, to try to take the pressure off his first real date. A slain phone-sex operator is found clutching a note naming her boss as the perpetrator, Bayliss and Pembleton investigate. Munch has trouble dealing with Bolander's happiness, so he crashes the double date and makes everyone miserable. A man is shot to death over a pen at the library, Lewis and Crosetti investigate and find a man with a pen fetish. As Bayliss looks into the murder he begins to get involved.",4.0,2.0,1994-01-27,,0
3576,Breath of Life,,"Set in Italy in 1946 just after World War 2, the film explores the lives and emotions of a group of patients who are terminally ill and confined to an isolated sanatorium.",,,,,,1990-10-11,,1990-01-01,96,Drama,,316,,Kodjo Akolor,,,,,guestStars,0
4053,,Jean-Paul Meurisse,,,,,,,,,,,,,6703,,Morgan Melton,,,,,guestStars,0
523,Abandoned Mine Plugger,,Mike travels to Ohio to check on the Common Tern population and then he finds himself in Northern California plugging an abandoned mineshaft.,2.0,5.0,,,,2009-01-13,,2009-01-01,,,,5476,,Don Weis,,,,,directors,0
5899,,John Lounsbery,,,,,,,,,,,,,3261,,James Nielson,,,,,directors,0
5913,,Bang Joong-Hyun,,,,,,,,,,,,,6401,Light,,"When the evil Mord'Sith Denna takes Zedd captive, Richard must abandon his mission to rescue the wizard.",8.0,2.0,2010-01-16,,0
4792,,Daniel Chun,,,,,,,,,,,,,6857,,Monica Keena,,,,,guestStars,0
332,Chapter 48,,"At the convention, Frank and his team publicly push for Catherine Durant to be chosen as his running mate, but privately pursue a different agenda.",9.0,4.0,,,,2016-03-04,,2016-01-01,,,,764,,Mike Crunyescha,,,,,director,0
21,,Lars Mikkelsen,,,,,,,,,,,,,2200,,Rhonda Overby,,,,,guestStars,0
3204,,Riho Iida,,,,,,,,,,,,,3671,,,,9.0,1.0,1980-05-21,,0
5160,Chapter 51,,Frank asks Will to help deal with extremists threatening to murder hostages. Hammerschmidt digs deeper into the allegations against Frank.,12.0,4.0,,,,2016-03-04,,2016-01-01,,,,93,,Mimi Kennedy,,,,,guestStars,0
2764,,Kevin Hooks,,,,,,,,,,,,,4791,The Long Bright Dark,,"Former Louisiana State CID partners Martin Hart and Rustin Cohle give separate statements to a pair of investigators about the murder of a prostitute, Dora Lange, 17 years earlier. As they look back, details of the crime, replete with occult overtones, are accompanied by insights into the detectives’ volatile partnership and personal lives.",1.0,1.0,2014-01-12,,0
486,"Remi, Nobody's Boy",,Orphan Remi (13) goes on a incredible journey to find his family.,,,1.0,20.0,,2016-12-06,2016-12-24,2016-01-01,10,Family,NL,6754,Big Animal Vet,,Mike helps out at a BBQ restaurant and gets to help clean out the smoker.  After that a trip to the farm to help out a big animal vet.  For his last job Mike gets to help dig a tank out of the ground.,1.0,4.0,2008-01-08,,0
4920,The Colt,,,19.0,1.0,,,,1961-01-22,,1961-01-01,,,,6603,,Michelle Forbes,,,,,actor,0
846,Stakeout,,"The entire squad is put on 24-hour surveillance when a mass murderer has been identified, isn't at home and doesn't know that they know. Gee debates leaving the squad in the midst of the stakeout, so he can attend his daughter's wedding in California. As the detectives rotate through shifts on the stakeout, the main topics of discussion are the homeowners and Bayliss' plans to leave the unit.",15.0,4.0,,,,1996-03-15,,1996-01-01,,,,1267,,Kate Kiley,,,,,guestStars,0
2368,Episode 6,,,6.0,2.0,,,,2015-05-13,,2015-01-01,,,,1338,,Alan Smithee,,,,,directors,0
2433,Episode 1,,,1.0,2.0,,,,2015-04-08,,2015-01-01,,,,3860,,Lucky Johnson,,,,,guestStars,0
1342,,Helen Marray-Finlay,,,,,,,,,,,,,5709,,Emily Whitesell,,,,,writers,0
654,,Milla Jovovich,,,,,,,,,,,,,4025,Nero Wolfe (2001),,"Genius detective Nero Wolfe and his right-hand man, Archie Goodwin, solve seemingly impossible crimes.",,,2001-04-01,,0
2931,A Girl Named Amy,,"Amy Jensen is in charge of the Caldwell College Student Rodeo.  She volunteered for the job because she's got a very serious crush on family friend Stoney. Amy has visions of wedding bells, but Stoney may have other ideas.",29.0,1.0,,,,1963-04-29,,1963-01-01,,,,3136,,Henry R. Ford,,,,,guestStars,0
4035,"Series 3, Episode 3",,,3.0,3.0,,,,1992-03-05,,1992-01-01,,,,7316,,Joel Kinnaman,,,,,actor,0
775,,Bo?idarka Frajt,,,,,,,,,,,,,336,,Koji Kataoka,,,,,guestStars,0
260,A Voice in the Dark,,,1.0,1.0,,,,2017-01-14,,2017-01-01,,,,32,It's Not A Reunion Show But It's The Closest You're Gonna Get,,"A behind the scenes look at a cast reunion for Seinfeld cast members Jerry Seinfeld, Louis-Dreyfus, Jason Alexander and Michael Richards to start off season seven of Curb Your Enthusiasm. ",11.0,0.0,2009-09-08,,0
3916,Homecoming,,"Four months after a tornado wiped out the town of Greensburg, the 1400 residents have no homes to come back to, only FEMA trailers. The residents try to get their home town spirit back with a homecoming parade and football game. The town must be rebuilt from the ground up and City Administrator Steve Hewitt hires an architectural firm to come up a blueprint for the sustainable town, a master plan.",2.0,1.0,,,,2008-06-22,,2008-01-01,,,,6902,,H?uptling Cochise und die Cartwrights,,,,,guestStars,0
4665,Too Hot,,,6.0,1.0,,,,,,,,,,5985,Moonlight Destiny,,"Ra On lives as a boy named Sam Nom in the capital, getting paid to help unrequited lovers find their path towards each other. Lee Yeong, the crown prince, is more interested in visiting the capital and playing hooky rather than focusing on his studies ",1.0,1.0,2016-08-22,,0
254,,David Tit?ra,,,,,,,,,,,,,3419,Chapter 68,,The Shepherds push Claire on a Supreme Court nomination. Doug works to find a new path for himself. Claire consults with Jane on Syria.,3.0,6.0,2018-11-02,,0
807,,Sally Rogers,,,,,,,,,,,,,7722,,Rachel Wulff,,,,,guestStars,0
4270,Mirror,,"Opportunistic thieves use magic to disguise themselves as Richard and Kahlan in a scheme to rob trusting townspeople, but when they learn the real Seeker and Confessor are nearby, they seize the opportunity to steal the Sword of Truth.",18.0,1.0,,,,2009-04-25,,2009-01-01,,,,2977,The Fires of Kanau,,,8.0,3.0,1961-11-19,,0
1602,,Mark A. Mangini,,,,,,,,,,,,,2650,,Scott Michael Morgan,,,,,guestStars,0
4066,,Ron McCants,,,,,,,,,,,,,6090,,Paulette Goddard,,,,,guestStars,0
3743,Episode 22,,,22.0,2.0,,,,2017-08-14,,2017-01-01,,,,1247,,Dan Holden,,,,,writers,0
2532,Well Digger,,"Mike joins the Bowie BaySox team at Prince Georges Stadium in Maryland acting as a groundskeeper. Next he fixes boat moorings with a former Navy SEAL.  He then joins Watson Water company dig deep through mud, rock, gravel, sand and water as they drill for heating and water in Tennessee. Also, Mike takes a dive into the mail bag.",4.0,3.0,,,,2007-01-30,,2007-01-01,,,,6470,,Gina Jackson,,,,,guestStars,0
4063,Death of a Doxy (1),,"A simple favor for a friend leads Archie to a dead body.  The friend is arrested but Wolfe suspects the real murderer is still on the loose, though Archie isn't so sure.  His investigations take him to the victim's sister, who is willing to go to any length to keep her sibling's transgressions a secret.  Only a clever ruse by Wolfe finally flushes out the killer.",1.0,2.0,,,,2002-04-14,,2002-01-01,,,,3295,Like A Pierrot V ~ Sponge Bridge II,,,56.0,1.0,2008-02-03,,0
4750,,David Manson,,,,,,,,,,,,,753,,Gene Oswald,,,,,directors,0
1365,Episode 32 - Skeboarder ~ Bamboo Derby II,,,32.0,1.0,,,,,,,,,,3218,,Erica Shelton Kodish,,,,,writers,0
1077,Episode 4,,"Maxx chases an other Isz, only this time the two worlds, the City and the Outback, collide.  The Isz leads him to another battle with Mr. Gone.  Maxx stops fighting when Gone reveals that he knows the origin and truth about Maxx.  They have a long talk. Maxx questions Gone's revelations over a roof-top pedicure with Julie.  We discover that Julie was raped and left for dead many years ago.  We begin to understand why Julie is hiding from this truth.",4.0,1.0,,,,1995-04-17,,1995-01-01,,,,5472,,Nina Davenport,,,,,director,0
3958,,Peter Sauder,,,,,,,,,,,,,468,,Peter Sauder,,,,,writers,1
2475,,Roberta Maxwell,,,,,,,,,,,,,6482,Flamin' Lady,,,31.0,2.0,1961-05-22,,0
762,Episode 3,,,3.0,1.0,,,,2018-03-05,,2018-01-01,,,,6913,Prison Riot,,"A riot breaks out at the prison, where two inmates are killed. The squad goes to the scene, but Frank must still stay behind. Bayliss, Lewis, Kellerman and Howard interview the inmates; many of them have familiar faces. Frank works on his target practice. Bayliss thinks that one inmate really wanted to tell him something, so he puts together a deal to get the information. The inmate confesses to the murder and Bayliss doesn't believe him. Another riot breaks out and the truth is finally discovered.",3.0,5.0,1996-10-18,,0
4320,,Anna Lena Films,,,,,,,,,,,,,809,,Moyna MacGill,,,,,guestStars,0
1647,The Hot Towel,,"Larry makes an enemy of Christian Slater at Ted and Mary's anniversary party, but gets his payback while at a restaurant with an old flame. Meanwhile, Larry's doctor gives him his personal number and soon regrets it.",4.0,7.0,,,,2009-10-11,,2009-01-01,,,,4104,Mother of All Murders ,,"The murder of Isabelle Pedrosa, who was killed while husband Miguel was serving time in prison facing domestic violence charges in December 2002. It transpired her 17-year-old daughter Linda and the teenager's boyfriend Antoine Wright struck her on the head and then strangled her so they could spend more time together",10.0,2.0,2015-02-07,,0
2703,Handsome Ransom,,"The Monarch decides to settle for cash as the best revenge on Dr. Venture and takes Hank and Dean hostage. However, Hank is rescued by Captain Sunshine, who wants a new boy sidekick to replace his fallen comrade Wonder Boy.",2.0,4.0,,,,2009-10-25,,2009-01-01,,,,1412,Handsome Ransom,,"The Monarch decides to settle for cash as the best revenge on Dr. Venture and takes Hank and Dean hostage. However, Hank is rescued by Captain Sunshine, who wants a new boy sidekick to replace his fallen comrade Wonder Boy.",2.0,4.0,2009-10-25,,1
1664,,Takahiro Fujiwara,,,,,,,,,,,,,6518,Living in West Australia,,"The four members leave Perth and head off to a serene port city, Fremantle, by trying out public transportation from buses to trains as a true backpacker. Enjoying the getting-lost-free journey with ‘Map Seung Yoon’, the four young gentlemen dive in to the living of a West-Australian life.",2.0,5.0,2017-11-14,,0
5368,,Rosa Novell,,,,,,,,,,,,,5981,Amazing Road ~ Neko De Drive,,,62.0,1.0,2008-02-03,,0
1654,M-A-- MAY-JAY,,"With the school year over, Maya is excited to spend the summer with JJ, but he and Kenneth have other plans. Meanwhile, Jimmy gets special treatment at the most unlikely of places while Dylan’s identity in the family is threatened.",22.0,1.0,,,,2017-05-10,,2017-01-01,,,,641,,La Kisha Davis,,,,,guestStars,0
4837,,Adnan Palangi?,,,,,,,,,,,,,5946,,Sharat Sardana,,,,,actor,0
555,,Peter Markle,,,,,,,,,,,,,7736,Floating Fish Factory,,Mike travels to Alaska for an adventure aboard a fish processing ship.,8.0,4.0,2008-04-21,,0
2853,,Robin Wright,,,,,,,,,,,,,632,,Anne Hathaway,,,,,guestStars,0
5674,Thrill Kill - The Janine Balding Murder,,"On a September night in 1986, two police officers climbed through a barbed-wire fence beside the F4 freeway at Minchinbury in Sydney’s west.  They were accompanied by two teenage boys who guided them to the edge of a shallow dam where the beams from torches outlined the body of a young woman lying in the mud.  She was later identified as nineteen-year-old Sydney bank clerk, Janine Balding. She had been abducted, raped, beaten and drowned. The shock was compounded when police arrested the gang responsible and found their youngest member was just 14 years old.  The others present were a boy and girl both aged 15, a 16-year-old boy, and their leader, 21-year old Stephen “Shorty” Jamieson, who despite his physical maturity had the mental age of 10.  It appears the gang was seeking to impress each other with their toughness when they set out to rape a woman. They selected Janine at random.",6.0,2.0,,,,2008-07-31,,2008-01-01,,,,2159,Thrill Kill - The Janine Balding Murder,,"On a September night in 1986, two police officers climbed through a barbed-wire fence beside the F4 freeway at Minchinbury in Sydney’s west.  They were accompanied by two teenage boys who guided them to the edge of a shallow dam where the beams from torches outlined the body of a young woman lying in the mud.  She was later identified as nineteen-year-old Sydney bank clerk, Janine Balding. She had been abducted, raped, beaten and drowned. The shock was compounded when police arrested the gang responsible and found their youngest member was just 14 years old.  The others present were a boy and girl both aged 15, a 16-year-old boy, and their leader, 21-year old Stephen “Shorty” Jamieson, who despite his physical maturity had the mental age of 10.  It appears the gang was seeking to impress each other with their toughness when they set out to rape a woman. They selected Janine at random. ",6.0,2.0,2008-07-31,,1
4925,,Elvis Han,,,,,,,,,,,,,986,,David Redmon,,,,,directors,0
4242,Perchance to Dean,,"Rusty begins to indoctrinate Dean into his career as a super scientist, not knowing that a deformed and believed aborted Dean clone stalks the compound. The deformed clone's attempt to kill Dean leads to a mix up with Hank thinking that he's killed his brother, while local police prepare to raid the Compound after a UPS delivery man suspects illegal activities going on.",3.0,4.0,,,,2009-11-01,,2009-01-01,,,,6125,A Doll's Eyes,,"'Technically it's not a homicide; however, Pembleton and Bayliss investigate the ''''murder'''' of a small boy who's the victim of a stray bullet, which makes him brain dead. The parents must choose what to do with their son. The Pope is in town.",6.0,4.0,1995-12-01,,0
